case	status	exhausted	answers	raw_answers	steps	applications	introductions	equations	unification_pairs	head_candidates	splits	failed	duplicates	max_frontier	pending
A01-disconnected-failure	pass	true	0	0	5	1	1	1	1	1	0	1	0	1	0
A02-pending-failure	pass	true	0	0	7	2	2	1	1	2	0	1	0	1	0
A03-raw-duplicates	pass	true	1	2	7	1	1	2	2	1	1	0	1	2	0
A04-alpha-residual	pass	true	1	2	7	1	3	0	0	1	1	0	1	2	0
C01-correlation	pass	true	2	2	10	1	1	4	4	1	1	0	0	2	0
C02-independent	pass	true	4	4	18	3	2	6	6	3	3	0	0	4	0
C03-inactive-label	pass	true	3	3	10	1	1	3	3	1	2	0	0	3	0
C04-recursive-fresh	pass	true	8	8	81	15	15	22	22	23	7	0	0	8	0
G01-suspended	pass	true	1	1	2	0	1	0	0	1	0	0	0	1	0
G02-recheck	pass	true	1	1	7	2	3	1	1	3	0	0	0	1	0
H01-distinct-resources	pass	true	1	1	2	0	1	0	0	1	0	0	0	1	0
H02-repeated-head-alias	pass	true	1	1	8	2	4	1	1	7	0	0	0	1	0
H03-constructor-wakeup	pass	true	1	1	7	2	3	1	1	3	0	0	0	1	0
H04-inherited-history	pass	true	2	2	10	2	3	2	2	5	1	0	0	2	0
H05-conditional-history	pass	true	2	2	10	2	3	2	2	5	1	0	0	2	0
H06-conditional-consumption	pass	true	2	2	10	2	5	0	0	5	1	0	0	2	0
M01-committed	pass	true	1	1	4	1	1	1	1	1	0	0	0	1	0
M02-nonbinding	pass	true	1	1	2	0	1	0	0	1	0	0	0	1	0
S01-finite-sibling	pass	false	1	1	200	98	99	1	1	98	1	0	0	2	1
U01-clash	pass	true	0	0	3	1	1	1	1	1	0	1	0	1	0
U02-self	pass	true	1	1	4	1	1	1	1	1	0	0	0	1	0
U03-alias	pass	true	1	1	6	1	1	2	2	1	0	0	0	1	0
U04-occurs	pass	true	0	0	5	1	1	2	2	1	0	1	0	1	0
U05-conditional-occurs	pass	true	1	1	6	1	1	2	2	1	1	1	0	2	0
U06-union-cycle	pass	true	2	2	7	1	1	2	2	1	1	0	0	2	0
V01-fresh	pass	true	1	1	7	2	4	0	0	2	0	0	0	1	0
app-add-decompose	pass	true	4	4	40	4	4	16	19	4	4	1	0	2	0
app-add-failure	pass	true	0	0	24	3	3	9	14	3	3	4	0	2	0
app-add-forward	pass	true	1	1	25	3	3	9	11	3	3	3	0	2	0
app-add-left	pass	true	1	1	55	6	6	24	38	6	6	6	0	2	0
app-add-repeated	pass	true	1	1	46	5	5	20	26	5	5	5	0	2	0
app-add-right	pass	true	1	1	25	3	3	9	13	3	3	3	0	2	0
app-infer-identity	pass	true	1	1	54	5	5	18	32	5	10	10	0	3	0
app-lambda-identity	pass	true	1	1	112	6	7	37	60	14	28	28	0	6	0
app-lambda-norm-residual	pass	true	1	1	2	0	1	0	0	5	0	0	0	1	0
app-sk-duplication	pass	true	1	1	431	19	19	139	373	19	117	117	0	5	0
app-sk-identity	pass	true	1	1	177	7	7	57	151	7	49	49	0	5	0
app-sk-ignored-hole	pass	true	1	1	546	32	33	166	442	76	141	141	0	5	0
app-sub	pass	true	1	1	27	4	4	9	13	4	3	3	0	2	0
app-type-synthesis-prefix	pass	false	1	1	12	1	1	4	8	1	2	0	0	3	2
carry-k0-w0-n0	pass	true	1	1	2	0	1	0	0	1	0	0	0	1	0
carry-k0-w0-n3	pass	true	1	1	5	0	4	0	0	1	0	0	0	1	0
carry-k0-w1-n0	pass	true	1	1	4	1	2	0	0	2	0	0	0	1	0
carry-k0-w1-n3	pass	true	1	1	7	1	5	0	0	2	0	0	0	1	0
carry-k0-w4-n0	pass	true	1	1	10	4	5	0	0	5	0	0	0	1	0
carry-k0-w4-n3	pass	true	1	1	13	4	8	0	0	5	0	0	0	1	0
carry-k1-w0-n0	pass	true	2	2	8	1	2	2	2	3	1	0	0	2	0
carry-k1-w0-n3	pass	true	2	2	11	1	5	2	2	3	1	0	0	2	0
carry-k1-w1-n0	pass	true	2	2	12	3	4	2	2	5	1	0	0	2	0
carry-k1-w1-n3	pass	true	2	2	15	3	7	2	2	5	1	0	0	2	0
carry-k1-w4-n0	pass	true	2	2	24	9	10	2	2	11	1	0	0	2	0
carry-k1-w4-n3	pass	true	2	2	27	9	13	2	2	11	1	0	0	2	0
carry-k2-w0-n0	pass	true	4	4	19	3	3	6	6	7	3	0	0	4	0
carry-k2-w0-n3	pass	true	4	4	22	3	6	6	6	7	3	0	0	4	0
carry-k2-w1-n0	pass	true	4	4	27	7	7	6	6	11	3	0	0	4	0
carry-k2-w1-n3	pass	true	4	4	30	7	10	6	6	11	3	0	0	4	0
carry-k2-w4-n0	pass	true	4	4	51	19	19	6	6	23	3	0	0	4	0
carry-k2-w4-n3	pass	true	4	4	54	19	22	6	6	23	3	0	0	4	0
carry-k3-w0-n0	pass	true	8	8	40	7	4	14	14	15	7	0	0	8	0
carry-k3-w0-n3	pass	true	8	8	43	7	7	14	14	15	7	0	0	8	0
carry-k3-w1-n0	pass	true	8	8	56	15	12	14	14	23	7	0	0	8	0
carry-k3-w1-n3	pass	true	8	8	59	15	15	14	14	23	7	0	0	8	0
carry-k3-w4-n0	pass	true	8	8	104	39	36	14	14	47	7	0	0	8	0
carry-k3-w4-n3	pass	true	8	8	107	39	39	14	14	47	7	0	0	8	0
