case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
A01-disconnected-failure	Persistent	true	5	1	1	1	1	3	1	1	0	1	0	0	1	0	2	3	0	4	1	1	0	0	45	3349	2490	4641	3849	19
A01-disconnected-failure	Copy	true	5	1	1	1	1	3	1	1	0	1	0	0	1	0	2	3	0	4	1	1	0	0	45	3349	2484	4635	3843	18
A02-pending-failure	Persistent	true	7	2	2	1	1	2	1	2	0	1	0	0	1	0	7	7	0	5	1	1	0	0	65	4016	2595	4909	4161	18
A02-pending-failure	Copy	true	7	2	2	1	1	2	1	2	0	1	0	0	1	0	7	7	0	5	1	1	0	0	65	4016	2589	4903	4155	11
A03-raw-duplicates	Persistent	true	7	1	1	2	2	8	2	1	1	0	2	1	2	0	6	4	0	4	2	1	2	0	79	5129	2684	5544	4926	18
A03-raw-duplicates	Copy	true	7	1	1	2	2	8	2	1	1	0	2	1	2	0	6	5	1	4	2	1	2	0	81	5209	2678	5538	4920	18
A04-alpha-residual	Persistent	true	7	1	3	0	0	2	0	1	1	0	2	1	2	0	6	4	0	4	0	0	1	1	67	3942	2452	4605	4146	14
A04-alpha-residual	Copy	true	7	1	3	0	0	2	0	1	1	0	2	1	2	0	6	5	1	4	0	0	1	1	69	4022	2446	4599	4140	25
C01-correlation	Persistent	true	10	1	1	4	4	12	4	1	1	0	2	2	2	0	14	8	0	6	2	2	1	0	98	6102	3077	6327	5823	17
C01-correlation	Copy	true	10	1	1	4	4	12	4	1	1	0	2	2	2	0	14	9	2	7	2	2	1	0	102	6366	3071	6321	5817	21
C02-independent	Persistent	true	18	3	2	6	6	17	6	3	3	0	4	4	4	0	34	18	0	11	6	2	8	0	170	9330	3298	7000	6416	28
C02-independent	Copy	true	18	3	2	6	6	17	6	3	3	0	4	4	4	0	34	26	8	11	6	2	8	0	183	9930	3292	6994	6410	25
C03-inactive-label	Persistent	true	10	1	1	3	3	11	3	1	2	0	3	3	3	0	8	5	0	6	3	3	3	0	105	6400	3287	6778	6338	17
C03-inactive-label	Copy	true	10	1	1	3	3	11	3	1	2	0	3	3	3	0	8	7	2	6	3	3	3	0	109	6560	3281	6772	6332	20
C04-recursive-fresh	Persistent	true	81	15	15	22	22	83	36	23	7	0	8	8	8	0	272	138	0	58	26	11	44	0	772	40138	5878	15637	14721	40
C04-recursive-fresh	Copy	true	81	15	15	22	22	83	36	23	7	0	8	8	8	0	272	165	27	58	26	11	44	0	816	42138	5872	15903	14715	72
G01-suspended	Persistent	true	2	0	1	0	1	8	0	1	0	0	1	1	1	0	2	1	0	1	0	0	0	0	49	3643	2715	4732	4508	14
G01-suspended	Copy	true	2	0	1	0	1	8	0	1	0	0	1	1	1	0	2	1	0	1	0	0	0	0	49	3643	2709	4726	4502	17
G02-recheck	Persistent	true	7	2	3	1	3	16	0	3	0	0	1	1	1	0	22	9	0	4	0	0	0	0	88	5803	3109	5488	5072	21
