case	mode	pass	steps	applications	introductions	equations	pairs	dereferences	occurs	head_candidates	splits	failed	raw	answers	max_frontier	pending	map_visits	map_allocations	snapshot_copies	pending_allocations	term_requests	term_nodes	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
A01-disconnected-failure	Persistent	true	5	1	1	1	1	3	1	1	0	1	0	0	1	0	2	3	0	4	1	1	0	0	45	3349	262400	264551	263759	18
A01-disconnected-failure	Copy	true	5	1	1	1	1	3	1	1	0	1	0	0	1	0	2	3	0	4	1	1	0	0	45	3349	262400	264551	263759	4
A02-pending-failure	Persistent	true	7	2	2	1	1	2	1	2	0	1	0	0	1	0	7	7	0	5	1	1	0	0	65	4016	261612	263926	263178	5
A02-pending-failure	Copy	true	7	2	2	1	1	2	1	2	0	1	0	0	1	0	7	7	0	5	1	1	0	0	65	4016	261612	263926	263178	4
A03-raw-duplicates	Persistent	true	7	1	1	2	2	8	2	1	1	0	2	1	2	0	6	4	0	4	2	1	2	0	79	5129	260714	263574	262956	9
A03-raw-duplicates	Copy	true	7	1	1	2	2	8	2	1	1	0	2	1	2	0	6	5	1	4	2	1	2	0	81	5209	260714	263574	262956	5
A04-alpha-residual	Persistent	true	7	1	3	0	0	2	0	1	1	0	2	1	2	0	6	4	0	4	0	0	1	1	67	3942	259726	261879	261420	5
A04-alpha-residual	Copy	true	7	1	3	0	0	2	0	1	1	0	2	1	2	0	6	5	1	4	0	0	1	1	69	4022	259726	261879	261420	4
C01-correlation	Persistent	true	10	1	1	4	4	12	4	1	1	0	2	2	2	0	14	8	0	6	2	2	1	0	98	6102	258970	262220	261716	7
C01-correlation	Copy	true	10	1	1	4	4	12	4	1	1	0	2	2	2	0	14	9	2	7	2	2	1	0	102	6366	258970	262220	261716	6
C02-independent	Persistent	true	18	3	2	6	6	17	6	3	3	0	4	4	4	0	34	18	0	11	6	2	8	0	170	9330	257586	261288	260704	12
C02-independent	Copy	true	18	3	2	6	6	17	6	3	3	0	4	4	4	0	34	26	8	11	6	2	8	0	183	9930	257586	261288	260704	12
C03-inactive-label	Persistent	true	10	1	1	3	3	11	3	1	2	0	3	3	3	0	8	5	0	6	3	3	3	0	105	6400	255981	259472	259032	7
