case	mode	pass	quanta	projected_steps	expansions	projected_applications	introductions	projected_introductions	splits	failed	raw	answers	support_reads	support_writes	occurrence_scans	binding_scans	match_candidates	term_visits	term_copies	unification_pairs	occurs_visits	previewed	queue_scans	queue_refs	work_nodes	max_frontier	pending	retained_occurrences	variables	occurrence_births	binding_edges	tokens	support_memberships	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
A01-disconnected-failure	Singleton	true	5	5	1	1	1	1	0	1	0	0	3	7	1	0	1	8	15	1	1	5	5	3	4	1	0	0	2	1	1	1	5	0	0	69	9695	1465	6862	5677	23
A01-disconnected-failure	Ready	true	5	5	1	1	1	1	0	1	0	0	3	7	1	0	1	8	15	1	1	5	5	3	4	1	0	0	2	1	1	1	5	0	0	69	9695	1461	6858	5673	26
A02-pending-failure	Singleton	true	7	7	2	2	2	2	0	1	0	0	6	10	3	0	2	5	11	1	1	7	7	4	5	1	0	0	1	2	1	2	6	0	0	87	10522	1570	6991	6043	24
A02-pending-failure	Ready	true	7	7	2	2	2	2	0	1	0	0	6	10	3	0	2	5	11	1	1	7	7	4	5	1	0	0	1	2	1	2	6	0	0	87	10522	1566	6987	6039	21
A03-raw-duplicates	Singleton	true	7	7	1	1	1	1	1	0	2	1	11	20	1	4	1	10	28	2	2	7	7	3	4	2	0	0	2	1	1	1	10	2	0	108	12465	1659	7348	6682	29
A03-raw-duplicates	Ready	true	7	7	1	1	1	1	1	0	2	1	11	20	1	4	1	10	28	2	2	7	7	3	4	2	0	0	2	1	1	1	10	2	0	108	12465	1655	7344	6678	35
A04-alpha-residual	Singleton	true	7	7	1	1	3	3	1	0	2	1	11	22	5	0	1	2	4	0	0	7	7	3	4	2	0	2	2	3	0	1	12	1	1	88	8836	1427	6782	6083	26
A04-alpha-residual	Ready	true	7	7	1	1	3	3	1	0	2	1	11	22	6	0	1	2	4	0	0	9	9	3	4	2	0	2	2	3	0	1	12	1	1	91	8876	1423	6778	6079	21
C01-correlation	Singleton	true	10	10	1	1	1	1	1	0	2	2	20	22	1	13	1	12	46	4	4	10	10	6	6	2	0	0	2	1	4	1	12	1	0	142	16027	2052	8668	8180	27
C01-correlation	Ready	true	10	10	1	1	1	1	1	0	2	2	20	22	1	13	1	12	46	4	4	10	10	6	6	2	0	0	2	1	4	1	12	1	0	142	16027	2048	8664	8176	25
C02-independent	Singleton	true	18	18	3	3	2	2	3	0	4	4	56	78	3	23	3	19	68	6	6	18	18	9	11	4	0	0	2	2	4	2	32	8	0	235	24232	2273	9503	9015	31
C02-independent	Ready	true	17	18	2	3	2	2	3	0	4	4	55	78	3	23	3	16	66	6	6	18	19	9	8	4	0	0	2	2	4	2	32	8	0	229	23782	2269	9499	9011	29
C03-inactive-label	Singleton	true	10	10	1	1	1	1	2	0	3	3	24	33	1	12	1	12	38	3	3	10	10	5	6	3	0	0	2	1	3	1	15	3	0	143	15369	2262	8826	8300	23
C03-inactive-label	Ready	true	10	10	1	1	1	1	2	0	3	3	24	33	1	12	1	12	38	3	3	10	10	5	6	3	0	0	2	1	3	1	15	3	0	143	15369	2258	8822	8296	23
C04-recursive-fresh	Singleton	true	81	81	15	15	15	15	7	0	8	8	327	294	51	106	23	137	483	22	36	81	81	57	58	8	0	0	8	15	18	15	128	44	0	1204	101728	4853	25878	25390	105
C04-recursive-fresh	Ready	true	81	81	15	15	15	15	7	0	8	8	860	294	584	106	149	347	797	22	36	221	221	57	58	8	0	0	8	15	18	15	128	44	0	1902	202094	4849	25874	25386	187
G01-suspended	Singleton	true	2	2	0	0	1	1	0	0	1	1	2	4	1	0	1	9	16	0	0	2	2	0	1	1	0	1	2	1	0	0	4	0	0	58	7430	1690	5940	5598	15
G01-suspended	Ready	true	2	2	0	0	1	1	0	0	1	1	2	4	1	0	1	9	16	0	0	2	2	0	1	1	0	1	2	1	0	0	4	0	0	58	7430	1686	5936	5594	14
G02-recheck	Singleton	true	7	7	2	2	3	3	0	0	1	1	10	13	7	2	3	20	38	1	0	7	7	2	4	1	0	1	2	3	1	2	9	0	0	112	15268	2084	8358	7926	22
G02-recheck	Ready	true	7	7	2	2	3	3	0	0	1	1	10	13	7	2	3	20	38	1	0	7	7	2	4	1	0	1	2	3	1	2	9	0	0	112	15268	2080	8354	7922	21
H01-distinct-resources	Singleton	true	2	2	0	0	1	1	0	0	1	1	2	2	2	0	1	2	3	0	0	2	2	0	1	1	0	1	0	1	0	0	2	0	0	47	4572	1334	4333	4021	15
H01-distinct-resources	Ready	true	2	2	0	0	1	1	0	0	1	1	2	2	2	0	1	2	3	0	0	2	2	0	1	1	0	1	0	1	0	0	2	0	0	47	4572	1330	4329	4017	9
H02-repeated-head-alias	Singleton	true	8	8	2	2	4	4	0	0	1	1	15	16	17	2	7	19	35	1	0	8	8	2	5	1	0	1	2	4	1	2	10	0	0	132	17863	2109	9208	8007	22
H02-repeated-head-alias	Ready	true	8	8	2	2	4	4	0	0	1	1	15	16	17	2	7	19	35	1	0	8	8	2	5	1	0	1	2	4	1	2	10	0	0	132	17863	2105	9204	8003	22
H03-constructor-wakeup	Singleton	true	7	7	2	2	3	3	0	0	1	1	10	12	7	2	3	8	18	1	1	7	7	2	4	1	0	1	1	3	1	2	8	0	0	110	11634	1705	7388	7028	22
H03-constructor-wakeup	Ready	true	7	7	2	2	3	3	0	0	1	1	10	12	7	2	3	8	18	1	1	7	7	2	4	1	0	1	1	3	1	2	8	0	0	110	11634	1701	7384	7024	24
H04-inherited-history	Singleton	true	10	10	2	2	3	3	1	0	2	2	28	36	14	5	5	7	22	2	2	10	10	4	6	2	0	2	1	3	2	2	18	1	0	152	14593	2074	8858	8370	38
H04-inherited-history	Ready	true	10	10	2	2	3	3	1	0	2	2	28	36	14	5	5	7	22	2	2	10	10	4	6	2	0	2	1	3	2	2	18	1	0	152	14593	2070	8854	8366	30
H05-conditional-history	Singleton	true	10	10	2	2	3	3	1	0	2	2	29	27	11	12	5	12	35	2	2	10	10	4	6	2	0	2	1	3	2	2	15	0	0	162	14851	2222	9309	8757	28
H05-conditional-history	Ready	true	10	10	2	2	3	3	1	0	2	2	32	27	13	14	6	13	37	2	2	11	11	4	6	2	0	2	1	3	2	2	15	0	0	166	14884	2218	9305	8753	28
H06-conditional-consumption	Singleton	true	10	10	2	2	5	5	1	0	2	2	20	27	21	0	5	0	0	0	0	10	10	4	6	2	0	3	0	5	0	2	13	0	0	111	9483	1801	7194	6642	23
H06-conditional-consumption	Ready	true	10	10	2	2	5	5	1	0	2	2	24	27	33	0	8	0	0	0	0	13	13	4	6	2	0	3	0	5	0	2	13	0	0	122	9691	1797	7190	6638	23
M01-committed	Singleton	true	4	4	1	1	1	1	0	0	1	1	4	6	1	1	1	5	13	1	1	4	4	1	2	1	0	0	1	1	1	1	4	0	0	76	9541	1532	6681	6154	16
M01-committed	Ready	true	4	4	1	1	1	1	0	0	1	1	4	6	1	1	1	5	13	1	1	4	4	1	2	1	0	0	1	1	1	1	4	0	0	76	9541	1528	6677	6150	16
