case	mode	pass	steps	applications	expansions	cache_hits	cache_misses	cache_retained	rules_examined	occurrence_scans	candidates	binding_reads	term_visits	unification_pairs	occurs_visits	fresh_variables	work_nodes	snapshot_entries	introductions	splits	failed	raw	answers	max_frontier	pending	retained_roots	retained_bindings	retained_pending	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
A01-disconnected-failure	General	true	5	1	1	0	0	0	1	1	1	1	8	1	1	2	4	0	1	0	1	0	0	1	0	0	0	0	0	0	44	6079	1463	4866	2234	16
A01-disconnected-failure	Local	true	5	1	1	0	0	0	1	1	1	1	8	1	1	2	4	0	1	0	1	0	0	1	0	0	0	0	0	0	44	6079	1461	4864	2232	16
A01-disconnected-failure	Cached	true	5	1	1	0	1	1	1	1	1	1	8	1	1	2	4	0	1	0	1	0	0	1	0	0	0	0	0	0	46	7255	1462	6041	3762	10
A02-pending-failure	General	true	7	2	2	0	0	0	3	3	2	1	5	1	1	1	5	0	2	0	1	0	0	1	0	0	0	0	0	0	56	6434	1568	5123	2464	11
A02-pending-failure	Local	true	7	2	2	0	0	0	3	2	2	1	5	1	1	1	5	0	2	0	1	0	0	1	0	0	0	0	0	0	55	6426	1566	5121	2462	11
A02-pending-failure	Cached	true	7	2	2	0	2	2	3	2	2	1	5	1	1	1	5	0	2	0	1	0	0	1	0	0	0	0	0	0	57	7602	1567	6298	4179	12
A03-raw-duplicates	General	true	7	1	1	0	0	0	3	1	1	6	14	2	2	2	4	0	1	1	0	2	1	2	0	0	0	0	2	0	74	8385	1657	5297	3359	16
A03-raw-duplicates	Local	true	7	1	1	0	0	0	3	1	1	6	14	2	2	2	4	0	1	1	0	2	1	2	0	0	0	0	2	0	74	8385	1655	5295	3357	17
A03-raw-duplicates	Cached	true	7	1	1	0	1	1	3	1	1	6	14	2	2	2	4	0	1	1	0	2	1	2	0	0	0	0	2	0	76	9561	1656	6810	4872	16
A04-alpha-residual	General	true	7	1	1	0	0	0	3	3	1	2	4	0	0	2	4	0	3	1	0	2	1	2	0	0	0	0	1	1	62	5744	1425	4939	3007	19
A04-alpha-residual	Local	true	7	1	1	0	0	0	3	1	1	2	4	0	0	2	4	0	3	1	0	2	1	2	0	0	0	0	1	1	60	5728	1423	4937	3005	11
A04-alpha-residual	Cached	true	7	1	1	0	1	1	3	1	1	2	4	0	0	2	4	0	3	1	0	2	1	2	0	0	0	0	1	1	61	6272	1424	5818	4128	17
C01-correlation	General	true	10	1	1	0	0	0	3	1	1	10	16	4	4	2	6	3	1	1	0	2	2	2	0	0	0	0	1	0	94	10465	2050	6067	4254	15
C01-correlation	Local	true	10	1	1	0	0	0	3	1	1	10	16	4	4	2	6	3	1	1	0	2	2	2	0	0	0	0	1	0	94	10465	2048	6065	4252	17
C01-correlation	Cached	true	10	1	1	0	1	1	3	1	1	10	16	4	4	2	6	3	1	1	0	2	2	2	0	0	0	0	1	0	96	11641	2049	7708	6007	17
C02-independent	General	true	18	3	3	0	0	0	7	3	3	14	27	6	6	2	11	7	2	3	0	4	4	4	0	0	0	0	8	0	164	19330	2271	8332	4849	13
C02-independent	Local	true	18	3	3	0	0	0	7	3	3	14	27	6	6	2	11	7	2	3	0	4	4	4	0	0	0	0	8	0	164	19330	2269	8330	4847	18
C02-independent	Cached	true	18	3	2	1	2	2	7	3	3	14	23	6	6	2	8	7	2	3	0	4	4	4	0	0	0	0	8	0	161	20168	2270	10366	7332	20
C03-inactive-label	General	true	10	1	1	0	0	0	4	1	1	9	18	3	3	2	6	0	1	2	0	3	3	3	0	0	0	0	3	0	96	10204	2260	6067	4767	41
C03-inactive-label	Local	true	10	1	1	0	0	0	4	1	1	9	18	3	3	2	6	0	1	2	0	3	3	3	0	0	0	0	3	0	96	10204	2258	6065	4765	15
C03-inactive-label	Cached	true	10	1	1	0	1	1	4	1	1	9	18	3	3	2	6	0	1	2	0	3	3	3	0	0	0	0	3	0	98	11380	2259	7721	6505	17
C04-recursive-fresh	General	true	81	15	15	0	0	0	39	23	23	68	169	22	36	8	58	54	15	7	0	8	8	8	0	0	0	0	44	0	850	82789	4851	23082	11570	41
C04-recursive-fresh	Local	true	81	15	15	0	0	0	39	23	23	68	169	22	36	8	58	54	15	7	0	8	8	8	0	0	0	0	44	0	850	82789	4849	23080	11568	63
C04-recursive-fresh	Cached	true	81	15	15	0	15	15	39	23	23	68	169	22	36	8	58	54	15	7	0	8	8	8	0	0	0	0	44	0	883	94200	4850	41752	33126	65
G01-suspended	General	true	2	0	0	0	0	0	1	1	1	6	13	0	0	2	1	0	1	0	0	1	1	1	0	0	0	0	0	0	47	5520	1688	4636	3483	11
G01-suspended	Local	true	2	0	0	0	0	0	1	1	1	6	13	0	0	2	1	0	1	0	0	1	1	1	0	0	0	0	0	0	47	5520	1686	4634	3481	9
G01-suspended	Cached	true	2	0	0	0	0	0	1	1	1	6	13	0	0	2	1	0	1	0	0	1	1	1	0	0	0	0	0	0	47	5520	1687	4635	3482	8
G02-recheck	General	true	7	2	2	0	0	0	5	6	3	10	22	1	0	2	4	0	3	0	0	1	1	1	0	0	0	0	0	0	81	11484	2082	6193	4033	17
G02-recheck	Local	true	7	2	2	0	0	0	5	3	3	10	22	1	0	2	4	0	3	0	0	1	1	1	0	0	0	0	0	0	79	11452	2080	6191	4031	14
G02-recheck	Cached	true	7	2	2	0	2	2	5	3	3	10	22	1	0	2	4	0	3	0	0	1	1	1	0	0	0	0	0	0	82	13260	2081	8112	6139	18
H03-constructor-wakeup	General	true	7	2	2	0	0	0	5	6	3	4	9	1	1	1	4	0	3	0	0	1	1	1	0	0	0	0	0	0	80	7599	1703	5117	3238	16
H03-constructor-wakeup	Local	true	7	2	2	0	0	0	5	3	3	4	9	1	1	1	4	0	3	0	0	1	1	1	0	0	0	0	0	0	78	7567	1701	5115	3236	14
H03-constructor-wakeup	Cached	true	7	2	2	0	2	2	5	3	3	4	9	1	1	1	4	0	3	0	0	1	1	1	0	0	0	0	0	0	80	8743	1702	6292	4713	13
