case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	projection_cache_hits	interning_lookups	partition_groups	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
opaque-k0-w0	Eager	true	2	1	4	2	1	0	0	0	1	0	2	1	2	0	0	0	1	1	1	1	1	0	0	0	23	155	1331	857	2343	998	2797	2469	0	7	2
opaque-k0-w0	Named	true	2	1	2	2	1	0	0	0	1	0	0	1	0	0	0	0	1	1	1	1	1	0	0	0	20	155	1200	857	2212	998	2730	2402	0	5	3
opaque-k0-w0	Partitioned	true	2	1	2	2	1	0	0	0	1	0	2	1	2	0	2	1	1	1	1	1	1	0	0	0	32	155	4014	865	5034	1004	4493	2507	0	11	1
opaque-k0-w1	Eager	true	2	1	5	3	2	0	0	0	1	0	3	2	3	0	0	0	1	1	1	1	1	0	0	0	31	228	1404	906	2538	1047	3041	2713	0	4	1
opaque-k0-w1	Named	true	2	1	2	3	2	0	0	0	1	0	0	2	0	0	0	0	1	1	1	1	1	0	0	0	25	228	1200	906	2334	1047	2901	2573	0	3	1
opaque-k0-w1	Partitioned	true	2	1	2	3	2	0	0	0	1	0	3	2	3	0	3	1	1	1	1	1	1	0	0	0	42	228	4096	914	5238	1053	4697	2751	0	13	1
opaque-k0-w8	Eager	true	2	1	12	10	9	0	0	0	1	0	10	9	10	0	0	0	1	1	1	1	1	0	0	0	87	739	1915	1249	3903	1390	4749	4421	1	4	4
opaque-k0-w8	Named	true	2	1	2	10	9	0	0	0	1	0	0	9	0	0	0	0	1	1	1	1	1	0	0	0	60	739	1200	1249	3188	1390	4098	3770	1	2	4
opaque-k0-w8	Partitioned	true	2	1	2	10	9	0	0	0	1	0	10	9	10	0	10	1	1	1	1	1	1	0	0	0	112	739	4670	1257	6666	1396	6125	4459	1	14	2
opaque-k0-w64	Eager	true	2	1	68	66	65	0	0	0	1	0	66	65	66	0	0	0	1	1	1	1	1	0	0	0	553	4827	8067	3993	16887	4135	18414	18086	7	22	9
opaque-k0-w64	Named	true	2	1	2	66	65	0	0	0	1	0	0	65	0	0	0	0	1	1	1	1	1	0	0	0	358	4827	3264	3993	12084	4135	13675	13347	10	12	14
opaque-k0-w64	Partitioned	true	2	1	2	66	65	0	0	0	1	0	66	65	66	0	66	1	1	1	1	1	1	0	0	0	726	4827	23374	4001	32202	4141	30630	18124	11	84	8
opaque-k0-w256	Eager	true	2	1	260	258	257	0	0	0	1	0	258	257	258	0	0	0	1	1	1	1	1	0	0	0	2155	18843	29907	13401	62151	13544	65263	64935	42	151	49
opaque-k0-w256	Named	true	2	1	2	258	257	0	0	0	1	0	0	257	0	0	0	0	1	1	1	1	1	0	0	0	1384	18843	11088	13401	43332	13544	46508	46180	50	39	70
opaque-k0-w256	Partitioned	true	2	1	2	258	257	0	0	0	1	0	258	257	258	0	258	1	1	1	1	1	1	0	0	0	2844	18843	91630	13409	123882	13550	118399	64973	43	305	31
opaque-k1-w0	Eager	true	4	2	12	6	4	0	0	0	2	0	6	4	6	0	0	0	2	2	2	2	2	2	0	0	61	357	2112	1596	4065	1177	4058	3594	1	10	4
opaque-k1-w0	Named	true	2	1	2	8	4	0	0	0	1	0	0	4	0	0	0	0	1	2	2	1	1	2	0	0	40	357	1232	1452	3041	1177	3426	2962	1	7	4
opaque-k1-w0	Partitioned	true	4	2	4	6	4	0	0	0	2	0	8	4	5	1	5	2	2	2	2	2	2	2	0	0	71	357	4640	1468	6465	1183	5188	3520	1	18	4
opaque-k1-w1	Eager	true	4	2	14	8	6	0	0	0	2	0	8	6	8	0	0	0	2	2	2	2	2	3	0	0	74	430	2258	1694	4382	1275	4473	4009	1	10	7
opaque-k1-w1	Named	true	2	1	2	10	5	0	0	0	1	0	0	6	0	0	0	0	1	2	2	1	1	3	0	0	47	430	1232	1550	3212	1275	3695	3231	1	4	4
opaque-k1-w1	Partitioned	true	4	2	4	8	6	0	0	0	2	0	10	6	7	1	7	2	2	2	2	2	2	3	0	0	88	430	4804	1566	6800	1281	5523	3935	1	19	4
opaque-k1-w8	Eager	true	4	2	28	22	20	0	0	0	2	0	22	20	22	0	0	0	2	2	2	2	2	10	0	0	167	941	3584	2380	6905	1961	7378	6914	2	14	5
opaque-k1-w8	Named	true	2	1	2	24	12	0	0	0	1	0	0	20	0	0	0	0	1	2	2	1	1	10	0	0	98	941	1536	2236	4713	1961	5578	5114	2	7	6
opaque-k1-w8	Partitioned	true	4	2	4	22	20	0	0	0	2	0	24	20	21	1	21	2	2	2	2	2	2	10	0	0	219	941	10056	2252	13249	1967	11972	6840	1	28	5
opaque-k1-w64	Eager	true	4	2	140	134	132	0	0	0	2	0	134	132	134	0	0	0	2	2	2	2	2	66	0	0	921	5029	14656	7868	27553	7450	30619	30155	12	51	25
opaque-k1-w64	Named	true	2	1	2	136	68	0	0	0	1	0	0	132	0	0	0	0	1	2	2	1	1	66	0	0	507	5029	3400	7724	16153	7450	20643	20179	14	22	38
opaque-k1-w64	Partitioned	true	4	2	4	134	132	0	0	0	2	0	136	132	133	1	133	2	2	2	2	2	2	66	0	0	1259	5029	44120	7740	56889	7456	53549	30081	11	147	19
opaque-k1-w256	Eager	true	4	2	524	518	516	0	0	0	2	0	518	516	518	0	0	0	2	2	2	2	2	258	0	0	3515	19045	54320	26684	100049	26267	110300	109836	58	245	132
opaque-k1-w256	Named	true	2	1	2	520	260	0	0	0	1	0	0	516	0	0	0	0	1	2	2	1	1	258	0	0	1916	19045	11120	26540	56705	26267	72292	71828	31	28	74
opaque-k1-w256	Partitioned	true	4	2	4	518	516	0	0	0	2	0	520	516	517	1	517	2	2	2	2	2	2	258	0	0	4842	19045	165720	26556	211321	26273	200158	109762	42	536	60
opaque-k2-w0	Eager	true	8	4	32	16	12	0	0	0	4	0	16	12	16	0	0	0	4	4	4	4	4	14	0	0	120	559	3628	2900	7087	1633	6304	5840	1	9	5
opaque-k2-w0	Named	true	2	1	2	24	7	0	0	0	1	0	0	12	0	0	0	0	1	4	4	1	1	14	0	0	67	559	1232	2612	4403	1633	4540	4076	1	4	7
opaque-k2-w0	Partitioned	true	8	4	8	16	12	0	0	0	4	0	20	12	7	7	9	4	4	4	4	4	4	14	0	0	124	559	6254	2644	9457	1639	6866	5296	1	17	4
