case	mode	pass	steps	pairs	root_reads	output_root_reads	absence_visits	occurs_visits	splits	copied_entries	completed_regions	failed_regions	eager_projection_visits	output_projection_visits	eager_nodes	bindings	raw	answers	max_frontier	retained_regions	observer_pairs	observer_scans	observer_backtracks	allocation_calls	construct_requested	solve_requested	observe_requested	requested_bytes	baseline_live	peak_live	final_live	construct_us	solve_us	observe_us
opaque-k0-w0	Eager	true	2	1	4	2	1	0	0	0	1	0	2	1	2	1	1	1	1	1	0	0	0	23	155	1139	857	2151	998	2605	2277	1	4	1
opaque-k0-w0	Named	true	2	1	2	2	1	0	0	0	1	0	0	1	0	1	1	1	1	1	0	0	0	20	155	1008	857	2020	998	2538	2210	0	3	2
opaque-k0-w1	Eager	true	2	1	5	3	2	0	0	0	1	0	3	2	3	1	1	1	1	1	0	0	0	31	228	1212	906	2346	1047	2849	2521	0	4	1
opaque-k0-w1	Named	true	2	1	2	3	2	0	0	0	1	0	0	2	0	1	1	1	1	1	0	0	0	25	228	1008	906	2142	1047	2709	2381	1	4	2
opaque-k0-w8	Eager	true	2	1	12	10	9	0	0	0	1	0	10	9	10	1	1	1	1	1	0	0	0	87	739	1723	1249	3711	1390	4557	4229	1	5	4
opaque-k0-w8	Named	true	2	1	2	10	9	0	0	0	1	0	0	9	0	1	1	1	1	1	0	0	0	60	739	1008	1249	2996	1390	3906	3578	2	4	5
opaque-k0-w64	Eager	true	2	1	68	66	65	0	0	0	1	0	66	65	66	1	1	1	1	1	0	0	0	553	4827	7875	3993	16695	4135	18222	17894	9	27	11
opaque-k0-w64	Named	true	2	1	2	66	65	0	0	0	1	0	0	65	0	1	1	1	1	1	0	0	0	358	4827	3072	3993	11892	4135	13483	13155	10	9	16
opaque-k0-w256	Eager	true	2	1	260	258	257	0	0	0	1	0	258	257	258	1	1	1	1	1	0	0	0	2155	18843	29715	13401	61959	13544	65071	64743	38	96	35
opaque-k0-w256	Named	true	2	1	2	258	257	0	0	0	1	0	0	257	0	1	1	1	1	1	0	0	0	1384	18843	10896	13401	43140	13544	46316	45988	41	33	54
opaque-k1-w0	Eager	true	4	2	12	6	4	0	0	0	2	0	6	4	6	2	2	2	2	2	2	0	0	61	357	1920	1596	3873	1177	3866	3402	0	13	3
opaque-k1-w0	Named	true	2	1	2	8	4	0	0	0	1	0	0	4	0	1	2	2	1	1	2	0	0	40	357	1040	1452	2849	1177	3234	2770	0	3	3
opaque-k1-w1	Eager	true	4	2	14	8	6	0	0	0	2	0	8	6	8	2	2	2	2	2	3	0	0	74	430	2066	1694	4190	1275	4281	3817	1	4	5
opaque-k1-w1	Named	true	2	1	2	10	5	0	0	0	1	0	0	6	0	1	2	2	1	1	3	0	0	47	430	1040	1550	3020	1275	3503	3039	1	3	3
opaque-k1-w8	Eager	true	4	2	28	22	20	0	0	0	2	0	22	20	22	2	2	2	2	2	10	0	0	167	941	3392	2380	6713	1961	7186	6722	1	9	4
opaque-k1-w8	Named	true	2	1	2	24	12	0	0	0	1	0	0	20	0	1	2	2	1	1	10	0	0	98	941	1344	2236	4521	1961	5386	4922	1	6	7
opaque-k1-w64	Eager	true	4	2	140	134	132	0	0	0	2	0	134	132	134	2	2	2	2	2	66	0	0	921	5029	14464	7868	27361	7450	30427	29963	10	42	20
