case	mode	pass	exhausted	steps	applications	lifted_applications	lifting_checks	certificate_checks	certificate_terms	barrier_nodes	barrier_rejections	forced_splits	max_delay	introductions	equations	pairs	dereferences	occurs_visits	head_candidates	splits	failed	raw	answers	max_frontier	pending	term_nodes	term_requests	pending_allocations	map_visits	map_allocations	observer_pairs	observer_scans	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
A01-disconnected-failure	0	true	true	5	1	0	0	1	2	0	0	0	0	1	1	1	3	1	1	0	1	0	0	1	0	1	1	4	2	3	0	0	47	3454	1457	3609	2817	28
A01-disconnected-failure	1	true	true	5	1	0	0	1	2	0	0	0	0	1	1	1	3	1	1	0	1	0	0	1	0	1	1	4	2	3	0	0	47	3454	1457	3609	2817	35
A01-disconnected-failure	8	true	true	5	1	0	0	1	2	0	0	0	0	1	1	1	3	1	1	0	1	0	0	1	0	1	1	4	2	3	0	0	47	3454	1457	3609	2817	15
A01-disconnected-failure	64	true	true	5	1	0	0	1	2	0	0	0	0	1	1	1	3	1	1	0	1	0	0	1	0	1	1	4	2	3	0	0	47	3454	1458	3610	2818	18
A01-disconnected-failure	256	true	true	5	1	0	0	1	2	0	0	0	0	1	1	1	3	1	1	0	1	0	0	1	0	1	1	4	2	3	0	0	47	3454	1459	3611	2819	15
A01-disconnected-failure	Unlimited	true	true	5	1	0	0	1	2	0	0	0	0	1	1	1	3	1	1	0	1	0	0	1	0	1	1	4	2	3	0	0	47	3454	1465	3617	2825	16
A02-pending-failure	0	true	true	7	2	0	0	2	1	0	0	0	0	2	1	1	2	1	2	0	1	0	0	1	0	1	1	5	7	7	0	0	67	4122	1562	3878	3130	19
A02-pending-failure	1	true	true	7	2	0	0	2	1	0	0	0	0	2	1	1	2	1	2	0	1	0	0	1	0	1	1	5	7	7	0	0	67	4122	1562	3878	3130	17
A02-pending-failure	8	true	true	7	2	0	0	2	1	0	0	0	0	2	1	1	2	1	2	0	1	0	0	1	0	1	1	5	7	7	0	0	67	4122	1562	3878	3130	23
A02-pending-failure	64	true	true	7	2	0	0	2	1	0	0	0	0	2	1	1	2	1	2	0	1	0	0	1	0	1	1	5	7	7	0	0	67	4122	1563	3879	3131	22
A02-pending-failure	256	true	true	7	2	0	0	2	1	0	0	0	0	2	1	1	2	1	2	0	1	0	0	1	0	1	1	5	7	7	0	0	67	4122	1564	3880	3132	18
A02-pending-failure	Unlimited	true	true	7	2	0	0	2	1	0	0	0	0	2	1	1	2	1	2	0	1	0	0	1	0	1	1	5	7	7	0	0	67	4122	1570	3886	3138	20
A03-raw-duplicates	0	true	true	7	1	0	0	1	2	0	0	0	0	1	2	2	8	2	1	1	0	2	1	2	0	1	2	4	6	4	2	0	81	5234	1651	4512	3894	16
A03-raw-duplicates	1	true	true	7	1	0	1	1	2	2	0	0	0	1	2	2	8	2	1	1	0	2	1	2	0	1	2	4	6	4	2	0	81	5234	1651	4512	3894	37
A03-raw-duplicates	8	true	true	7	1	0	1	1	2	2	0	0	0	1	2	2	8	2	1	1	0	2	1	2	0	1	2	4	6	4	2	0	81	5234	1651	4512	3894	16
A03-raw-duplicates	64	true	true	7	1	0	1	1	2	2	0	0	0	1	2	2	8	2	1	1	0	2	1	2	0	1	2	4	6	4	2	0	81	5234	1652	4513	3895	16
A03-raw-duplicates	256	true	true	7	1	0	1	1	2	2	0	0	0	1	2	2	8	2	1	1	0	2	1	2	0	1	2	4	6	4	2	0	81	5234	1653	4514	3896	19
A03-raw-duplicates	Unlimited	true	true	7	1	0	1	1	2	2	0	0	0	1	2	2	8	2	1	1	0	2	1	2	0	1	2	4	6	4	2	0	81	5234	1659	4520	3902	13
A04-alpha-residual	0	true	true	7	1	0	0	1	0	0	0	0	0	3	0	0	2	0	1	1	0	2	1	2	0	0	0	4	6	4	1	1	68	3943	1419	3573	3114	16
A04-alpha-residual	1	true	true	7	1	0	1	1	0	1	1	0	0	3	0	0	2	0	1	1	0	2	1	2	0	0	0	4	6	4	1	1	68	3943	1419	3573	3114	14
A04-alpha-residual	8	true	true	7	1	0	1	1	0	1	1	0	0	3	0	0	2	0	1	1	0	2	1	2	0	0	0	4	6	4	1	1	68	3943	1419	3573	3114	18
A04-alpha-residual	64	true	true	7	1	0	1	1	0	1	1	0	0	3	0	0	2	0	1	1	0	2	1	2	0	0	0	4	6	4	1	1	68	3943	1420	3574	3115	12
A04-alpha-residual	256	true	true	7	1	0	1	1	0	1	1	0	0	3	0	0	2	0	1	1	0	2	1	2	0	0	0	4	6	4	1	1	68	3943	1421	3575	3116	16
A04-alpha-residual	Unlimited	true	true	7	1	0	1	1	0	1	1	0	0	3	0	0	2	0	1	1	0	2	1	2	0	0	0	4	6	4	1	1	68	3943	1427	3581	3122	11
C01-correlation	0	true	true	10	1	0	0	1	2	0	0	0	0	1	4	4	12	4	1	1	0	2	2	2	0	2	2	6	14	8	1	0	100	6207	2044	5295	4791	19
C01-correlation	1	true	true	10	1	0	1	1	2	3	0	0	0	1	4	4	12	4	1	1	0	2	2	2	0	2	2	6	14	8	1	0	100	6207	2044	5295	4791	17
C01-correlation	8	true	true	10	1	0	1	1	2	3	0	0	0	1	4	4	12	4	1	1	0	2	2	2	0	2	2	6	14	8	1	0	100	6207	2044	5295	4791	17
