case	mode	pass	factors	certificate_predicates	certificate_edges	certificate_terms	steps	source_steps	applications	equations	pairs	head_candidates	map_visits	map_allocations	term_requests	pending_allocations	regional_raw	raw_product	answers	product_jobs	products	renamed_nodes	max_jobs	cache_answers	pending_jobs	empty_refutations	observer_pairs	observer_scans	regional_observer_pairs	regional_observer_scans	regional_observer_backtracks	allocation_calls	requested_bytes	baseline_live	peak_live	final_live	elapsed_us
A01-disconnected-failure	Scalar	true	1	0	0	0	5	5	1	1	1	1	2	3	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	52	5509	1462	5493	4701	103
A01-disconnected-failure	Factored	true	1	1	0	2	5	5	1	1	1	1	2	3	1	4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	69	8787	1464	6071	5279	90
A02-pending-failure	Scalar	true	1	0	0	0	7	7	2	1	1	2	7	7	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	71	6148	1567	5733	4985	86
A02-pending-failure	Factored	true	1	2	1	1	7	7	2	1	1	2	7	7	1	5	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	95	9649	1569	6119	5371	87
A03-raw-duplicates	Scalar	true	1	0	0	0	7	7	1	2	2	1	6	4	2	4	2	2	1	0	1	0	0	0	0	0	0	0	2	0	0	86	7289	1656	6396	5778	84
A03-raw-duplicates	Factored	true	1	1	0	2	7	7	1	2	2	1	6	4	2	4	2	2	1	0	1	0	0	0	0	0	0	0	2	0	0	103	10567	1658	6974	6356	89
A04-alpha-residual	Scalar	true	1	0	0	0	7	7	1	0	0	1	6	4	0	4	2	2	1	0	1	0	0	0	0	0	0	0	1	1	0	70	5942	1424	5401	4942	84
A04-alpha-residual	Factored	true	1	2	2	0	7	7	1	0	0	1	6	4	0	4	2	2	1	0	1	0	0	0	0	0	0	0	1	1	0	89	8976	1426	5979	5520	85
C01-correlation	Scalar	true	1	0	0	0	10	10	1	4	4	1	14	8	2	6	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	105	8262	2049	7179	6675	84
C01-correlation	Factored	true	1	1	0	2	10	10	1	4	4	1	14	8	2	6	2	2	2	0	2	0	0	0	0	0	0	0	1	0	0	122	11540	2051	7757	7253	89
C02-independent	Scalar	true	1	0	0	0	18	18	3	6	6	3	34	18	6	11	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	177	11490	2270	7852	7268	91
C02-independent	Factored	true	1	1	0	2	18	18	3	6	6	3	34	18	6	11	4	4	4	0	4	0	0	0	0	0	0	0	8	0	0	199	14910	2272	8430	7846	82
C03-inactive-label	Scalar	true	1	0	0	0	10	10	1	3	3	1	8	5	3	6	3	3	3	0	3	0	0	0	0	0	0	0	3	0	0	112	8560	2259	7630	7190	58
C03-inactive-label	Factored	true	1	1	0	2	10	10	1	3	3	1	8	5	3	6	3	3	3	0	3	0	0	0	0	0	0	0	3	0	0	129	11838	2261	8208	7768	86
C04-recursive-fresh	Scalar	true	1	0	0	0	81	81	15	22	22	23	272	138	26	58	8	8	8	0	8	0	0	0	0	0	0	0	44	0	0	778	42270	4850	16461	15545	83
C04-recursive-fresh	Factored	true	1	1	2	5	81	81	15	22	22	23	272	138	26	58	8	8	8	0	8	0	0	0	0	0	0	0	44	0	0	804	45743	4852	16847	15931	136
G01-suspended	Scalar	true	1	0	0	0	2	2	0	0	1	1	2	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	56	5803	1687	5584	5360	74
G01-suspended	Factored	true	1	2	1	2	2	2	0	0	1	1	2	1	0	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	76	9239	1689	6162	5938	82
G02-recheck	Scalar	true	1	0	0	0	7	7	2	1	3	3	22	9	0	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	95	7963	2081	6340	5924	81
G02-recheck	Factored	true	1	3	3	4	7	7	2	1	3	3	22	9	0	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	124	11639	2083	6726	6310	87
H01-distinct-resources	Scalar	true	1	0	0	0	2	2	0	0	0	1	3	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	49	5133	1331	5132	4940	79
H01-distinct-resources	Factored	true	1	2	2	1	2	2	0	0	0	1	3	1	1	1	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	68	8179	1333	5710	5518	55
H02-repeated-head-alias	Scalar	true	1	0	0	0	8	8	2	1	4	7	35	14	0	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	121	10248	2106	6559	5901	97
H02-repeated-head-alias	Factored	true	1	3	4	4	8	8	2	1	4	7	35	14	0	5	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	155	13937	2108	6945	6287	73
H03-constructor-wakeup	Scalar	true	1	0	0	0	7	7	2	1	1	3	16	9	1	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	94	7201	1702	5987	5615	90
H03-constructor-wakeup	Factored	true	1	3	2	2	7	7	2	1	1	3	16	9	1	4	1	1	1	0	1	0	0	0	0	0	0	0	0	0	0	123	10877	1704	6373	6001	130
