case	mode	pass	success	input_nodes	calls	computed	hits	cache_entries	residual_refs	certificate_rules	certificate_terms	residuals	allocation_calls	build_requested	solve_requested	export_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	solve_us	export_us
ground-d0-r1	Direct	true	true	1	1	1	0	0	0	4	18	0	112	6569	0	76	6645	726	5875	875	13	0	0
ground-d0-r1	Memo	true	true	1	1	1	0	1	0	4	18	0	113	6569	456	76	7101	724	5873	1329	8	0	0
ground-d0-r8	Direct	true	true	1	8	8	0	0	0	4	18	0	112	6625	0	76	6701	726	5931	931	9	0	0
ground-d0-r8	Memo	true	true	1	8	1	7	1	0	4	18	0	113	6625	456	76	7157	724	5929	1385	9	0	0
ground-d0-r64	Direct	true	true	1	64	64	0	0	0	4	18	0	112	7073	0	76	7149	727	6380	1380	10	0	0
ground-d0-r64	Memo	true	true	1	64	1	63	1	0	4	18	0	113	7073	456	76	7605	725	6378	1834	10	0	0
ground-d1-r1	Direct	true	true	2	3	3	0	0	0	4	18	0	115	6650	0	76	6726	726	5956	956	18	0	0
ground-d1-r1	Memo	true	true	2	3	2	1	2	0	4	18	0	116	6650	456	76	7182	724	5954	1410	11	0	0
ground-d1-r8	Direct	true	true	2	24	24	0	0	0	4	18	0	115	6706	0	76	6782	726	6012	1012	11	0	0
ground-d1-r8	Memo	true	true	2	10	2	8	2	0	4	18	0	116	6706	456	76	7238	724	6010	1466	10	0	0
ground-d1-r64	Direct	true	true	2	192	192	0	0	0	4	18	0	115	7154	0	76	7230	727	6461	1461	10	1	0
ground-d1-r64	Memo	true	true	2	66	2	64	2	0	4	18	0	116	7154	456	76	7686	725	6459	1915	13	1	0
ground-d4-r1	Direct	true	true	5	31	31	0	0	0	4	18	0	124	6893	0	76	6969	726	6199	1199	9	0	0
ground-d4-r1	Memo	true	true	5	9	5	4	5	0	4	18	0	125	6893	456	76	7425	724	6197	1653	11	0	0
ground-d4-r8	Direct	true	true	5	248	248	0	0	0	4	18	0	124	6949	0	76	7025	726	6255	1255	15	2	0
ground-d4-r8	Memo	true	true	5	16	5	11	5	0	4	18	0	125	6949	456	76	7481	724	6253	1709	11	0	0
