case	mode	pass	solutions	exhausted	classes	retained_candidates	pattern_nodes	unions	domain_compares	enumeration_cache_hits	domain_cache_hits	filter_candidates	output_nodes	emitted	intersection_pairs	transition_pairs	productivity_checks	witness_nodes	ground_checks	membership_steps	membership_hits	enumeration_checks	size_partitions	enumeration_candidates	allocation_calls	build_requested	compile_requested	output_requested	requested_bytes	baseline_live	peak_live	final_live	build_us	compile_us	output_us
independent-h1-n1	FilterFirst	true	2	true	1	2	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	2	2	41	259	2517	194	2970	736	2517	1212	4	18	0
independent-h1-n1	FilterSmallest	true	2	true	1	2	1	0	0	0	0	0	2	2	0	0	0	0	0	0	0	3	2	2	41	259	2517	194	2970	739	2520	1215	7	9	0
independent-h1-n1	Intersect	true	2	true	1	2	1	0	0	0	0	0	2	2	0	0	1	1	0	0	0	3	2	2	50	259	2777	194	3230	734	2702	1210	4	16	0
independent-h1-n3	FilterFirst	true	6	true	1	6	1	0	0	0	0	0	14	6	0	0	0	0	0	0	0	9	3	6	89	259	4295	974	5528	736	3731	2388	3	11	1
independent-h1-n3	FilterSmallest	true	6	true	1	6	1	0	0	0	0	0	14	6	0	0	0	0	0	0	0	9	3	6	89	259	4295	974	5528	739	3734	2391	3	13	1
independent-h1-n3	Intersect	true	6	true	1	6	1	0	0	0	0	0	14	6	0	0	1	1	0	0	0	9	3	6	98	259	4555	974	5788	734	3916	2386	6	12	1
independent-h1-n5	FilterFirst	true	22	true	1	22	1	0	0	0	0	0	94	22	0	0	0	0	0	0	0	15	8	22	398	259	12519	6430	19208	736	10516	10516	3	30	9
independent-h1-n5	FilterSmallest	true	22	true	1	22	1	0	0	0	0	0	94	22	0	0	0	0	0	0	0	15	8	22	398	259	12519	6430	19208	739	10519	10519	3	22	6
independent-h1-n5	Intersect	true	22	true	1	22	1	0	0	0	0	0	94	22	0	0	1	1	0	0	0	15	8	22	407	259	12779	6430	19468	734	10514	10514	2	20	5
independent-h1-n7	FilterFirst	true	102	true	1	102	1	0	0	0	0	0	654	102	0	0	0	0	0	0	0	21	17	102	2510	259	60755	39246	100260	736	66164	66164	6	127	63
independent-h1-n7	FilterSmallest	true	102	true	1	102	1	0	0	0	0	0	654	102	0	0	0	0	0	0	0	21	17	102	2510	259	60755	39246	100260	739	66167	66167	3	127	64
independent-h1-n7	Intersect	true	102	true	1	102	1	0	0	0	0	0	654	102	0	0	1	1	0	0	0	21	17	102	2519	259	61015	39246	100520	734	66162	66162	4	137	66
independent-h1-n9	FilterFirst	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	0	0	0	0	0	27	30	550	17798	259	402207	301326	703792	736	482804	482804	3	1090	469
independent-h1-n9	FilterSmallest	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	0	0	0	0	0	27	30	550	17798	259	402207	301326	703792	739	482807	482807	5	1001	507
independent-h1-n9	Intersect	true	550	true	1	550	1	0	0	0	0	0	4686	550	0	0	1	1	0	0	0	27	30	550	17807	259	402467	301326	704052	734	482802	482802	6	1010	449
independent-h2-n1	FilterFirst	true	4	true	2	2	3	0	1	0	1	0	12	4	0	0	0	0	0	0	0	3	2	2	65	599	2693	588	3880	736	2945	1719	4	10	1
