case	eligible	reason	finite_reference	observations_match	raw_match	exhaustion_match	expansions	contradictions	identities	generated_goals
A01-disconnected-failure	true	ok	true	true	true	true	1	0	0	3
A02-pending-failure	true	ok	true	true	true	true	2	0	0	3
A03-raw-duplicates	true	ok	true	true	true	true	1	0	0	3
A04-alpha-residual	true	ok	true	true	true	true	1	0	0	3
C01-correlation	true	ok	true	true	true	true	1	0	0	5
C02-independent	false	multiple active query calls	true	na	na	na	0	0	0	0
C03-inactive-label	true	ok	true	true	true	true	1	0	0	5
C04-recursive-fresh	false	multiple consumers of ("build", 2)	true	na	na	na	0	0	0	0
G01-suspended	false	not a single unguarded simplification: ("p", 2)	true	na	na	na	0	0	0	0
G02-recheck	false	not a single unguarded simplification: ("p", 2)	true	na	na	na	0	0	0	0
H01-distinct-resources	false	not a single unguarded simplification: ("p", 1)	true	na	na	na	0	0	0	0
H02-repeated-head-alias	false	not a single unguarded simplification: ("p", 1)	true	na	na	na	0	0	0	0
H03-constructor-wakeup	false	constructor head: ("p", 1)	true	na	na	na	0	0	0	0
H04-inherited-history	false	not a single unguarded simplification: ("p", 0)	true	na	na	na	0	0	0	0
H05-conditional-history	false	not a single unguarded simplification: ("p", 1)	true	na	na	na	0	0	0	0
H06-conditional-consumption	false	not a single unguarded simplification: ("p", 0)	true	na	na	na	0	0	0	0
M01-committed	false	multiple consumers of ("p", 1)	true	na	na	na	0	0	0	0
M02-nonbinding	false	constructor head: ("p", 1)	true	na	na	na	0	0	0	0
S01-finite-sibling	true	ok	false	true	true	true	8	0	0	3
U01-clash	true	ok	true	true	true	true	1	1	0	1
U02-self	true	ok	true	true	true	true	1	0	1	1
U03-alias	true	ok	true	true	true	true	1	0	0	3
U04-occurs	true	ok	true	true	true	true	1	1	0	3
U05-conditional-occurs	true	ok	true	true	true	true	1	1	0	3
U06-union-cycle	true	ok	true	true	true	true	1	0	0	3
V01-fresh	false	multiple active query calls	true	na	na	na	0	0	0	0
app-add-decompose	true	ok	true	true	true	true	4	1	0	28
app-add-failure	true	ok	true	true	true	true	3	4	0	18
app-add-forward	true	ok	true	true	true	true	3	3	1	17
app-add-left	true	ok	true	true	true	true	6	6	1	41
app-add-repeated	true	ok	true	true	true	true	5	5	1	34
app-add-right	true	ok	true	true	true	true	3	3	1	17
app-infer-identity	false	work after an active call is not tail-position	true	na	na	na	0	0	0	0
app-lambda-identity	false	multiple consumers of ("neq", 2)	true	na	na	na	0	0	0	0
app-lambda-norm-residual	false	multiple consumers of ("norm", 1)	true	na	na	na	0	0	0	0
app-sk-duplication	false	work after an active call is not tail-position	true	na	na	na	0	0	0	0
app-sk-identity	false	work after an active call is not tail-position	true	na	na	na	0	0	0	0
app-sk-ignored-hole	false	multiple consumers of ("no_c", 1)	true	na	na	na	0	0	0	0
app-sub	true	ok	true	true	true	true	4	3	1	17
app-type-synthesis-prefix	false	work after an active call is not tail-position	false	na	na	na	0	0	0	0
carry-k0-w0-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k0-w0-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k0-w1-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k0-w1-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k0-w4-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k0-w4-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k1-w0-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k1-w0-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k1-w1-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k1-w1-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k1-w4-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k1-w4-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k2-w0-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k2-w0-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k2-w1-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k2-w1-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k2-w4-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k2-w4-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k3-w0-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k3-w0-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k3-w1-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k3-w1-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k3-w4-n0	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
carry-k3-w4-n3	false	constructor head: ("carry", 2)	true	na	na	na	0	0	0	0
