case	mode	limit	status	steps	raw	failed	answers	exhausted	issued	committed_equations	lookahead_visits	projection_dereferences	max_outstanding	owner_buffered_peak	uncommitted_at_shutdown	calls	pairs	resolve_nodes	occurs_nodes	worker_completion
A01-disconnected-failure	Owned	0	pass	5	0	1	0	true	1	1	0	0	0	0	0	1	1	4	1	[]
A01-disconnected-failure	Shared	0	pass	5	0	1	0	true	0	0	0	0	0	0	0	0	0	0	0	[]
A01-disconnected-failure	Inline	1	pass	5	0	1	0	true	1	1	5	1	1	1	0	1	1	4	1	[]
A01-disconnected-failure	Inline	4	pass	5	0	1	0	true	1	1	5	1	1	1	0	1	1	4	1	[]
A01-disconnected-failure	Threads(1)	1	pass	5	0	1	0	true	1	1	5	1	1	1	0	1	1	4	1	[(0, 0)]
A01-disconnected-failure	Threads(1)	4	pass	5	0	1	0	true	1	1	5	1	1	1	0	1	1	4	1	[(0, 0)]
A01-disconnected-failure	Threads(2)	1	pass	5	0	1	0	true	1	1	5	1	1	1	0	1	1	4	1	[(0, 0)]
A01-disconnected-failure	Threads(2)	4	pass	5	0	1	0	true	1	1	5	1	1	1	0	1	1	4	1	[(0, 0)]
A02-pending-failure	Owned	0	pass	7	0	1	0	true	1	1	0	0	0	0	0	1	1	4	1	[]
A02-pending-failure	Shared	0	pass	7	0	1	0	true	0	0	0	0	0	0	0	0	0	0	0	[]
A02-pending-failure	Inline	1	pass	7	0	1	0	true	1	1	7	1	1	1	0	1	1	4	1	[]
A02-pending-failure	Inline	4	pass	7	0	1	0	true	1	1	7	1	1	1	0	1	1	4	1	[]
A02-pending-failure	Threads(1)	1	pass	7	0	1	0	true	1	1	7	1	1	1	0	1	1	4	1	[(0, 0)]
A02-pending-failure	Threads(1)	4	pass	7	0	1	0	true	1	1	7	1	1	1	0	1	1	4	1	[(0, 0)]
A02-pending-failure	Threads(2)	1	pass	7	0	1	0	true	1	1	7	1	1	1	0	1	1	4	1	[(0, 0)]
A02-pending-failure	Threads(2)	4	pass	7	0	1	0	true	1	1	7	1	1	1	0	1	1	4	1	[(1, 0)]
A03-raw-duplicates	Owned	0	pass	7	2	0	1	true	2	2	0	0	0	0	0	2	2	8	2	[]
A03-raw-duplicates	Shared	0	pass	7	2	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
A03-raw-duplicates	Inline	1	pass	7	2	0	1	true	2	2	8	2	1	1	0	2	2	8	2	[]
A03-raw-duplicates	Inline	4	pass	7	2	0	1	true	2	2	10	2	2	2	0	2	2	8	2	[]
A03-raw-duplicates	Threads(1)	1	pass	7	2	0	1	true	2	2	8	2	1	1	0	2	2	8	2	[(0, 0), (0, 1)]
A03-raw-duplicates	Threads(1)	4	pass	7	2	0	1	true	2	2	10	2	2	1	0	2	2	8	2	[(0, 0), (0, 1)]
A03-raw-duplicates	Threads(2)	1	pass	7	2	0	1	true	2	2	8	2	1	1	0	2	2	8	2	[(0, 0), (1, 1)]
A03-raw-duplicates	Threads(2)	4	pass	7	2	0	1	true	2	2	10	2	2	1	0	2	2	8	2	[(0, 0), (0, 1)]
A04-alpha-residual	Owned	0	pass	7	2	0	1	true	0	0	0	0	0	0	0	0	0	0	0	[]
