case	mode	quantum	limit	status	factors	answers	raw_products	owner_turns	source_turns	applications	products	product_jobs	duplicates	refutations	issued	received	accepted	max_outstanding	owner_buffered_peak	outstanding	buffered	unaccepted_at_shutdown	actual_source_steps	accepted_source_steps	cancelled_requests	unserved_quantum_slots	prefetch_visits
A01-disconnected-failure	Baseline	1	0	pass	1	0	0	5	5	1	0	0	0	1	0	0	0	0	0	0	0	0	5	5	0	0	0
A01-disconnected-failure	Inline	1	4	pass	1	0	0	5	5	1	0	0	0	1	5	5	5	1	1	0	0	0	5	5	0	0	5
A01-disconnected-failure	Threads(1)	1	4	pass	1	0	0	5	5	1	0	0	0	1	5	5	5	1	1	0	0	0	5	5	0	0	5
A01-disconnected-failure	Threads(2)	1	4	pass	1	0	0	5	5	1	0	0	0	1	5	5	5	1	1	0	0	0	5	5	0	0	5
A01-disconnected-failure	Inline	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	5	5	0	0	1
A01-disconnected-failure	Threads(1)	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	5	5	0	0	1
A01-disconnected-failure	Threads(2)	8	4	pass	1	0	0	1	1	1	0	0	0	1	1	1	1	1	1	0	0	0	5	5	0	0	1
A02-pending-failure	Baseline	1	0	pass	1	0	0	7	7	2	0	0	0	1	0	0	0	0	0	0	0	0	7	7	0	0	0
A02-pending-failure	Inline	1	4	pass	1	0	0	7	7	2	0	0	0	1	7	7	7	1	1	0	0	0	7	7	0	0	7
A02-pending-failure	Threads(1)	1	4	pass	1	0	0	7	7	2	0	0	0	1	7	7	7	1	1	0	0	0	7	7	0	0	7
A02-pending-failure	Threads(2)	1	4	pass	1	0	0	7	7	2	0	0	0	1	7	7	7	1	1	0	0	0	7	7	0	0	7
A02-pending-failure	Inline	8	4	pass	1	0	0	1	1	2	0	0	0	1	1	1	1	1	1	0	0	0	7	7	0	0	1
A02-pending-failure	Threads(1)	8	4	pass	1	0	0	1	1	2	0	0	0	1	1	1	1	1	1	0	0	0	7	7	0	0	1
A02-pending-failure	Threads(2)	8	4	pass	1	0	0	1	1	2	0	0	0	1	1	1	1	1	1	0	0	0	7	7	0	0	1
A03-raw-duplicates	Baseline	1	0	pass	1	1	2	7	7	1	1	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
A03-raw-duplicates	Inline	1	4	pass	1	1	2	7	7	1	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
A03-raw-duplicates	Threads(1)	1	4	pass	1	1	2	7	7	1	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
A03-raw-duplicates	Threads(2)	1	4	pass	1	1	2	7	7	1	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
A03-raw-duplicates	Inline	8	4	pass	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
A03-raw-duplicates	Threads(1)	8	4	pass	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
A03-raw-duplicates	Threads(2)	8	4	pass	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
A04-alpha-residual	Baseline	1	0	pass	1	1	2	7	7	1	1	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
A04-alpha-residual	Inline	1	4	pass	1	1	2	7	7	1	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
A04-alpha-residual	Threads(1)	1	4	pass	1	1	2	7	7	1	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
A04-alpha-residual	Threads(2)	1	4	pass	1	1	2	7	7	1	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
A04-alpha-residual	Inline	8	4	pass	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
A04-alpha-residual	Threads(1)	8	4	pass	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
A04-alpha-residual	Threads(2)	8	4	pass	1	1	2	1	1	1	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
C01-correlation	Baseline	1	0	pass	1	2	2	10	10	1	2	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0
C01-correlation	Inline	1	4	pass	1	2	2	10	10	1	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
C01-correlation	Threads(1)	1	4	pass	1	2	2	10	10	1	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
C01-correlation	Threads(2)	1	4	pass	1	2	2	10	10	1	2	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
C01-correlation	Inline	8	4	pass	1	2	2	2	2	1	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
C01-correlation	Threads(1)	8	4	pass	1	2	2	2	2	1	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
C01-correlation	Threads(2)	8	4	pass	1	2	2	2	2	1	2	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
C02-independent	Baseline	1	0	pass	1	4	4	18	18	3	4	0	0	0	0	0	0	0	0	0	0	0	18	18	0	0	0
C02-independent	Inline	1	4	pass	1	4	4	18	18	3	4	0	0	0	18	18	18	1	1	0	0	0	18	18	0	0	18
C02-independent	Threads(1)	1	4	pass	1	4	4	18	18	3	4	0	0	0	18	18	18	1	1	0	0	0	18	18	0	0	18
C02-independent	Threads(2)	1	4	pass	1	4	4	18	18	3	4	0	0	0	18	18	18	1	1	0	0	0	18	18	0	0	18
C02-independent	Inline	8	4	pass	1	4	4	3	3	3	4	0	0	0	3	3	3	1	1	0	0	0	18	18	0	0	3
C02-independent	Threads(1)	8	4	pass	1	4	4	3	3	3	4	0	0	0	3	3	3	1	1	0	0	0	18	18	0	0	3
C02-independent	Threads(2)	8	4	pass	1	4	4	3	3	3	4	0	0	0	3	3	3	1	1	0	0	0	18	18	0	0	3
C03-inactive-label	Baseline	1	0	pass	1	3	3	10	10	1	3	0	0	0	0	0	0	0	0	0	0	0	10	10	0	0	0
C03-inactive-label	Inline	1	4	pass	1	3	3	10	10	1	3	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
C03-inactive-label	Threads(1)	1	4	pass	1	3	3	10	10	1	3	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
C03-inactive-label	Threads(2)	1	4	pass	1	3	3	10	10	1	3	0	0	0	10	10	10	1	1	0	0	0	10	10	0	0	10
C03-inactive-label	Inline	8	4	pass	1	3	3	2	2	1	3	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
C03-inactive-label	Threads(1)	8	4	pass	1	3	3	2	2	1	3	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
C03-inactive-label	Threads(2)	8	4	pass	1	3	3	2	2	1	3	0	0	0	2	2	2	1	1	0	0	0	10	10	0	0	2
C04-recursive-fresh	Baseline	1	0	pass	1	8	8	81	81	15	8	0	0	0	0	0	0	0	0	0	0	0	81	81	0	0	0
C04-recursive-fresh	Inline	1	4	pass	1	8	8	81	81	15	8	0	0	0	81	81	81	1	1	0	0	0	81	81	0	0	81
C04-recursive-fresh	Threads(1)	1	4	pass	1	8	8	81	81	15	8	0	0	0	81	81	81	1	1	0	0	0	81	81	0	0	81
C04-recursive-fresh	Threads(2)	1	4	pass	1	8	8	81	81	15	8	0	0	0	81	81	81	1	1	0	0	0	81	81	0	0	81
C04-recursive-fresh	Inline	8	4	pass	1	8	8	11	11	15	8	0	0	0	11	11	11	1	1	0	0	0	81	81	0	0	11
C04-recursive-fresh	Threads(1)	8	4	pass	1	8	8	11	11	15	8	0	0	0	11	11	11	1	1	0	0	0	81	81	0	0	11
C04-recursive-fresh	Threads(2)	8	4	pass	1	8	8	11	11	15	8	0	0	0	11	11	11	1	1	0	0	0	81	81	0	0	11
G01-suspended	Baseline	1	0	pass	1	1	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
G01-suspended	Inline	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
G01-suspended	Threads(1)	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
G01-suspended	Threads(2)	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
G01-suspended	Inline	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
G01-suspended	Threads(1)	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
G01-suspended	Threads(2)	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
G02-recheck	Baseline	1	0	pass	1	1	1	7	7	2	1	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
G02-recheck	Inline	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
G02-recheck	Threads(1)	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
G02-recheck	Threads(2)	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
G02-recheck	Inline	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
G02-recheck	Threads(1)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
G02-recheck	Threads(2)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
H01-distinct-resources	Baseline	1	0	pass	1	1	1	2	2	0	1	0	0	0	0	0	0	0	0	0	0	0	2	2	0	0	0
H01-distinct-resources	Inline	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
H01-distinct-resources	Threads(1)	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
H01-distinct-resources	Threads(2)	1	4	pass	1	1	1	2	2	0	1	0	0	0	2	2	2	1	1	0	0	0	2	2	0	0	2
H01-distinct-resources	Inline	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
H01-distinct-resources	Threads(1)	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
H01-distinct-resources	Threads(2)	8	4	pass	1	1	1	1	1	0	1	0	0	0	1	1	1	1	1	0	0	0	2	2	0	0	1
H02-repeated-head-alias	Baseline	1	0	pass	1	1	1	8	8	2	1	0	0	0	0	0	0	0	0	0	0	0	8	8	0	0	0
H02-repeated-head-alias	Inline	1	4	pass	1	1	1	8	8	2	1	0	0	0	8	8	8	1	1	0	0	0	8	8	0	0	8
H02-repeated-head-alias	Threads(1)	1	4	pass	1	1	1	8	8	2	1	0	0	0	8	8	8	1	1	0	0	0	8	8	0	0	8
H02-repeated-head-alias	Threads(2)	1	4	pass	1	1	1	8	8	2	1	0	0	0	8	8	8	1	1	0	0	0	8	8	0	0	8
H02-repeated-head-alias	Inline	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	8	8	0	0	1
H02-repeated-head-alias	Threads(1)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	8	8	0	0	1
H02-repeated-head-alias	Threads(2)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	8	8	0	0	1
H03-constructor-wakeup	Baseline	1	0	pass	1	1	1	7	7	2	1	0	0	0	0	0	0	0	0	0	0	0	7	7	0	0	0
H03-constructor-wakeup	Inline	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
H03-constructor-wakeup	Threads(1)	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
H03-constructor-wakeup	Threads(2)	1	4	pass	1	1	1	7	7	2	1	0	0	0	7	7	7	1	1	0	0	0	7	7	0	0	7
H03-constructor-wakeup	Inline	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
H03-constructor-wakeup	Threads(1)	8	4	pass	1	1	1	1	1	2	1	0	0	0	1	1	1	1	1	0	0	0	7	7	0	0	1
