family	size	execution	policy	access	before_median_ns	before_min_ns	before_max_ns	before_execution_ns	before_applications	before_candidate_visits	before_generic_template_visits	before_structural_tests	before_binding_slot_copies	before_pool_entries	before_index_bucket_entries	before_index_lookups	before_index_repairs	before_index_inserts	before_index_removes	before_key_visits	before_key_template_visits	before_key_normalization_requests	before_key_normalization_allocations	before_dependency_visits	before_activation_pushes	before_history_checks	before_pairs	before_dereferences	before_map_visits	before_map_allocations	before_term_requests	before_execution_allocations	before_execution_requested_bytes	after_median_ns	after_min_ns	after_max_ns	after_execution_ns	after_applications	after_candidate_visits	after_generic_template_visits	after_structural_tests	after_binding_slot_copies	after_pool_entries	after_index_bucket_entries	after_index_lookups	after_index_repairs	after_index_inserts	after_index_removes	after_key_visits	after_key_template_visits	after_key_normalization_requests	after_key_normalization_allocations	after_dependency_visits	after_activation_pushes	after_history_checks	after_pairs	after_dereferences	after_map_visits	after_map_allocations	after_term_requests	after_execution_allocations	after_execution_requested_bytes	lifecycle_ratio_after_before	ranges_overlap
Build	8	Generated	Active	Indexed	144154	122268	170060	25362.25	9	17	0	34	58	0	0	0	18	9	9	54	0	45	0	54	9	9	9	44	113	29	71	560	24400	141999	135233	188203	23911.5	9	17	0	34	58	0	0	0	18	9	9	54	0	45	0	54	9	9	9	44	113	29	71	560	24400	0.9850507096577271	True
Build	8	Generated	Active	Scan	133629	109318	150417	19819.5	9	17	0	34	58	0	0	0	0	0	0	0	0	0	0	54	9	9	9	35	98	29	26	369	19870	122336	101803	191484	18019.75	9	17	0	34	58	0	0	0	0	0	0	0	0	0	0	54	9	9	9	35	98	29	26	369	19870	0.9154899011442127	True
Build	8	Generated	Global	Indexed	150007	128698	163947	25405.0	9	9	0	26	50	8	1	20	18	9	9	54	38	55	0	54	0	9	9	44	113	29	81	551	24154	141786	125501	152503	24908.75	9	9	0	26	50	8	1	20	18	9	9	54	38	55	0	54	0	9	9	44	113	29	81	551	24154	0.9451958908584266	True
Build	8	Generated	Global	Scan	97171	90069	108412	14309.5	9	17	0	34	58	17	0	0	0	0	0	0	0	0	0	0	0	9	9	35	83	29	26	309	15702	108774	103441	117399	14912.5	9	17	0	34	58	17	0	0	0	0	0	0	0	0	0	0	0	9	9	35	83	29	26	309	15702	1.1194080538432247	True
Build	8	Generic	Active	Indexed	137539	118964	169906	24638.75	9	17	109	34	58	0	0	0	18	9	9	54	0	45	0	54	9	9	9	44	113	29	71	560	24400	146013	129112	162886	25200.0	9	17	109	34	58	0	0	0	18	9	9	54	0	45	0	54	9	9	9	44	113	29	71	560	24400	1.0616116156144804	True
Build	8	Generic	Active	Scan	111535	102309	127776	17447.25	9	17	109	34	58	0	0	0	0	0	0	0	0	0	0	54	9	9	9	35	98	29	26	369	19870	109716	99141	135216	17175.0	9	17	109	34	58	0	0	0	0	0	0	0	0	0	0	54	9	9	9	35	98	29	26	369	19870	0.9836912180033174	True
Build	8	Generic	Global	Indexed	134191	131471	146106	23031.0	9	9	101	26	50	8	1	20	18	9	9	54	38	55	0	54	0	9	9	44	113	29	81	551	24154	126249	125117	141031	22688.25	9	9	101	26	50	8	1	20	18	9	9	54	38	55	0	54	0	9	9	44	113	29	81	551	24154	0.9408157029905135	True
Build	8	Generic	Global	Scan	92637	83449	99361	13438.0	9	17	109	34	58	17	0	0	0	0	0	0	0	0	0	0	0	9	9	35	83	29	26	309	15702	112502	91095	121142	15640.0	9	17	109	34	58	17	0	0	0	0	0	0	0	0	0	0	0	9	9	35	83	29	26	309	15702	1.214439154981271	True
Build	64	Generated	Active	Indexed	1384887	1335474	1477744	308746.25	65	129	0	258	450	0	0	0	130	65	65	2210	0	2145	0	2210	65	65	65	324	2401	449	2339	11863	278584	1440408	1330648	1584890	320529.25	65	129	0	258	450	0	0	0	130	65	65	2210	0	2145	0	2210	65	65	65	324	2401	449	2339	11863	278584	1.040090635553659	True
Build	64	Generated	Active	Scan	725125	659864	730326	134583.5	65	129	0	258	450	0	0	0	0	0	0	0	0	0	0	2210	65	65	65	259	2075	449	194	3216	189662	715216	625992	725709	135091.75	65	129	0	258	450	0	0	0	0	0	0	0	0	0	0	2210	65	65	65	259	2075	449	194	3216	189662	0.9863347698672643	True
Build	64	Generated	Global	Indexed	1475184	1398507	1539453	328755.5	65	65	0	194	386	64	1	132	130	65	65	2210	262	2211	0	2210	0	65	65	324	2401	449	2405	11742	275706	1401211	1370640	1477666	312190.25	65	65	0	194	386	64	1	132	130	65	65	2210	262	2211	0	2210	0	65	65	324	2401	449	2405	11742	275706	0.9498550689269949	True
Build	64	Generated	Global	Scan	501036	471981	566332	86196.0	65	129	0	258	450	129	0	0	0	0	0	0	0	0	0	0	0	65	65	259	1749	449	194	2474	128198	509132	453843	553571	84746.0	65	129	0	258	450	129	0	0	0	0	0	0	0	0	0	0	0	65	65	259	1749	449	194	2474	128198	1.0161585195474976	True
Build	64	Generic	Active	Indexed	1481876	1323838	1562323	328319.0	65	129	837	258	450	0	0	0	130	65	65	2210	0	2145	0	2210	65	65	65	324	2401	449	2339	11863	278584	1415793	1349444	1736031	316921.0	65	129	837	258	450	0	0	0	130	65	65	2210	0	2145	0	2210	65	65	65	324	2401	449	2339	11863	278584	0.9554058504220326	True
Build	64	Generic	Active	Scan	686359	629346	742378	134205.75	65	129	837	258	450	0	0	0	0	0	0	0	0	0	0	2210	65	65	65	259	2075	449	194	3216	189662	678764	631612	699005	131991.0	65	129	837	258	450	0	0	0	0	0	0	0	0	0	0	2210	65	65	65	259	2075	449	194	3216	189662	0.9889343623380767	True
Build	64	Generic	Global	Indexed	1439756	1409331	1442889	321127.0	65	65	773	194	386	64	1	132	130	65	65	2210	262	2211	0	2210	0	65	65	324	2401	449	2405	11742	275706	1403271	1361237	1460649	313327.25	65	65	773	194	386	64	1	132	130	65	65	2210	262	2211	0	2210	0	65	65	324	2401	449	2405	11742	275706	0.9746589005359242	True
Build	64	Generic	Global	Scan	498189	468745	523935	87843.25	65	129	837	258	450	129	0	0	0	0	0	0	0	0	0	0	0	65	65	259	1749	449	194	2474	128198	496469	463781	698551	84849.75	65	129	837	258	450	129	0	0	0	0	0	0	0	0	0	0	0	65	65	259	1749	449	194	2474	128198	0.9965474950269877	True
Chain	8	Generated	Active	Indexed	407982	391190	461062	79307.75	17	318	0	351	670	181	9	38	35	34	9	62	52	53	0	43	34	33	163	36	71	29	88	1798	78462	374711	318516	392802	71236.75	17	100	0	157	234	0	33	86	35	34	9	86	52	77	0	43	34	33	90	63	116	29	112	1216	63238	0.9184498335710889	True
Chain	8	Generated	Active	Scan	345611	336441	384987	67140.0	17	382	0	415	798	261	0	0	0	0	0	0	0	0	0	43	34	33	227	27	71	29	35	1788	70308	348038	313562	387696	64383.5	17	285	0	342	604	261	0	0	0	0	0	0	0	0	0	43	34	33	275	54	116	29	35	1521	64668	1.0070223459322765	True
Chain	8	Generated	Global	Indexed	462497	444114	581480	92243.0	17	305	0	430	644	216	125	360	35	34	9	223	333	214	0	43	0	125	134	36	71	29	249	1974	79184	463503	436751	471360	89095.75	17	305	0	430	644	216	125	360	35	34	9	223	333	214	0	43	0	125	134	36	71	29	249	1974	79184	1.0021751492442112	True
Chain	8	Generated	Global	Scan	564680	536169	605128	122405.25	17	1289	0	1414	2612	1389	0	0	0	0	0	0	0	0	0	0	0	125	1118	27	71	29	35	4353	151164	601982	594057	631656	128962.0	17	1289	0	1414	2612	1389	0	0	0	0	0	0	0	0	0	0	0	125	1118	27	71	29	35	4353	151164	1.0660586526882483	True
