family	size	execution	policy	access	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work_applications	work_candidate_visits	work_generic_template_visits	work_structural_tests	work_binding_slot_copies	work_pool_entries	work_index_bucket_entries	work_index_lookups	work_index_repairs	work_index_inserts	work_index_removes	work_key_visits	work_key_template_visits	work_key_normalization_requests	work_key_normalization_allocations	work_dependency_visits	work_activation_pushes	work_history_checks	work_pairs	work_dereferences	work_map_visits	work_map_allocations	work_term_requests	execution_requested_bytes	execution_allocation_calls	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
Build	8	Generated	Active	Indexed	16603	14131	21405	899	749	1098	34893	29794	40630	47547	37106	53182	28594.333333333332	24297.666666666668	30542.0	155532	125300	160209	3060.25	2490.75	3136.5	26641.75	21662.0	27860.25	1460.25	1225.5	1481.0	2433.25	1837.25	2985.25	267.0	232.25	287.75	9	17	0	34	58	0	0	0	18	9	9	54	0	45	0	54	9	9	9	44	113	29	71	24400	560	14306	4505	2154
Build	8	Generated	Active	Scan	14583	11576	30273	877	743	1272	34916	28318	43519	37303	30673	42787	21968.666666666668	18960.333333333332	23047.666666666668	121618	99873	140238	3054.25	2445.25	3214.25	19373.75	16048.75	19723.25	1420.5	1198.25	1530.25	2317.75	1899.0	2464.75	276.0	245.75	299.5	9	17	0	34	58	0	0	0	0	0	0	0	0	0	0	54	9	9	9	35	98	29	26	19870	369	13391	4502	2154
Build	8	Generated	Global	Indexed	16235	11469	20991	889	768	1297	32287	30651	39365	41017	36954	44690	26947.333333333332	24263.333333333332	28833.0	138526	135022	140757	2693.75	2652.75	2759.75	23901.5	22676.75	24412.5	1284.75	1272.0	1329.5	2076.5	2030.75	2109.0	280.0	256.75	315.0	9	9	0	26	50	8	1	20	18	9	9	54	38	55	0	54	0	9	9	44	113	29	81	24154	551	14170	4505	2154
Build	8	Generated	Global	Scan	15445	13533	20085	1037	736	1367	36154	32563	41842	31437	29002	34000	18326.666666666668	15618.333333333334	21284.666666666668	102846	90126	112948	2782.25	2539.25	3127.0	14935.75	13126.25	16974.5	1292.5	1140.0	1373.75	2196.75	1863.5	2238.75	267.75	244.5	292.75	9	17	0	34	58	17	0	0	0	0	0	0	0	0	0	0	0	9	9	35	83	29	26	15702	309	12519	4502	2154
Build	8	Generic	Active	Indexed	9902	8001	13628	1061	842	1492	35300	29397	42485	45971	36644	47045	26056.0	24470.0	29016.0	135371	118918	147440	2937.5	2536.0	3240.0	23846.0	21634.25	26254.5	1253.5	1116.25	1384.5	2109.75	1947.0	2313.5	243.0	225.25	267.25	9	17	109	34	58	0	0	0	18	9	9	54	0	45	0	54	9	9	9	44	113	29	71	24400	560	14304	4503	2154
Build	8	Generic	Active	Scan	8272	8082	12584	803	761	947	32561	27987	38087	34960	31281	37167	18840.666666666668	18348.666666666668	21181.0	101035	95420	110261	2812.75	2630.0	3039.25	16558.75	15527.5	18265.75	1220.75	1104.0	1340.0	2057.75	1876.25	2174.0	231.0	217.75	299.5	9	17	109	34	58	0	0	0	0	0	0	0	0	0	0	54	9	9	9	35	98	29	26	19870	369	13389	4500	2154
Build	8	Generic	Global	Indexed	8767	7944	15773	845	717	1165	31251	27891	36009	38877	36676	45848	24944.333333333332	24155.333333333332	28548.333333333332	133200	119028	140345	2759.5	2660.5	3098.25	23304.75	21500.5	25439.5	1269.75	1249.75	1418.0	2085.5	1845.75	2189.25	274.75	246.25	292.5	9	9	101	26	50	8	1	20	18	9	9	54	38	55	0	54	0	9	9	44	113	29	81	24154	551	14168	4503	2154
Build	8	Generic	Global	Scan	8487	8140	17413	851	760	1149	33692	28546	42588	30080	26174	43339	18853.666666666668	16449.666666666668	19924.333333333332	96330	84557	117857	3044.5	2646.25	3526.25	14864.0	12893.5	17255.5	1271.25	1158.25	1856.75	2229.5	1880.5	2597.75	283.0	252.25	305.5	9	17	109	34	58	17	0	0	0	0	0	0	0	0	0	0	0	9	9	35	83	29	26	15702	309	12517	4500	2154
Build	64	Generated	Active	Indexed	15832	13920	23692	1160	699	1367	72573	69259	79489	373362	342189	385711	338381.3333333333	332345.6666666667	371017.3333333333	1390751	1366757	1523615	20336.75	19885.25	22424.0	309525.0	303806.5	336737.25	7095.75	6674.25	8035.75	5104.25	4865.25	5749.75	1539.0	1493.75	1674.5	65	129	0	258	450	0	0	0	130	65	65	2210	0	2145	0	2210	65	65	65	324	2401	449	2339	278584	11863	57027	4506	2154
Build	64	Generated	Active	Scan	19158	17051	24559	1075	955	1420	79467	75739	94493	203603	183269	206047	164517.0	162938.0	166139.0	717944	694249	729147	20635.25	20277.75	22108.5	138056.75	133532.0	139946.75	7634.25	7200.5	7726.5	5521.0	5157.75	5582.5	1585.5	1504.25	2737.25	65	129	0	258	450	0	0	0	0	0	0	0	0	0	0	2210	65	65	65	259	2075	449	194	189662	3216	56112	4503	2154
Build	64	Generated	Global	Indexed	14532	12848	20191	828	747	954	80166	67723	80910	367755	349140	414006	344508.0	338735.3333333333	366552.0	1412286	1379035	1529708	20792.25	18968.0	22007.0	314781.75	309126.75	341617.75	7606.25	6941.0	7672.25	5123.5	4758.0	5471.75	1577.75	1482.0	1649.5	65	65	0	194	386	64	1	132	130	65	65	2210	262	2211	0	2210	0	65	65	324	2401	449	2405	275706	11742	56891	4506	2154
Build	64	Generated	Global	Scan	14487	12019	22030	734	714	1269	70760	68626	91576	135686	121618	157090	114447.0	107206.0	133538.0	500316	474281	581003	20399.25	18798.75	22611.25	85143.0	81046.75	100525.25	7074.75	6813.0	8323.5	4878.25	4806.25	6064.75	1515.5	1472.75	1837.5	65	129	0	258	450	129	0	0	0	0	0	0	0	0	0	0	0	65	65	259	1749	449	194	128198	2474	55240	4503	2154
Build	64	Generic	Active	Indexed	7997	7458	13829	830	715	1485	76907	71137	86088	386693	352000	405285	344512.6666666667	330235.6666666667	387343.3333333333	1402526	1351347	1579686	19280.25	18969.25	21307.25	313398.0	302549.5	353156.75	7988.0	6570.5	8168.75	6308.0	5743.75	7323.75	1645.75	1474.0	1811.5	65	129	837	258	450	0	0	0	130	65	65	2210	0	2145	0	2210	65	65	65	324	2401	449	2339	278584	11863	57025	4504	2154
Build	64	Generic	Active	Scan	10438	10109	14119	1086	766	1164	77106	75906	83869	200605	174426	204844	166927.66666666666	149082.0	181536.33333333334	716717	636955	760652	21150.25	18998.25	22230.5	140317.5	123060.75	149427.5	7688.5	6917.25	8067.25	5339.75	4909.25	5742.0	1597.25	1479.25	1759.75	65	129	837	258	450	0	0	0	0	0	0	0	0	0	0	2210	65	65	65	259	2075	449	194	189662	3216	56110	4501	2154
Build	64	Generic	Global	Indexed	11294	9146	16404	1005	719	1371	77856	72343	86679	409482	351788	434655	346669.0	331274.0	405214.3333333333	1433361	1380849	1663800	19823.25	19242.25	21329.75	321477.25	304550.75	371524.75	6981.75	6742.0	10904.0	6407.5	5773.25	7046.5	1587.0	1494.25	1699.75	65	65	773	194	386	64	1	132	130	65	65	2210	262	2211	0	2210	0	65	65	324	2401	449	2405	275706	11742	56889	4504	2154
Build	64	Generic	Global	Scan	9951	9158	13805	956	796	1196	75755	71127	80537	143269	128175	146876	117095.0	112479.66666666667	128725.0	506322	480615	543976	20819.25	19386.75	22687.75	88715.0	82966.0	95044.0	7299.0	6971.75	8103.5	5101.0	4901.5	5558.75	1626.25	1539.0	1800.25	65	129	837	258	450	129	0	0	0	0	0	0	0	0	0	0	0	65	65	259	1749	449	194	128198	2474	55238	4501	2154
Chain	8	Generated	Active	Indexed	14621	12863	16291	807	677	816	148334	141695	161396	115839	101467	122963	90310.66666666667	86530.33333333333	93426.0	403225	374598	411448	6755.5	6606.75	6915.5	80530.0	74352.25	82438.0	4725.0	4599.25	5299.25	2996.25	2907.25	3225.0	1586.0	974.25	1656.0	17	318	0	351	670	181	9	38	35	34	9	62	52	53	0	43	34	33	163	36	71	29	88	78462	1798	33717	4731	2380
Chain	8	Generated	Active	Scan	16378	13651	19331	730	714	793	155462	145762	164856	91808	88050	96022	78326.66666666667	76512.0	82810.33333333333	346158	334220	361624	6960.75	6731.25	7765.0	66867.0	65199.0	69769.0	4500.25	4248.0	5428.5	2106.25	1999.25	2322.75	887.0	811.5	1371.75	17	382	0	415	798	261	0	0	0	0	0	0	0	0	0	43	34	33	227	27	71	29	35	70308	1788	24354	4728	2380
