stage	family	size	depth	variant	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work	setup_allocation_calls	setup_requested_bytes	execution_allocation_calls	execution_requested_bytes	observe_allocation_calls	observe_requested_bytes	engine_drop_allocation_calls	engine_drop_requested_bytes	answer_drop_allocation_calls	answer_drop_requested_bytes	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
after	batch	8	1	generated-global-scan	167748	160058	208059	22864	15644	27962	915	806	1037	90704	85729	108904	48331	43899	59673	32735.333333333332	31664.666666666668	39797.666666666664	8845.5	8347.25	9856.0	21471.5	21297.5	27567.0	3310.0	3207.75	3847.0	2113.25	1973.75	2633.75	698.0	667.25	785.5	"{""activation_pushes"": 0, ""applications"": 17, ""binding_slot_copies"": 156, ""candidate_visits"": 61, ""dependency_visits"": 0, ""dereferences"": 24, ""generic_template_visits"": 0, ""history_checks"": 53, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 27, ""map_visits"": 70, ""pairs"": 17, ""pool_entries"": 145, ""structural_tests"": 122, ""term_requests"": 34}"	129	9002	530	24784	98	3664	0	0	0	0	19401	4867	2529
after	batch	8	1	integrated	246769	235389	275713	7324	4980	10396	1087	794	1275	79493	73854	83742	74723	68022	87795	54686.666666666664	53656.0	58820.0	19925.75	19047.5	22974.25	32278.0	30595.0	36170.5	3850.5	3769.0	4005.25	3191.5	3109.75	3546.5	681.75	640.25	733.0	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 8, ""equality_steps"": 9, ""index_migrations"": 7, ""indexed_lookups"": 16, ""speculative_applications"": 14, ""steps"": 51}"	336	32482	705	35200	100	4240	0	0	0	0	40463	4702	2375
after	batch	64	1	generated-global-scan	1635052	1555565	1661809	25447	18626	50399	1106	754	1414	575728	554297	670001	415008	396201	436506	393335.6666666667	375375.6666666667	401974.3333333333	51744.25	49325.25	53541.75	313957.75	296736.5	324476.25	20285.0	19800.0	21635.5	8932.5	7808.5	9784.5	4543.5	4314.5	4572.75	"{""activation_pushes"": 0, ""applications"": 129, ""binding_slot_copies"": 4804, ""candidate_visits"": 2273, ""dependency_visits"": 0, ""dereferences"": 192, ""generic_template_visits"": 0, ""history_checks"": 2209, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 306, ""map_visits"": 1248, ""pairs"": 129, ""pool_entries"": 8321, ""structural_tests"": 4546, ""term_requests"": 258}"	774	70784	9486	370408	770	29366	0	0	0	0	100995	4868	2529
after	batch	64	1	integrated	1755434	1684684	1821141	8557	7442	12318	1195	908	1323	639031	595147	668392	477115	449950	528391	423184.6666666667	407867.3333333333	428583.6666666667	130743.5	120231.75	144769.25	257981.75	252312.75	258667.25	22491.75	21571.25	24010.25	15599.75	14638.5	18580.25	10047.75	9572.0	10830.0	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 64, ""equality_steps"": 65, ""index_migrations"": 63, ""indexed_lookups"": 128, ""speculative_applications"": 126, ""steps"": 387}"	2277	233808	5485	397328	775	35318	0	0	0	0	277862	4703	2375
after	batch	64	8	generated-global-scan	2175603	2106877	2267009	26264	20237	44898	1274	1087	2317	1475292	1399888	1553877	535911	517476	555098	535330.6666666666	521144.3333333333	555421.6666666666	96936.75	96384.0	99148.25	339770.75	323893.5	349292.75	70286.25	66499.75	71228.5	13899.5	13462.25	15562.75	19997.5	19194.25	20894.25	"{""activation_pushes"": 0, ""applications"": 129, ""binding_slot_copies"": 4804, ""candidate_visits"": 2273, ""dependency_visits"": 0, ""dereferences"": 192, ""generic_template_visits"": 0, ""history_checks"": 2209, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 306, ""map_visits"": 1248, ""pairs"": 129, ""pool_entries"": 8321, ""structural_tests"": 4546, ""term_requests"": 706}"	1684	78519	9614	386280	3458	95222	0	0	0	0	168118	4868	2529
after	batch	64	8	integrated	2247789	2195356	2394975	8702	6949	10359	1351	1255	1887	1462776	1420785	1566693	614723	561370	662753	541232.0	538393.6666666666	580618.3333333334	184821.75	169583.0	197993.25	267657.25	262023.25	283211.75	74971.75	72735.0	82591.5	15762.75	15335.75	16631.0	18841.0	17916.0	21123.75	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 64, ""equality_steps"": 65, ""index_migrations"": 63, ""indexed_lookups"": 128, ""speculative_applications"": 126, ""steps"": 387}"	3664	243814	5485	397328	3463	101174	0	0	0	0	348104	4703	2375
after	batch	256	1	generated-global-scan	17256154	17178929	17461576	27668	24110	30775	1675	1552	2106	2533336	2460604	2657125	4240199	4029861	4377075	4372638.0	4319244.333333333	4378619.666666667	193591.25	191050.0	194080.5	3980548.25	3957476.5	4025509.5	80407.0	76229.5	83227.5	36796.25	35829.25	39273.75	19424.0	18682.75	25348.75	"{""activation_pushes"": 0, ""applications"": 513, ""binding_slot_copies"": 68356, ""candidate_visits"": 33665, ""dependency_visits"": 0, ""dereferences"": 768, ""generic_template_visits"": 0, ""history_checks"": 33409, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 1846, ""map_visits"": 8334, ""pairs"": 513, ""pool_entries"": 131585, ""structural_tests"": 67330, ""term_requests"": 1026}"	2956	283980	112206	4071008	3074	117650	0	0	0	0	382209	4869	2529
after	batch	256	1	integrated	8431433	8362044	8452240	7081	6543	9471	1698	1610	1867	2198157	2081466	2314630	2233736	2185812	2261910	2069118.6666666667	2030395.3333333333	2081836.0	505818.0	497172.75	508368.75	1341406.75	1317948.75	1351962.75	86130.0	85474.25	86645.5	105721.75	100754.5	109627.25	66535.0	65828.25	71036.0	"{""activations"": 1025, ""applications"": 513, ""candidate_visits"": 769, ""descriptor_repairs"": 256, ""equality_steps"": 257, ""index_migrations"": 255, ""indexed_lookups"": 512, ""speculative_applications"": 510, ""steps"": 1539}"	8911	939260	21878	3168648	3081	142034	0	0	0	0	1484225	4704	2375
after	build	64	1	integrated	915512	906141	973936	8837	5970	10302	1296	893	1537	67573	64864	71850	277842	257191	336877	212390.0	202337.66666666666	228074.0	40294.5	37110.5	42330.0	169372.0	165464.75	177778.0	5014.5	4915.75	5407.25	12099.25	11735.25	13265.5	1579.5	1483.25	1674.75	"{""activations"": 130, ""applications"": 65, ""candidate_visits"": 65, ""descriptor_repairs"": 0, ""equality_steps"": 65, ""index_migrations"": 0, ""indexed_lookups"": 0, ""speculative_applications"": 0, ""steps"": 196}"	624	73356	3313	253645	195	6734	0	0	0	0	176660	4249	1921
after	fanout	64	1	integrated	1238486	1179944	1290580	8829	5723	11068	1163	1040	1452	550431	499784	573422	325788	302263	406246	292783.3333333333	289222.6666666667	316990.3333333333	107690.75	99934.75	116281.0	153908.0	148198.0	161082.75	22744.75	22041.25	27963.0	12510.75	11779.0	12898.75	9551.25	8601.75	10186.0	"{""activations"": 257, ""applications"": 129, ""candidate_visits"": 193, ""descriptor_repairs"": 0, ""equality_steps"": 1, ""index_migrations"": 0, ""indexed_lookups"": 128, ""speculative_applications"": 0, ""steps"": 259}"	1815	175116	4326	218264	775	35318	0	0	0	0	196618	4705	2375
