family	size	depth	variant	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work	setup_allocation_calls	setup_requested_bytes	execution_allocation_calls	execution_requested_bytes	observe_allocation_calls	observe_requested_bytes	engine_drop_allocation_calls	engine_drop_requested_bytes	answer_drop_allocation_calls	answer_drop_requested_bytes	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
build	8	1	generated-global-scan	101218	91644	109887	21350	15541	22841	864	773	936	15403	14491	17673	28951	24782	33696	16122.0	15863.0	19079.0	3002.5	2565.0	3122.75	13737.0	12549.5	14951.5	1462.5	1082.5	1585.75	1704.75	1610.5	1935.25	243.75	216.75	281.75	"{""activation_pushes"": 0, ""applications"": 9, ""binding_slot_copies"": 58, ""candidate_visits"": 17, ""dependency_visits"": 0, ""dereferences"": 35, ""generic_template_visits"": 0, ""history_checks"": 9, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 29, ""map_visits"": 83, ""pairs"": 9, ""pool_entries"": 17, ""structural_tests"": 34, ""term_requests"": 26}"	51	4500	309	15702	27	910	0	0	0	0	12509	4492	2154
build	8	1	generated-indexed	139413	122380	151128	15147	14586	18745	821	751	994	15783	13906	17302	41103	34441	43201	27657.666666666668	23770.333333333332	29396.0	2989.25	2526.0	3205.75	24555.25	21096.25	26223.75	1327.75	1168.25	1395.5	1709.5	1545.25	1914.0	251.75	216.5	257.5	"{""activation_pushes"": 9, ""applications"": 9, ""binding_slot_copies"": 58, ""candidate_visits"": 17, ""dependency_visits"": 54, ""dereferences"": 44, ""generic_template_visits"": 0, ""history_checks"": 9, ""index_bucket_entries"": 0, ""index_inserts"": 9, ""index_lookups"": 0, ""index_removes"": 9, ""index_repairs"": 18, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 45, ""key_template_visits"": 0, ""key_visits"": 54, ""map_allocations"": 29, ""map_visits"": 113, ""pairs"": 9, ""pool_entries"": 0, ""structural_tests"": 34, ""term_requests"": 71}"	51	4500	560	24400	27	910	0	0	0	0	14289	4488	2154
build	8	1	generated-scan	113936	98058	123107	20256	14874	22849	757	740	1012	16706	13912	18618	35013	27985	39862	18674.0	18147.333333333332	19882.333333333332	2738.5	2548.25	3606.0	16372.25	15021.75	17571.5	1426.0	1309.75	1650.0	1799.75	1475.0	1955.75	220.25	203.25	231.5	"{""activation_pushes"": 9, ""applications"": 9, ""binding_slot_copies"": 58, ""candidate_visits"": 17, ""dependency_visits"": 54, ""dereferences"": 35, ""generic_template_visits"": 0, ""history_checks"": 9, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 29, ""map_visits"": 98, ""pairs"": 9, ""pool_entries"": 0, ""structural_tests"": 34, ""term_requests"": 26}"	51	4500	369	19870	27	910	0	0	0	0	13374	4485	2154
build	8	1	generic-indexed	135086	121470	153179	11666	10377	18677	803	653	1087	14785	13795	19040	38792	35366	49516	25707.0	24127.0	28371.333333333332	3017.75	2701.0	3622.25	24036.75	21507.75	25893.75	1320.75	1225.25	1468.25	1687.25	1580.5	2041.0	233.75	222.0	272.0	"{""activation_pushes"": 9, ""applications"": 9, ""binding_slot_copies"": 58, ""candidate_visits"": 17, ""dependency_visits"": 54, ""dereferences"": 44, ""generic_template_visits"": 109, ""history_checks"": 9, ""index_bucket_entries"": 0, ""index_inserts"": 9, ""index_lookups"": 0, ""index_removes"": 9, ""index_repairs"": 18, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 45, ""key_template_visits"": 0, ""key_visits"": 54, ""map_allocations"": 29, ""map_visits"": 113, ""pairs"": 9, ""pool_entries"": 0, ""structural_tests"": 34, ""term_requests"": 71}"	51	4500	560	24400	27	910	0	0	0	0	14287	4486	2154
build	8	1	integrated	138603	125664	238644	9095	6687	14058	1242	987	1487	14897	13218	22253	45453	41921	61225	29578.666666666668	25043.0	53958.0	5656.5	5277.0	8313.0	22402.0	19766.25	41330.5	1364.0	1163.25	1673.25	3236.0	2806.25	4118.25	216.0	194.0	267.25	"{""activations"": 18, ""applications"": 9, ""candidate_visits"": 9, ""descriptor_repairs"": 0, ""equality_steps"": 9, ""index_migrations"": 0, ""indexed_lookups"": 0, ""speculative_applications"": 0, ""steps"": 28}"	104	11159	401	29165	27	910	0	0	0	0	30595	4248	1921
build	64	1	generated-global-scan	483057	467010	562067	17247	15841	20429	840	707	1016	56228	52402	63032	124968	122541	144476	113802.66666666667	108499.0	132151.66666666666	21035.5	19205.0	23364.5	84409.5	80261.5	96843.0	6742.75	6551.25	7584.75	4791.25	4650.0	5585.25	1488.0	1476.0	1794.25	"{""activation_pushes"": 0, ""applications"": 65, ""binding_slot_copies"": 450, ""candidate_visits"": 129, ""dependency_visits"": 0, ""dereferences"": 259, ""generic_template_visits"": 0, ""history_checks"": 65, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 449, ""map_visits"": 1749, ""pairs"": 65, ""pool_entries"": 129, ""structural_tests"": 258, ""term_requests"": 194}"	281	29972	2474	128198	195	6734	0	0	0	0	55230	4493	2154
build	64	1	generated-indexed	1382884	1361492	1452381	20677	14418	26970	809	746	1079	60940	60607	62287	354210	349780	383224	337876.0	332182.6666666667	349014.6666666667	18466.5	18035.0	19027.75	306696.75	301595.75	321908.25	6827.0	6661.0	7244.5	7501.5	7354.0	8365.75	1604.75	1489.5	1640.0	"{""activation_pushes"": 65, ""applications"": 65, ""binding_slot_copies"": 450, ""candidate_visits"": 129, ""dependency_visits"": 2210, ""dereferences"": 324, ""generic_template_visits"": 0, ""history_checks"": 65, ""index_bucket_entries"": 0, ""index_inserts"": 65, ""index_lookups"": 0, ""index_removes"": 65, ""index_repairs"": 130, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 2145, ""key_template_visits"": 0, ""key_visits"": 2210, ""map_allocations"": 449, ""map_visits"": 2401, ""pairs"": 65, ""pool_entries"": 0, ""structural_tests"": 258, ""term_requests"": 2339}"	281	29972	11863	278584	195	6734	0	0	0	0	57010	4489	2154
build	64	1	generated-scan	743276	635990	771501	24496	15107	37076	997	695	1139	64978	54543	68500	207728	172517	221273	162263.0	147733.33333333334	179410.33333333334	22664.75	19076.75	27397.75	138430.75	121353.5	148257.5	7201.0	6463.0	7723.75	5528.0	4606.0	5938.0	1707.5	1466.5	2973.0	"{""activation_pushes"": 65, ""applications"": 65, ""binding_slot_copies"": 450, ""candidate_visits"": 129, ""dependency_visits"": 2210, ""dereferences"": 259, ""generic_template_visits"": 0, ""history_checks"": 65, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 449, ""map_visits"": 2075, ""pairs"": 65, ""pool_entries"": 0, ""structural_tests"": 258, ""term_requests"": 194}"	281	29972	3216	189662	195	6734	0	0	0	0	56095	4486	2154
build	64	1	generic-indexed	1381068	1336723	1472226	11310	10489	18134	773	683	1269	58307	57528	65241	352290	345001	409613	336142.0	326576.3333333333	349170.3333333333	17707.0	17432.0	19552.75	309094.5	298518.75	327814.5	6749.5	6514.75	7093.0	7167.25	6766.0	7340.25	1489.75	1457.5	1541.75	"{""activation_pushes"": 65, ""applications"": 65, ""binding_slot_copies"": 450, ""candidate_visits"": 129, ""dependency_visits"": 2210, ""dereferences"": 324, ""generic_template_visits"": 837, ""history_checks"": 65, ""index_bucket_entries"": 0, ""index_inserts"": 65, ""index_lookups"": 0, ""index_removes"": 65, ""index_repairs"": 130, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 2145, ""key_template_visits"": 0, ""key_visits"": 2210, ""map_allocations"": 449, ""map_visits"": 2401, ""pairs"": 65, ""pool_entries"": 0, ""structural_tests"": 258, ""term_requests"": 2339}"	281	29972	11863	278584	195	6734	0	0	0	0	57008	4487	2154
build	64	1	integrated	901023	862212	991641	7859	6637	8974	1115	897	1319	58786	56216	61403	280431	236884	302760	205057.33333333334	201707.0	227156.0	37055.0	35055.5	48999.0	163932.0	158360.5	177165.0	5170.0	4882.0	5234.0	12365.25	11628.5	12639.75	1556.5	1481.5	1625.25	"{""activations"": 130, ""applications"": 65, ""candidate_visits"": 65, ""descriptor_repairs"": 0, ""equality_steps"": 65, ""index_migrations"": 0, ""indexed_lookups"": 0, ""speculative_applications"": 0, ""steps"": 196}"	623	73351	3249	253325	195	6734	0	0	0	0	176660	4249	1921
