stage	family	size	depth	variant	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work	setup_allocation_calls	setup_requested_bytes	execution_allocation_calls	execution_requested_bytes	observe_allocation_calls	observe_requested_bytes	engine_drop_allocation_calls	engine_drop_requested_bytes	answer_drop_allocation_calls	answer_drop_requested_bytes	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
after	batch	256	1	generated-global-scan	17446717	16830535	23161510	25207	23058	27713	1315	1234	1571	2612377	2522686	5093262	4188616	4152256	7572389	4413199.333333333	4217886.0	5524844.666666667	210585.5	193445.5	283252.75	4010492.25	3868919.75	5305706.25	80469.25	76697.75	133226.0	39324.75	36171.5	44047.5	19345.5	18811.5	20991.0	"{""activation_pushes"": 0, ""applications"": 513, ""binding_slot_copies"": 68356, ""candidate_visits"": 33665, ""dependency_visits"": 0, ""dereferences"": 768, ""generic_template_visits"": 0, ""history_checks"": 33409, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 1846, ""map_visits"": 8334, ""pairs"": 513, ""pool_entries"": 131585, ""structural_tests"": 67330, ""term_requests"": 1026}"	2956	283980	112206	4071008	3074	117650	0	0	0	0	382209	4869	2529
after	batch	256	1	generated-indexed	8866457	8609078	8895744	25278	17054	42502	1265	919	1531	2367794	2305058	2414319	2180938	2097916	2309466	2213527.6666666665	2141365.6666666665	2226147.3333333335	191383.0	185298.0	200308.0	1815968.5	1780084.5	1819702.75	98662.5	92501.0	102658.75	47314.25	43529.25	48946.0	49628.75	39862.0	55727.25	"{""activation_pushes"": 1281, ""applications"": 513, ""binding_slot_copies"": 4612, ""candidate_visits"": 1793, ""dependency_visits"": 2819, ""dereferences"": 1793, ""generic_template_visits"": 0, ""history_checks"": 769, ""index_bucket_entries"": 512, ""index_inserts"": 1537, ""index_lookups"": 1024, ""index_removes"": 1025, ""index_repairs"": 1538, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 2817, ""key_template_visits"": 1024, ""key_visits"": 3075, ""map_allocations"": 1846, ""map_visits"": 13994, ""pairs"": 769, ""pool_entries"": 0, ""structural_tests"": 3330, ""term_requests"": 3843}"	2956	283980	33240	1656335	3074	117650	0	0	0	0	547531	4865	2529
after	batch	256	1	generated-scan	25605806	25189292	25872987	27443	24788	54716	1631	1357	2003	2538473	2509873	2560065	6333948	6121786	6408502	6389438.666666667	6339649.333333333	6498887.333333333	191650.75	190084.0	207292.75	6056660.75	5947463.75	6105419.0	85500.0	84592.5	96434.0	41667.5	39686.25	47337.25	19397.5	19007.0	21865.75	"{""activation_pushes"": 1281, ""applications"": 513, ""binding_slot_copies"": 135172, ""candidate_visits"": 67073, ""dependency_visits"": 2819, ""dereferences"": 1280, ""generic_template_visits"": 0, ""history_checks"": 769, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 1846, ""map_visits"": 11164, ""pairs"": 66049, ""pool_entries"": 98432, ""structural_tests"": 68610, ""term_requests"": 1026}"	2956	283980	218750	8208296	3074	117650	0	0	0	0	406434	4862	2529
after	batch	256	1	generic-indexed	8814400	8761719	15029435	21133	20277	33669	1444	1183	1593	2395595	2338840	5491125	2199512	2171193	5218511	2205168.3333333335	2182624.3333333335	3262858.3333333335	187763.5	178391.25	198778.5	1825718.25	1791284.75	2602099.0	100019.0	95653.5	858385.25	42648.75	39156.25	53697.75	50305.0	47813.0	62405.75	"{""activation_pushes"": 1281, ""applications"": 513, ""binding_slot_copies"": 4612, ""candidate_visits"": 1793, ""dependency_visits"": 2819, ""dereferences"": 1793, ""generic_template_visits"": 4869, ""history_checks"": 769, ""index_bucket_entries"": 512, ""index_inserts"": 1537, ""index_lookups"": 1024, ""index_removes"": 1025, ""index_repairs"": 1538, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 2817, ""key_template_visits"": 1024, ""key_visits"": 3075, ""map_allocations"": 1846, ""map_visits"": 13994, ""pairs"": 769, ""pool_entries"": 0, ""structural_tests"": 3330, ""term_requests"": 3843}"	2956	283980	33240	1656335	3074	117650	0	0	0	0	547529	4863	2529
after	batch	256	1	integrated	8335836	8059684	8684673	8040	5822	13914	1566	1438	1806	2211005	2115803	2343948	2222301	2133073	2441668	2051129.6666666667	1971467.6666666667	2118486.3333333335	489166.25	475393.0	509386.5	1330007.0	1292269.0	1403130.0	89000.25	80571.75	93513.75	104411.5	99690.5	109580.5	65945.0	63541.75	69989.0	"{""activations"": 1025, ""applications"": 513, ""candidate_visits"": 769, ""descriptor_repairs"": 256, ""equality_steps"": 257, ""index_migrations"": 255, ""indexed_lookups"": 512, ""speculative_applications"": 510, ""steps"": 1539}"	8911	939260	21878	3168648	3081	142034	0	0	0	0	1484225	4704	2375
after	nested	256	1	generated-global-scan	17311057	17256618	17819596	24495	20283	35304	1956	1381	2086	2598074	2519930	2715398	4252675	4186420	4611598	4357125.333333333	4325830.666666667	4437377.0	251829.25	248395.25	285157.0	3921817.0	3893066.0	4010565.75	74084.25	72530.25	76148.5	54795.5	54291.0	55680.5	19597.25	19114.5	30408.5	"{""activation_pushes"": 0, ""applications"": 513, ""binding_slot_copies"": 68356, ""candidate_visits"": 33665, ""dependency_visits"": 0, ""dereferences"": 768, ""generic_template_visits"": 0, ""history_checks"": 33409, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 1846, ""map_visits"": 8334, ""pairs"": 513, ""pool_entries"": 131585, ""structural_tests"": 67586, ""term_requests"": 1282}"	3982	400220	112462	4075104	3074	117650	0	0	0	0	444758	4920	2578
after	nested	256	1	generated-indexed	9383069	9237820	9486835	23071	17019	33546	1580	1155	1711	2475345	2426244	2593487	2273253	2254852	2345437	2364825.0	2309822.0	2378055.0	259619.5	247277.5	273794.25	1866506.0	1842192.25	1887386.25	95306.5	91023.25	101097.0	60390.25	59741.25	64291.75	50256.75	50077.5	57145.0	"{""activation_pushes"": 1281, ""applications"": 513, ""binding_slot_copies"": 4612, ""candidate_visits"": 1793, ""dependency_visits"": 3331, ""dereferences"": 1793, ""generic_template_visits"": 0, ""history_checks"": 769, ""index_bucket_entries"": 512, ""index_inserts"": 1537, ""index_lookups"": 1024, ""index_removes"": 1025, ""index_repairs"": 1538, ""key_normalization_allocations"": 1, ""key_normalization_requests"": 3073, ""key_template_visits"": 1280, ""key_visits"": 3587, ""map_allocations"": 1846, ""map_visits"": 13994, ""pairs"": 769, ""pool_entries"": 0, ""structural_tests"": 4098, ""term_requests"": 4355}"	3982	400220	36058	1689888	3074	117650	0	0	0	0	610080	4916	2578
after	nested	256	1	generated-scan	26123054	25877629	29489942	20127	17595	32711	1722	1498	1843	2653437	2591613	3049959	6378584	6357046	7720912	6580010.333333333	6493202.333333333	7244940.333333333	265132.75	246914.25	284084.75	6087510.75	6047563.0	6881552.5	85824.75	84281.75	100929.0	62372.0	59664.25	74411.0	19482.25	18471.5	22852.25	"{""activation_pushes"": 1281, ""applications"": 513, ""binding_slot_copies"": 135172, ""candidate_visits"": 67073, ""dependency_visits"": 3331, ""dereferences"": 1280, ""generic_template_visits"": 0, ""history_checks"": 769, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 1846, ""map_visits"": 11164, ""pairs"": 66049, ""pool_entries"": 98432, ""structural_tests"": 69378, ""term_requests"": 1282}"	3982	400220	219518	8220584	3074	117650	0	0	0	0	468983	4913	2578
after	nested	256	1	generic-indexed	9333370	8963859	9563034	22966	15646	33123	1590	1045	1861	2519486	2427492	2638120	2357873	2232437	2406140	2309626.3333333335	2194581.0	2395314.0	252742.75	240629.25	260184.75	1867496.0	1772883.25	1900584.75	94893.25	89924.0	100857.0	71257.0	60337.75	80961.75	51013.25	31331.25	62217.25	"{""activation_pushes"": 1281, ""applications"": 513, ""binding_slot_copies"": 4612, ""candidate_visits"": 1793, ""dependency_visits"": 3331, ""dereferences"": 1793, ""generic_template_visits"": 5637, ""history_checks"": 769, ""index_bucket_entries"": 512, ""index_inserts"": 1537, ""index_lookups"": 1024, ""index_removes"": 1025, ""index_repairs"": 1538, ""key_normalization_allocations"": 1, ""key_normalization_requests"": 3073, ""key_template_visits"": 1280, ""key_visits"": 3587, ""map_allocations"": 1846, ""map_visits"": 13994, ""pairs"": 769, ""pool_entries"": 0, ""structural_tests"": 4098, ""term_requests"": 4355}"	3982	400220	36058	1689888	3074	117650	0	0	0	0	610078	4914	2578
after	nested	256	1	integrated	11134072	10879173	11331842	8315	7122	15907	1837	1598	2125	2546427	2485145	2604674	2905619	2781846	3028412	2736291.3333333335	2696060.6666666665	2802953.6666666665	639682.0	635493.75	681623.75	1899550.25	1844791.75	1915666.0	74571.5	71269.25	77967.25	123641.5	119268.0	140930.25	43166.0	39890.25	45585.0	"{""activations"": 1025, ""applications"": 513, ""candidate_visits"": 769, ""descriptor_repairs"": 278, ""equality_steps"": 512, ""index_migrations"": 0, ""indexed_lookups"": 512, ""speculative_applications"": 512, ""steps"": 1816}"	11002	1115756	28694	2193510	3081	142034	0	0	0	0	1077117	4755	2424
