stage	family	size	depth	variant	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	harness_ns	harness_ns_min	harness_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	reused_query_ns	reused_query_ns_min	reused_query_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	engine_drop_ns	engine_drop_ns_min	engine_drop_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	work	setup_allocation_calls	setup_requested_bytes	execution_allocation_calls	execution_requested_bytes	observe_allocation_calls	observe_requested_bytes	engine_drop_allocation_calls	engine_drop_requested_bytes	answer_drop_allocation_calls	answer_drop_requested_bytes	query_peak_live_bytes	post_answer_live_bytes	prepared_released_bytes
after	batch	8	1	generated-global-scan	177261	158237	197949	18755	17360	29381	775	740	956	98420	85202	99766	51078	42791	64898	34238.0	31563.333333333332	38681.0	9248.25	8188.75	10261.75	23489.5	20520.5	24879.25	3527.25	3236.5	3731.25	2280.25	1912.5	2371.75	691.75	644.75	768.25	"{""activation_pushes"": 0, ""applications"": 17, ""binding_slot_copies"": 156, ""candidate_visits"": 61, ""dependency_visits"": 0, ""dereferences"": 24, ""generic_template_visits"": 0, ""history_checks"": 53, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 27, ""map_visits"": 70, ""pairs"": 17, ""pool_entries"": 145, ""structural_tests"": 122, ""term_requests"": 34}"	129	9002	530	24784	98	3664	0	0	0	0	19401	4867	2529
after	batch	8	1	generated-indexed	350819	316396	368068	25763	16753	35085	755	703	815	98726	93234	107656	97510	91207	118779	75539.0	65559.66666666667	78914.66666666667	9375.5	8531.5	10046.5	66161.5	57232.25	66691.75	3316.75	3011.25	3404.75	2604.0	2487.0	2843.75	708.5	653.5	748.75	"{""activation_pushes"": 41, ""applications"": 17, ""binding_slot_copies"": 148, ""candidate_visits"": 57, ""dependency_visits"": 91, ""dereferences"": 57, ""generic_template_visits"": 0, ""history_checks"": 25, ""index_bucket_entries"": 16, ""index_inserts"": 49, ""index_lookups"": 32, ""index_removes"": 33, ""index_repairs"": 50, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 89, ""key_template_visits"": 32, ""key_visits"": 99, ""map_allocations"": 27, ""map_visits"": 114, ""pairs"": 25, ""pool_entries"": 0, ""structural_tests"": 106, ""term_requests"": 123}"	129	9002	1045	53327	98	3664	0	0	0	0	25763	4863	2529
after	batch	8	1	generated-scan	259550	255819	294768	19837	17512	30230	876	703	1210	93176	90443	135649	72978	71420	78880	55193.333333333336	50589.666666666664	65470.666666666664	9118.0	8493.0	9856.25	44615.75	41862.0	52317.0	2848.75	2828.75	3266.75	2308.5	2178.0	2550.0	713.0	636.25	968.75	"{""activation_pushes"": 41, ""applications"": 17, ""binding_slot_copies"": 260, ""candidate_visits"": 113, ""dependency_visits"": 91, ""dereferences"": 40, ""generic_template_visits"": 0, ""history_checks"": 25, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 27, ""map_visits"": 92, ""pairs"": 81, ""pool_entries"": 100, ""structural_tests"": 162, ""term_requests"": 34}"	129	9002	879	42424	98	3664	0	0	0	0	20490	4860	2529
after	batch	8	1	generic-indexed	321962	299241	361648	14792	13134	16816	958	782	1010	107354	90405	110698	96841	87100	111815	69663.0	65999.0	79707.66666666667	9957.75	9043.75	10399.5	59917.75	56094.0	69361.25	3199.0	3000.25	3575.75	2663.75	2432.0	2761.25	737.5	642.25	919.5	"{""activation_pushes"": 41, ""applications"": 17, ""binding_slot_copies"": 148, ""candidate_visits"": 57, ""dependency_visits"": 91, ""dereferences"": 57, ""generic_template_visits"": 157, ""history_checks"": 25, ""index_bucket_entries"": 16, ""index_inserts"": 49, ""index_lookups"": 32, ""index_removes"": 33, ""index_repairs"": 50, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 89, ""key_template_visits"": 32, ""key_visits"": 99, ""map_allocations"": 27, ""map_visits"": 114, ""pairs"": 25, ""pool_entries"": 0, ""structural_tests"": 106, ""term_requests"": 123}"	129	9002	1045	53327	98	3664	0	0	0	0	25761	4861	2529
after	batch	8	1	integrated	254103	244018	291123	7517	5356	10845	1191	1079	1291	85981	75880	96294	78158	76363	91891	55024.666666666664	53128.333333333336	63545.0	20445.5	20022.0	23774.25	32334.75	31307.5	38284.0	3951.5	3682.75	4437.5	3338.25	3198.0	3823.75	660.75	631.5	762.5	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 8, ""equality_steps"": 9, ""index_migrations"": 7, ""indexed_lookups"": 16, ""speculative_applications"": 14, ""steps"": 51}"	336	32482	706	35304	100	4240	0	0	0	0	40463	4702	2375
after	batch	8	8	generated-global-scan	256463	235235	266600	21488	18509	26187	849	710	1001	198040	186646	204867	67790	59700	75212	54861.0	52105.333333333336	55725.333333333336	17652.25	16286.25	18537.0	24604.0	22924.25	25816.5	11221.75	10388.0	11396.5	2183.5	1939.0	2229.0	2488.5	2405.25	2622.5	"{""activation_pushes"": 0, ""applications"": 17, ""binding_slot_copies"": 156, ""candidate_visits"": 61, ""dependency_visits"": 0, ""dereferences"": 24, ""generic_template_visits"": 0, ""history_checks"": 53, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 27, ""map_visits"": 70, ""pairs"": 17, ""pool_entries"": 145, ""structural_tests"": 122, ""term_requests"": 90}"	257	13449	546	26768	434	11896	0	0	0	0	30580	4867	2529
after	batch	8	8	generated-indexed	471813	428097	501050	16609	14468	29616	840	692	991	199352	187706	210946	127489	113282	143948	105502.66666666667	99803.33333333333	110559.0	17802.0	16433.0	18452.75	80176.75	72095.25	83631.5	10238.5	9856.75	11068.75	2535.25	2418.5	2948.0	2459.5	2299.5	2505.0	"{""activation_pushes"": 41, ""applications"": 17, ""binding_slot_copies"": 148, ""candidate_visits"": 57, ""dependency_visits"": 210, ""dereferences"": 57, ""generic_template_visits"": 0, ""history_checks"": 25, ""index_bucket_entries"": 16, ""index_inserts"": 49, ""index_lookups"": 32, ""index_removes"": 33, ""index_repairs"": 50, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 257, ""key_template_visits"": 32, ""key_visits"": 267, ""map_allocations"": 27, ""map_visits"": 114, ""pairs"": 25, ""pool_entries"": 0, ""structural_tests"": 106, ""term_requests"": 347}"	257	13449	1733	61023	434	11896	0	0	0	0	34776	4863	2529
after	batch	8	8	generated-scan	337495	327027	382863	19642	16901	33991	737	697	1091	196051	188753	245054	92137	82682	102122	75910.0	75141.66666666667	84009.33333333333	17360.5	16686.75	19284.25	47292.5	46144.5	51897.25	10360.5	9617.75	11075.0	2183.0	2019.5	2488.0	2396.0	2298.75	2669.25	"{""activation_pushes"": 41, ""applications"": 17, ""binding_slot_copies"": 260, ""candidate_visits"": 113, ""dependency_visits"": 210, ""dereferences"": 40, ""generic_template_visits"": 0, ""history_checks"": 25, ""index_bucket_entries"": 0, ""index_inserts"": 0, ""index_lookups"": 0, ""index_removes"": 0, ""index_repairs"": 0, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 0, ""key_template_visits"": 0, ""key_visits"": 0, ""map_allocations"": 27, ""map_visits"": 92, ""pairs"": 81, ""pool_entries"": 100, ""structural_tests"": 162, ""term_requests"": 90}"	257	13449	895	44408	434	11896	0	0	0	0	31669	4860	2529
after	batch	8	8	generic-indexed	495127	436343	503513	19709	13801	23081	947	739	1192	204675	193808	212180	130891	114839	134442	114733.0	101521.33333333333	115871.33333333333	18592.25	16152.5	20752.25	82193.75	73949.25	84033.5	11202.5	9931.5	12402.0	2856.25	2542.0	2974.0	2471.75	2323.75	2544.0	"{""activation_pushes"": 41, ""applications"": 17, ""binding_slot_copies"": 148, ""candidate_visits"": 57, ""dependency_visits"": 210, ""dereferences"": 57, ""generic_template_visits"": 157, ""history_checks"": 25, ""index_bucket_entries"": 16, ""index_inserts"": 49, ""index_lookups"": 32, ""index_removes"": 33, ""index_repairs"": 50, ""key_normalization_allocations"": 0, ""key_normalization_requests"": 257, ""key_template_visits"": 32, ""key_visits"": 267, ""map_allocations"": 27, ""map_visits"": 114, ""pairs"": 25, ""pool_entries"": 0, ""structural_tests"": 106, ""term_requests"": 347}"	257	13449	1733	61023	434	11896	0	0	0	0	34774	4861	2529
after	batch	8	8	integrated	365156	332445	376125	9017	7860	10912	1208	1108	2259	203305	189472	222452	105542	96030	113874	82414.0	75177.0	88857.33333333333	31474.5	28657.0	36792.5	36917.75	34264.25	40812.25	12115.5	11410.0	12844.75	3785.5	3677.75	4136.75	2441.75	2407.0	2685.5	"{""activations"": 33, ""applications"": 17, ""candidate_visits"": 25, ""descriptor_repairs"": 8, ""equality_steps"": 9, ""index_migrations"": 7, ""indexed_lookups"": 16, ""speculative_applications"": 14, ""steps"": 51}"	547	38344	706	35304	436	12472	0	0	0	0	53841	4702	2375
