chain 4 global scan generated Counts { steps: 961, splits: 20, failures: 18, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 28, candidates: 415, observation: 3, max_terminal_terms: 3 }
chain 4 global scan generic Counts { steps: 961, splits: 20, failures: 18, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 28, candidates: 415, observation: 3, max_terminal_terms: 3 }
chain 4 global indexed generated Counts { steps: 961, splits: 20, failures: 18, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 28, candidates: 415, observation: 3, max_terminal_terms: 3 }
chain 4 global indexed generic Counts { steps: 961, splits: 20, failures: 18, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 28, candidates: 415, observation: 3, max_terminal_terms: 3 }
chain 4 active scan generated Counts { steps: 2288, splits: 80, failures: 78, answers: 3, peak: 81, first_failure_splits: Some(80), applications: 118, candidates: 565, observation: 3, max_terminal_terms: 3 }
chain 4 active scan generic Counts { steps: 2288, splits: 80, failures: 78, answers: 3, peak: 81, first_failure_splits: Some(80), applications: 118, candidates: 565, observation: 3, max_terminal_terms: 3 }
chain 4 active indexed generated Counts { steps: 2288, splits: 80, failures: 78, answers: 3, peak: 81, first_failure_splits: Some(80), applications: 118, candidates: 565, observation: 3, max_terminal_terms: 3 }
chain 4 active indexed generic Counts { steps: 2288, splits: 80, failures: 78, answers: 3, peak: 81, first_failure_splits: Some(80), applications: 118, candidates: 565, observation: 3, max_terminal_terms: 3 }
chain 6 global scan generated Counts { steps: 2307, splits: 32, failures: 30, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 46, candidates: 1051, observation: 3, max_terminal_terms: 3 }
chain 6 global scan generic Counts { steps: 2307, splits: 32, failures: 30, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 46, candidates: 1051, observation: 3, max_terminal_terms: 3 }
chain 6 global indexed generated Counts { steps: 2307, splits: 32, failures: 30, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 46, candidates: 1051, observation: 3, max_terminal_terms: 3 }
chain 6 global indexed generic Counts { steps: 2307, splits: 32, failures: 30, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 46, candidates: 1051, observation: 3, max_terminal_terms: 3 }
chain 6 active scan generated Counts { steps: 20494, splits: 728, failures: 726, answers: 3, peak: 720, first_failure_splits: Some(584), applications: 1090, candidates: 5113, observation: 3, max_terminal_terms: 3 }
chain 6 active scan generic Counts { steps: 20494, splits: 728, failures: 726, answers: 3, peak: 720, first_failure_splits: Some(584), applications: 1090, candidates: 5113, observation: 3, max_terminal_terms: 3 }
chain 6 active indexed generated Counts { steps: 20494, splits: 728, failures: 726, answers: 3, peak: 720, first_failure_splits: Some(584), applications: 1090, candidates: 5113, observation: 3, max_terminal_terms: 3 }
chain 6 active indexed generic Counts { steps: 20494, splits: 728, failures: 726, answers: 3, peak: 720, first_failure_splits: Some(584), applications: 1090, candidates: 5113, observation: 3, max_terminal_terms: 3 }
chain 8 global scan generated Counts { steps: 4229, splits: 44, failures: 42, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 64, candidates: 1975, observation: 3, max_terminal_terms: 3 }
chain 8 global scan generic Counts { steps: 4229, splits: 44, failures: 42, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 64, candidates: 1975, observation: 3, max_terminal_terms: 3 }
chain 8 global indexed generated Counts { steps: 4229, splits: 44, failures: 42, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 64, candidates: 1975, observation: 3, max_terminal_terms: 3 }
chain 8 global indexed generic Counts { steps: 4229, splits: 44, failures: 42, answers: 3, peak: 9, first_failure_splits: Some(8), applications: 64, candidates: 1975, observation: 3, max_terminal_terms: 3 }
chain 8 active scan generated Counts { steps: 183852, splits: 6560, failures: 6558, answers: 3, peak: 6360, first_failure_splits: Some(3616), applications: 9838, candidates: 45949, observation: 3, max_terminal_terms: 3 }
