family	size	variant	queries	complete_timing_runs	resource_failures	raw_by_query	lifecycle_ns	lifecycle_ns_min	lifecycle_ns_max	prepare_ns	prepare_ns_min	prepare_ns_max	prepared_drop_ns	prepared_drop_ns_min	prepared_drop_ns_max	setup_ns	setup_ns_min	setup_ns_max	execution_ns	execution_ns_min	execution_ns_max	observe_ns	observe_ns_min	observe_ns_max	result_drop_ns	result_drop_ns_min	result_drop_ns_max	query_drop_ns	query_drop_ns_min	query_drop_ns_max	request_ns	request_ns_min	request_ns_max	answer_drop_ns	answer_drop_ns_min	answer_drop_ns_max	first_query_ns	first_query_ns_min	first_query_ns_max	first_answer_ns	first_answer_ns_min	first_answer_ns_max	memory_complete	max_rss_kib	before_rss_kib	prepared_rss_kib	final_rss_kib	post_answer_rss_kib
asymmetric	4	conflict	1	5	0	[16]	10349314	9847564	10441369	7866773	7420150	7965133	994019	884361	1041192	256151	252836	290294	1096864	1053652	1165693	71139	67146	73690	801	720	1228	7460	7331	7501	1430223	1420621	1501916	10199	9622	11126	1441349	1430625	1512115	438759	428140	457858	True	33152	4804	30736	16608	[33000]
asymmetric	4	conflict	4	5	0	[16, 4, 7, 16]	11960557	11636550	12635454	7857524	7593246	8012180	1015981	998991	1179844	272826	267841	299237	2567723	2519752	3050836	180269	178291	207771	1802	1489	2323	15992	15877	26067	3041807	2988844	3563722	27521	24993	34149	1459605	1440436	1824237	459527	436269	478226	True	33152	4736	30744	16676	[33056, 33056, 33056, 33068]
asymmetric	4	generated-active-indexed	1	5	0	[16]	1620338	1507579	1652822	47737	37695	51633	256	194	284	800	644	920	1495024	1387277	1544015	29157	28311	32952	21394	19956	22812	11015	9116	12956	1558427	1449260	1606005	10014	8866	10109	1568441	1459369	1614871	1497822	1390030	1546510	True	6784	4732	5068	6232	[6232]
asymmetric	4	generated-active-indexed	4	5	0	[16, 4, 7, 16]	5061368	4918814	5213797	70960	57096	82573	3511	3257	3735	55204	53808	58418	4566622	4466527	4734773	81767	78124	84085	54550	52917	58748	164019	155929	167716	4926290	4812053	5091603	46385	42548	49074	1500484	1451494	1568774	1422975	1371580	1475571	True	7040	4708	5124	6552	[6292, 6552, 6552, 6552]
asymmetric	4	generated-global-scan	1	5	0	[16]	448907	388067	467934	47137	32265	52155	186	83	244	775	622	856	322770	263748	325729	39092	35091	54851	9606	8965	10806	149	141	259	369560	329402	386524	31091	26317	32934	396663	355719	417615	323620	263741	332780	True	5760	4828	5036	5316	[5316]
asymmetric	4	generated-global-scan	4	5	0	[16, 4, 7, 16]	1061500	974727	1125582	54742	41753	55867	2314	1868	10486	27680	26871	29046	779395	724066	849294	97440	88367	98776	23912	22279	24172	460	355	534	931993	865964	1002465	66061	64415	70832	384033	348592	386019	303545	275657	306967	True	5760	4808	5084	5324	[5300, 5300, 5300, 5324]
asymmetric	4	generic-global-scan	1	5	0	[16]	456415	428338	470597	43683	39924	44500	176	103	268	767	752	894	328392	301109	343891	39768	37083	44164	10491	10164	29273	251	140	4683	384782	350369	396731	30991	27746	33366	412630	383735	427921	330236	301763	344293	True	5760	4800	5008	5220	[5220]
asymmetric	4	generic-global-scan	4	5	0	[16, 4, 7, 16]	1098222	1040219	2001085	45157	38039	50961	2232	1923	2393	28756	27087	41841	837198	775789	1196074	94445	92031	244643	24502	22518	110667	435	359	611	987186	927366	1614877	69317	65330	340961	417453	392869	563695	335192	318685	339006	True	5760	4696	5100	5340	[5312, 5312, 5312, 5340]
asymmetric	4	native	1	5	0	[16]	85844	79610	96312	2696	1248	4681	307	276	389	707	630	782	2623	2581	2655	67737	64310	76783	494	437	544	190	168	323	73157	69437	81979	8614	8404	9602	82391	77841	91425	9675	9291	12253	True	5376	4688	4688	4916	[4916]
asymmetric	4	native	4	5	0	[16, 4, 7, 16]	174785	160284	178749	4778	3310	5871	331	216	374	1877	1793	2151	5777	5420	6041	134455	120404	135584	1194	1082	1336	399	344	515	146672	131688	148104	24199	23361	24781	82359	75401	87835	9852	7778	11485	True	5504	4768	4836	5008	[4996, 4996, 4996, 5008]
asymmetric	4	support	1	5	0	[16]	10134858	10005075	10631553	7727231	7618753	8167802	986723	897113	1066694	276636	246819	295227	1069203	1015008	1114791	69595	64746	71795	750	731	964	6089	5753	6542	1425077	1356311	1479551	10293	9658	11177	1435465	1366604	1489209	450584	404906	471173	True	33152	4696	30696	16620	[33012]
asymmetric	4	support	4	5	0	[16, 4, 7, 16]	11966147	11820963	12174164	7709471	7342764	8057076	1052111	998574	1220935	287630	277096	312350	2610281	2540412	2717057	179720	176130	193667	1688	1567	1933	16580	15363	69869	3120229	3038430	3225895	26739	26477	31369	1500553	1466635	1566281	468583	438332	476219	True	33152	4768	30764	16712	[33092, 33092, 33092, 33104]
asymmetric	8	conflict	1	5	0	[151]	23976610	22613832	24155184	7628731	7353679	7912576	1485218	1427796	1613765	316765	285712	340080	12515260	11840529	12918023	1377864	1346533	1451337	6046	5845	6823	45575	43028	51695	14294768	13531322	14765811	285980	275307	314677	14578816	13832357	15080488	527300	481854	568457	True	35200	4776	30760	18724	[35116]
asymmetric	8	conflict	4	5	0	[151, 37, 65, 151]	47015782	44986366	51027115	7852812	7271111	8118451	1451110	1392860	4044507	357062	329858	386311	32523178	30576912	33527672	3852449	3627918	3960432	16008	14748	16725	121538	115469	138556	36881462	34771396	38016175	738110	712458	1113621	14855374	14423827	15258981	545220	494996	572386	True	35328	4852	30784	18760	[35088, 35088, 35088, 35152]
asymmetric	8	generated-active-indexed	1	5	0	[151]	301185505	298566575	307022378	58512	46526	63211	237	221	316	1056	975	1164	298485098	296006708	304341340	1072936	1026038	1128999	569156	505997	584349	374769	339137	422359	300605053	297960338	306415516	560115	516925	633461	301121978	298507797	306975631	298461823	295962846	304296565	True	178944	4812	5088	169448	[169448]
