family	size	queries	conditional_ms	explicit_ms	ratio	conditional_requested_bytes	explicit_requested_bytes	conditional_apps	explicit_apps
discriminate	16	1	6.318303	2.640433	2.393	7078898	1844746	292	303
discriminate	16	4	6.433586	2.705805	2.378	7302982	1854107	292	303
discriminate	64	1	35.039518	11.961662	2.929	53931242	7073634	1060	1071
discriminate	64	4	35.989057	12.375383	2.908	54609250	7102239	1060	1071
output	4	1	0.237993	0.222363	1.070	182556	250143	5	31
output	4	4	0.262161	0.257350	1.019	219025	378262	5	31
output	6	1	0.703611	0.773835	0.909	397640	1062331	7	127
output	6	4	0.974168	1.088704	0.895	549913	1630850	7	127
plain	16	1	0.276857	0.093035	2.976	390504	56816	17	17
plain	16	4	0.248983	0.065445	3.804	403348	54305	17	17
plain	64	1	1.750534	0.395751	4.423	3283768	267096	65	65
plain	64	4	1.709734	0.355751	4.806	3324552	265713	65	65
shared	16	1	0.452046	1.012065	0.447	535784	931966	21	287
shared	16	4	0.464279	1.032767	0.450	548628	952785	21	287
shared	64	1	2.003519	6.057710	0.331	3429048	4323366	69	1055
shared	64	4	1.962509	6.519994	0.301	3469832	4363325	69	1055
