family	size	queries	conditional_ms	explicit_ms	ratio	conditional_requested_bytes	explicit_requested_bytes	conditional_apps	explicit_apps
discriminate	16	1	3.701609	2.567846	1.442	3076194	1844746	292	303
discriminate	16	4	3.780912	2.682611	1.409	3098322	1854107	292	303
discriminate	64	1	11.338447	12.041397	0.942	9250298	7073634	1060	1071
discriminate	64	4	11.739440	12.370858	0.949	9273026	7102239	1060	1071
output	4	1	0.219105	0.239726	0.914	166476	250143	5	31
output	4	4	0.237139	0.252335	0.940	201833	378262	5	31
output	6	1	0.638770	0.797542	0.801	377112	1062331	7	127
output	6	4	0.911017	1.146014	0.795	528273	1630850	7	127
plain	16	1	0.154622	0.079619	1.942	159816	56816	17	17
plain	16	4	0.122499	0.063758	1.921	160348	54305	17	17
plain	64	1	0.452723	0.379526	1.193	569008	267096	65	65
plain	64	4	0.394205	0.362871	1.086	569540	265713	65	65
shared	16	1	0.376748	0.998531	0.377	299640	931966	21	287
shared	16	4	0.304385	1.018002	0.299	300172	952785	21	287
shared	64	1	0.719620	6.323338	0.114	708832	4323366	69	1055
shared	64	4	0.630928	6.457508	0.098	709364	4363325	69	1055
