backend	pre	post	queries	complete	median_ms	min_ms	max_ms	requested_bytes_per_query	peak_bytes
conditional	0	0	1	True	1.234846	1.148628	1.280808	940313.0	95075
conditional	0	0	4	True	1.2094965	1.16647175	1.2318785	963085.5	102048
conditional	0	16	1	True	3.52668	3.3397	3.683896	2999193.0	171987
conditional	0	16	4	True	3.71580725	3.547272	3.827384	3017925.5	175104
conditional	0	64	1	True	11.19519	10.658122	11.763904	9201225.0	416979
conditional	0	64	4	True	11.2396305	11.00777425	11.58176	9219741.5	419664
conditional	8	8	1	True	2.415336	2.380627	2.612152	2035649.0	134475
conditional	8	8	4	True	2.5203115	2.43428975	2.75912625	2054113.5	137056
conditional	16	0	1	True	1.377138	1.273045	1.477576	1088489.0	105139
conditional	16	0	4	True	1.33828075	1.30877875	1.36253275	1107629.5	108944
conditional	32	32	1	True	6.473549	6.254964	7.272483	5335713.0	258571
conditional	32	32	4	True	6.51850725	6.29503025	8.23345975	5354177.5	261152
conditional	64	0	1	True	1.720114	1.668898	1.867247	1507849.0	123891
conditional	64	0	4	True	1.7772225	1.7341825	1.817972	1534317.5	134160
specialized	0	0	1	True	0.569073	0.541278	0.605479	528736.0	225028
specialized	0	0	4	True	0.48081225	0.46808975	0.49479425	522380.25	236080
specialized	0	16	1	True	1.992627	1.84176	2.054982	1427112.0	274992
specialized	0	16	4	True	1.87258475	1.83909625	1.957414	1416346.25	277006
specialized	0	64	1	True	6.244108	6.149999	6.335589	4146504.0	433168
specialized	0	64	4	True	6.447617	6.3163025	6.5147645	4135738.25	435182
specialized	8	8	1	True	1.415074	1.307055	1.432962	1317048.0	245768
specialized	8	8	4	True	1.36350625	1.3161565	1.4389585	1337064.25	278852
specialized	16	0	1	True	0.956361	0.922838	1.03959	1275816.0	270364
specialized	16	0	4	True	0.8939465	0.86333275	0.9397815	1265050.25	277006
specialized	32	32	1	True	4.001604	3.88824	4.294712	3688184.0	307216
specialized	32	32	4	True	4.1155835	4.008264	6.83300825	3677418.25	309230
specialized	64	0	1	True	2.132102	2.107689	2.202645	3541320.0	428540
specialized	64	0	4	True	2.028153	1.9393225	2.0775735	3530554.25	435182
