backend	pre	post	queries	complete	median_ms	min_ms	max_ms	requested_bytes_per_query	peak_bytes
conditional	0	0	1	True	1.222993	1.19789	1.266972	940313.0	95075
conditional	0	0	4	True	1.23259075	1.16409525	1.28371775	963085.5	102048
conditional	0	16	1	True	3.565739	3.375812	3.766287	2999193.0	171987
conditional	0	16	4	True	3.676426	3.60602425	3.994425	3017925.5	175104
conditional	0	64	1	True	10.835047	10.747483	11.224525	9201225.0	416979
conditional	0	64	4	True	11.050254	10.99625525	11.74179325	9219741.5	419664
conditional	8	8	1	True	2.414791	2.343887	2.588444	2035649.0	134475
conditional	8	8	4	True	2.5167805	2.48439375	2.64283775	2054113.5	137056
conditional	16	0	1	True	1.361473	1.319799	1.40445	1088489.0	105139
conditional	16	0	4	True	1.35365075	1.34090525	1.435393	1107629.5	108944
conditional	32	32	1	True	6.382679	6.01759	7.097466	5335713.0	258571
conditional	32	32	4	True	6.5223325	6.32632125	6.7021135	5354177.5	261152
conditional	64	0	1	True	1.786484	1.75489	1.868388	1507849.0	123891
conditional	64	0	4	True	1.83023525	1.74624525	3.62018475	1534317.5	134160
specialized	0	0	1	True	0.570042	0.539743	0.602233	529192.0	224132
specialized	0	0	4	True	0.50183925	0.4708035	0.54098875	525061.75	235064
specialized	0	16	1	True	2.250673	2.166013	2.331845	1589120.0	273944
specialized	0	16	4	True	2.26617775	2.224236	2.30609425	1595069.75	275928
specialized	0	64	1	True	10.117013	10.078898	10.206595	6058952.0	432881
specialized	0	64	4	True	10.565396	10.43059875	10.653541	6102869.75	434898
specialized	8	8	1	True	1.719127	1.698863	1.776519	1458040.0	244632
specialized	8	8	4	True	1.765423	1.68911025	1.783781	1494517.75	277656
specialized	16	0	1	True	1.288059	1.278672	1.359431	1400400.0	269316
specialized	16	0	4	True	1.29246875	1.2622205	2.21204175	1403917.75	275928
specialized	32	32	1	True	7.839207	7.6644	7.966719	5399448.0	306377
specialized	32	32	4	True	8.1097815	8.068593	8.285538	5435669.75	308498
specialized	64	0	1	True	6.388719	6.081733	6.420328	5300872.0	425988
specialized	64	0	4	True	6.22861725	6.083435	6.34667375	5336325.75	432600
