family	size	queries	specialized_ms	explicit_ms	ratio	specialized_requested_bytes	explicit_requested_bytes	specialized_apps	explicit_apps
discriminate	16	1	2.333371	2.784874	0.838	1433270	1847474	303	303
discriminate	16	4	2.413206	2.797369	0.863	1422186	1856835	303	303
discriminate	64	1	10.631213	12.348085	0.861	5588750	7076362	1071	1071
discriminate	64	4	11.196779	12.828984	0.873	5596910	7104967	1071	1071
output	4	1	0.197912	0.231059	0.857	236203	252871	31	31
output	4	4	0.230447	0.261547	0.881	356109	382398	31	31
output	6	1	0.726785	0.793479	0.916	1002439	1073507	127	127
output	6	4	1.027571	1.147885	0.895	1539385	1647658	127	127
plain	16	1	0.086854	0.085679	1.014	51420	56904	17	17
plain	16	4	0.053649	0.067978	0.789	47702	54393	17	17
plain	64	1	0.356109	0.393491	0.905	243764	267184	65	65
plain	64	4	0.336391	0.359608	0.935	241174	265801	65	65
shared	16	1	0.922929	0.986927	0.935	815650	934694	287	287
shared	16	4	0.827488	0.991495	0.835	832862	955513	287	287
shared	64	1	5.657597	6.323710	0.895	3920074	4326094	1055	1055
shared	64	4	6.022994	6.474906	0.930	3956426	4366053	1055	1055
