backend	family	extent	n	consumer	complete	median_ms	late_us	live_bytes	requested_bytes
baseline	aliases	finite	16	drop	True	1.047185	31.72475	67271	579718
baseline	aliases	finite	16	retain	True	1.09942	35.6335	77415	581062
baseline	aliases	finite	64	drop	True	49.899754	672.432625	839903	6092494
baseline	aliases	finite	64	retain	True	50.012425	665.37825	880479	6098446
baseline	aliases	finite	128	drop	True	586.283227	4291.4315625	3229831	23160934
baseline	aliases	finite	128	retain	True	595.086527	4344.47859375	3310983	23173030
baseline	aliases	unbounded	16	drop	True	11.806178	2192.262	1617317	9459523
baseline	aliases	unbounded	16	retain	True	11.976684	2132.959	1627461	9460867
baseline	aliases	unbounded	64	drop	False	None	None	None	None
baseline	aliases	unbounded	64	retain	False	None	None	None	None
baseline	aliases	unbounded	128	drop	False	None	None	None	None
baseline	aliases	unbounded	128	retain	False	None	None	None	None
baseline	ground	finite	16	drop	True	0.950267	28.66325	64346	545676
baseline	ground	finite	16	retain	True	1.016428	27.7415	71370	547020
baseline	ground	finite	64	drop	True	46.670131	616.473875	829106	5924132
baseline	ground	finite	64	retain	True	46.964614	624.25325	857202	5930084
baseline	ground	finite	128	drop	True	564.853188	4236.2380625	3208538	22737020
baseline	ground	finite	128	retain	True	572.3091	4121.66828125	3264730	22749116
baseline	ground	unbounded	16	drop	True	10.480902	1919.237	1485323	8616968
baseline	ground	unbounded	16	retain	True	10.618063	1929.157	1492347	8618312
baseline	ground	unbounded	64	drop	False	None	None	None	None
baseline	ground	unbounded	64	retain	False	None	None	None	None
baseline	ground	unbounded	128	drop	False	None	None	None	None
baseline	ground	unbounded	128	retain	False	None	None	None	None
conditional	aliases	finite	16	drop	True	0.715025	45.9105	66007	578366
conditional	aliases	finite	16	retain	True	0.716968	46.532	76151	579710
conditional	aliases	finite	64	drop	True	12.130962	84.7820625	842175	5949638
conditional	aliases	finite	64	retain	True	12.311075	84.8505	882751	5955590
conditional	aliases	finite	128	drop	True	74.201147	274.3435	3234407	21690974
conditional	aliases	finite	128	retain	True	74.521787	275.13840625	3315559	21703070
conditional	aliases	unbounded	16	drop	True	0.954494	112.94925	122849	883513
conditional	aliases	unbounded	16	retain	True	1.012292	119.60275	132993	884857
conditional	aliases	unbounded	64	drop	True	146.719723	6102.285625	15197719	93673467
conditional	aliases	unbounded	64	retain	True	147.889469	6182.4256875	15238295	93679419
conditional	aliases	unbounded	128	drop	False	None	None	None	None
conditional	aliases	unbounded	128	retain	False	None	None	None	None
conditional	ground	finite	16	drop	True	0.615119	40.68925	63210	544324
conditional	ground	finite	16	retain	True	0.661847	42.77925	70234	545668
conditional	ground	finite	64	drop	True	10.050473	68.9151875	820370	5759260
conditional	ground	finite	64	retain	True	9.903641	69.6435	848466	5765212
conditional	ground	finite	128	drop	True	55.960199	201.69653125	3213114	21267060
conditional	ground	finite	128	retain	True	56.698737	189.2015625	3269306	21279156
conditional	ground	unbounded	16	drop	True	0.638176	65.493	93202	613207
conditional	ground	unbounded	16	retain	True	0.677409	64.696	100226	614551
conditional	ground	unbounded	64	drop	True	65.452858	2754.3135625	7250278	45616371
conditional	ground	unbounded	64	retain	True	65.539495	2746.3991875	7278374	45622323
conditional	ground	unbounded	128	drop	True	1226.214217	26881.14015625	110573462	675829779
conditional	ground	unbounded	128	retain	True	1236.145349	27150.63428125	110629654	675841875
specialized	aliases	finite	16	drop	True	0.142631	3.624	7954	145316
specialized	aliases	finite	16	retain	True	0.141594	4.177	12722	146660
specialized	aliases	finite	64	drop	True	1.020215	10.272125	7954	1217108
specialized	aliases	finite	64	retain	True	1.035374	10.6225625	27026	1223060
specialized	aliases	finite	128	drop	True	3.367249	18.83709375	7954	4256836
specialized	aliases	finite	128	retain	True	3.432637	19.0493125	46098	4268932
specialized	aliases	unbounded	16	drop	True	0.066049	1.2605	12606	63064
specialized	aliases	unbounded	16	retain	True	0.06415	1.46425	17374	64408
specialized	aliases	unbounded	64	drop	True	0.130737	1.2079375	12894	200920
specialized	aliases	unbounded	64	retain	True	0.139487	1.401625	31966	206872
specialized	aliases	unbounded	128	drop	True	0.20843	1.2786875	13278	399064
specialized	aliases	unbounded	128	retain	True	0.213277	1.2474375	51422	411160
specialized	ground	finite	16	drop	True	0.133888	3.5545	7663	139769
specialized	ground	finite	16	retain	True	0.133633	3.571	10079	141113
specialized	ground	finite	64	drop	True	0.872004	9.227375	7663	1197353
specialized	ground	finite	64	retain	True	0.889116	9.56525	17327	1203305
specialized	ground	finite	128	drop	True	3.158513	18.56340625	7663	4218137
specialized	ground	finite	128	retain	True	3.110339	17.9694375	26991	4230233
specialized	ground	unbounded	16	drop	True	0.058127	1.0625	10501	59196
specialized	ground	unbounded	16	retain	True	0.057258	1.09075	12917	60540
specialized	ground	unbounded	64	drop	True	0.121281	1.116125	10693	194364
specialized	ground	unbounded	64	retain	True	0.123792	1.15375	20357	200316
specialized	ground	unbounded	128	drop	True	0.18327	1.083625	10949	388924
specialized	ground	unbounded	128	retain	True	0.196831	1.15159375	30277	401020
