backend	family	extent	n	consumer	complete	median_ms	late_us	live_bytes	requested_bytes
conditional	aliases	finite	16	drop	True	1.06614	32.26375	67271	579718
conditional	aliases	finite	16	retain	True	1.106533	34.33975	77415	581062
conditional	aliases	finite	64	drop	True	50.439121	679.3173125	839903	6092494
conditional	aliases	finite	64	retain	True	52.065727	677.8741875	880479	6098446
conditional	aliases	finite	128	drop	True	597.850059	4417.88971875	3229831	23160934
conditional	aliases	finite	128	retain	True	597.966084	4514.900625	3310983	23173030
conditional	aliases	unbounded	16	drop	True	12.016955	2199.6775	1617317	9459523
conditional	aliases	unbounded	16	retain	True	11.963201	2166.947	1627461	9460867
conditional	aliases	unbounded	64	drop	False	None	None	None	None
conditional	aliases	unbounded	64	retain	False	None	None	None	None
conditional	aliases	unbounded	128	drop	False	None	None	None	None
conditional	aliases	unbounded	128	retain	False	None	None	None	None
conditional	ground	finite	16	drop	True	1.033325	29.2845	64346	545676
conditional	ground	finite	16	retain	True	0.987611	31.0195	71370	547020
conditional	ground	finite	64	drop	True	47.722585	632.4844375	829106	5924132
conditional	ground	finite	64	retain	True	48.467828	638.576125	857202	5930084
conditional	ground	finite	128	drop	True	571.517975	4126.24575	3208538	22737020
conditional	ground	finite	128	retain	True	574.832011	4185.493625	3264730	22749116
conditional	ground	unbounded	16	drop	True	10.620174	1951.46075	1485323	8616968
conditional	ground	unbounded	16	retain	True	10.55225	1919.21225	1492347	8618312
conditional	ground	unbounded	64	drop	False	None	None	None	None
conditional	ground	unbounded	64	retain	False	None	None	None	None
conditional	ground	unbounded	128	drop	False	None	None	None	None
conditional	ground	unbounded	128	retain	False	None	None	None	None
specialized	aliases	finite	16	drop	True	0.154241	3.895	7954	145316
specialized	aliases	finite	16	retain	True	0.135251	3.99125	12722	146660
specialized	aliases	finite	64	drop	True	1.033895	10.3361875	7954	1217108
specialized	aliases	finite	64	retain	True	1.034955	10.695875	27026	1223060
specialized	aliases	finite	128	drop	True	3.427346	19.79321875	7954	4256836
specialized	aliases	finite	128	retain	True	3.557474	19.5693125	46098	4268932
specialized	aliases	unbounded	16	drop	True	0.055422	1.10575	12606	63064
specialized	aliases	unbounded	16	retain	True	0.05913	1.309	17374	64408
specialized	aliases	unbounded	64	drop	True	0.109127	1.169125	12894	200920
specialized	aliases	unbounded	64	retain	True	0.127156	1.2600625	31966	206872
specialized	aliases	unbounded	128	drop	True	0.197592	1.2099375	13278	399064
specialized	aliases	unbounded	128	retain	True	0.215584	1.268	51422	411160
specialized	ground	finite	16	drop	True	0.136702	3.7395	7663	139769
specialized	ground	finite	16	retain	True	0.130739	3.572	10079	141113
specialized	ground	finite	64	drop	True	0.902143	9.9915	7663	1197353
specialized	ground	finite	64	retain	True	0.925453	9.6549375	17327	1203305
specialized	ground	finite	128	drop	True	3.222	18.13025	7663	4218137
specialized	ground	finite	128	retain	True	3.328319	20.4570625	26991	4230233
specialized	ground	unbounded	16	drop	True	0.062911	0.98675	10501	59196
specialized	ground	unbounded	16	retain	True	0.050567	1.132	12917	60540
specialized	ground	unbounded	64	drop	True	0.110473	1.1883125	10693	194364
specialized	ground	unbounded	64	retain	True	0.115534	1.078375	20357	200316
specialized	ground	unbounded	128	drop	True	0.194763	1.15853125	10949	388924
specialized	ground	unbounded	128	retain	True	0.192713	1.16490625	30277	401020
