case	mode	quantum	limit	recorded	primary_complete	median_ms	min_ms	max_ms	construct_ms	first_answer_ms	search_ms	shutdown_ms	drop_ms	output_drop_ms	allocation_status	retained_bytes	requested_bytes	peak_bytes
asym-first	Inline	64	4	8	5	0.512327	0.440241	0.532525	0.114902	0.471257	0.385648	0.00935	0.004131	0.002873	complete	0	887200	120618
asym-first	Specialized	0	0	8	5	67.261552	63.11139	67.653334	0.114997	67.095231	67.135244	5e-05	0.008836	0.003349	complete	0	33085899	964253
asym-first	Threads1	64	4	8	5	0.844683	0.706973	0.957188	0.252656	0.751989	0.503931	0.044725	0.006869	0.004428	complete	48	893087	126019
asym-first	Threads2	64	4	8	5	0.844181	0.807114	1.048639	0.266623	0.756784	0.507043	0.057387	0.007092	0.00444	complete	48	899806	132348
asym-last	Inline	64	4	8	5	0.49872	0.482087	0.540521	0.099401	0.459933	0.382677	0.009344	0.004182	0.002782	complete	0	887200	120618
asym-last	Specialized	0	0	8	5	64.51062	63.947118	67.513165	0.114561	64.363722	64.384933	4.8e-05	0.008949	0.003168	complete	0	35243051	966926
asym-last	Threads1	64	4	8	5	0.839092	0.747727	0.942526	0.222387	0.764357	0.52912	0.040503	0.007216	0.004447	complete	48	893087	126019
asym-last	Threads2	64	4	8	5	0.832404	0.811576	0.925536	0.255885	0.721908	0.503071	0.05871	0.006833	0.004291	complete	48	899902	132444
duplicate-eight	Inline	64	4	8	5	0.165218	0.130902	0.176944	0.122383	0.158435	0.035921	0.004479	0.001847	0.000433	complete	0	91368	35536
duplicate-eight	Specialized	0	0	8	5	4.753541	4.162396	4.94877	0.131897	3.277615	4.603913	4.4e-05	0.020221	0.000427	complete	0	6213840	3751600
duplicate-eight	Threads1	64	4	8	5	0.330565	0.302383	0.340595	0.236594	0.288635	0.052103	0.033807	0.003881	0.004209	complete	48	94183	39177
duplicate-eight	Threads2	64	4	8	5	0.370797	0.299151	0.388779	0.273834	0.325143	0.047896	0.034965	0.003754	0.002851	complete	48	100358	45602
mixed-add-infer	Inline	64	4	8	5	0.094157	0.082146	0.129712	0.038874	0.088513	0.049694	0.004414	0.000988	0.000224	complete	0	64272	24701
mixed-add-infer	Specialized	0	0	8	5	0.223198	0.21149	0.233259	0.051602	0.219588	0.170036	4.3e-05	0.002393	0.000239	complete	0	211590	61524
mixed-add-infer	Threads1	64	4	8	5	0.309523	0.245273	0.458864	0.186588	0.270985	0.084454	0.033427	0.002265	0.000331	complete	48	70159	30198
mixed-add-infer	Threads2	64	4	8	5	0.221897	0.208559	0.284376	0.133453	0.188642	0.052633	0.028505	0.007314	0.000335	complete	48	76878	36527
one-work	Inline	1	4	8	5	0.591707	0.509335	0.640105	0.13932	0.572152	0.440715	0.008586	0.000476	0.000298	complete	0	905174	108987
one-work	Inline	64	4	8	5	0.508907	0.502618	0.552155	0.134702	0.499654	0.36198	0.008264	0.000505	0.000276	complete	0	807158	108987
one-work	Specialized	0	0	8	5	8.170425	7.725415	8.468723	0.147433	8.116226	8.019482	4.8e-05	0.002954	0.000275	complete	0	4106957	139265
one-work	Threads1	1	4	8	5	4.353463	4.200569	4.407491	0.22375	4.307934	4.007586	0.033577	0.000554	0.000426	complete	48	911061	114388
one-work	Threads1	64	4	8	5	0.725681	0.613246	0.866675	0.231716	0.691722	0.464681	0.03194	0.000511	0.000415	complete	48	813045	114388
one-work	Threads2	1	4	8	5	4.075688	3.846174	4.454958	0.240891	4.009159	3.778632	0.056073	0.000501	0.000414	complete	48	912244	115501
one-work	Threads2	64	4	8	5	0.719925	0.68263	0.752477	0.223278	0.686075	0.454423	0.052731	0.000519	0.000451	complete	48	814228	115501
one-zero	Inline	64	4	8	5	0.084676	0.075181	0.095741	0.068591	0.081801	0.012431	0.001803	0.000498	0.000299	complete	0	14030	6369
one-zero	Specialized	0	0	8	5	0.108349	0.075931	0.111672	0.075064	0.103509	0.026924	4.6e-05	0.002052	0.00021	complete	0	22569	14617
one-zero	Threads1	64	4	8	5	0.188766	0.103352	0.351134	0.146105	0.163996	0.017959	0.023608	0.000505	0.000446	complete	48	19917	11770
one-zero	Threads2	64	4	8	5	0.209412	0.152109	0.442612	0.140747	0.165262	0.024762	0.028146	0.000552	0.0005	complete	48	21100	12883
owner-product	Inline	64	4	8	5	1.933658	1.922829	2.039515	0.051614	0.089137	1.664833	0.007229	0.129486	0.094345	complete	0	1437264	997920
owner-product	Specialized	0	0	8	5	5.356708	5.232237	5.793833	0.062598	3.346228	4.847451	3.8e-05	0.124072	0.34495	complete	0	6272935	3764352
owner-product	Threads1	64	4	8	5	2.445174	2.387658	2.632721	0.173333	0.224712	1.731627	0.145092	0.174497	0.164812	complete	48	1440079	1001561
owner-product	Threads2	64	4	8	5	2.452171	2.34899	2.469092	0.17342	0.220082	1.83074	0.071268	0.193639	0.161673	complete	48	1446254	1007986
refute-loop	Inline	1	4	8	5	0.027854	0.022595	0.039423	0.021538		0.005617	9.9e-05	0.000473	4.2e-05	complete	0	10523	5998
refute-loop	Inline	8	4	8	5	0.038863	0.028555	0.046396	0.029744		0.008595	0.000166	0.000587	4.3e-05	complete	0	12811	6086
refute-loop	Threads1	1	4	8	5	0.255785	0.132123	0.270932	0.20786		0.042282	0.000103	0.000504	4.2e-05	complete	48	16506	11495
refute-loop	Threads1	8	4	8	5	0.164804	0.149994	0.246339	0.135315		0.030154	0.000103	0.000522	3.9e-05	complete	48	16762	11327
refute-loop	Threads2	1	4	8	5	0.24426	0.168074	0.411908	0.157505		0.054203	0.000203	0.000711	4.4e-05	complete	48	23225	17824
refute-loop	Threads2	8	4	8	5	0.231569	0.157545	0.374994	0.19357		0.036803	0.000107	0.00057	4.4e-05	complete	48	24529	17772
stream-prefix	Inline	1	4	8	5	0.081253	0.073628	0.084666	0.033721	0.054585	0.039272	0.00381	0.002171	0.000628	prefix	0	45101	15421
stream-prefix	Inline	8	4	8	5	0.093371	0.082193	0.10811	0.029244	0.049746	0.058442	0.004636	0.002701	0.0007	prefix	0	68390	24126
stream-prefix	Threads1	1	4	8	5	0.383882	0.309345	0.474726	0.197463	0.252456	0.161816	0.028627	0.003346	0.000845	prefix	48	51084	21014
stream-prefix	Threads1	8	4	8	5	0.254321	0.179938	0.294447	0.135454	0.163897	0.078286	0.023302	0.004511	0.000911	prefix	48	69882	28387
stream-prefix	Threads2	1	4	8	5	0.300434	0.293304	0.34665	0.138865	0.185892	0.141136	0.023064	0.002901	0.000849	prefix	48	57803	27343
stream-prefix	Threads2	8	4	8	5	0.251532	0.189396	0.370279	0.139282	0.157404	0.081887	0.027426	0.004425	0.000882	prefix	48	76697	34857
two-work	Inline	1	4	8	5	1.15014	1.123718	1.196302	0.240695	1.066019	0.838567	0.065881	0.00176	0.000641	complete	0	1814188	215156
two-work	Inline	64	4	8	5	1.017155	0.902777	1.046241	0.239047	0.947237	0.710324	0.060169	0.001555	0.000568	complete	0	1618908	214964
two-work	Specialized	0	0	8	5	32.622998	31.293492	33.708442	0.181887	32.545467	32.43043	5e-05	0.003954	0.000542	complete	0	16246463	255272
two-work	Threads1	1	4	8	5	6.769268	6.399135	7.209899	0.369166	6.68384	6.330158	0.065019	0.003218	0.000858	complete	48	1820171	220653
two-work	Threads1	64	4	8	5	1.212139	1.171554	1.379203	0.330946	1.147653	0.834447	0.056054	0.002704	0.000786	complete	48	1624795	220365
two-work	Threads2	1	4	8	5	7.286066	6.892572	7.449419	0.362507	7.217719	6.862649	0.047652	0.002654	0.000699	complete	48	1826890	227544
two-work	Threads2	64	4	8	5	0.819037	0.767719	0.905954	0.282064	0.767801	0.479483	0.047219	0.002747	0.000715	complete	48	1631514	227187
