family,n,rounds,mode,median_ms,min_ms,max_ms,requested_mib,preparation_ms,prepared_disposal_ms,setup_ms,execution_ms,observation_ms,engine_disposal_ms,answer_disposal_ms
stable-selective,8,1,direct,0.036693,0.034572,0.049563,0.02718639373779297,0.011851,5.15e-05,0.0076095,0.006333,0.007281,0.002268,0.0016065
stable-selective,8,1,retained,0.038706,0.036038,0.046112,0.03217601776123047,0.0118555,4.95e-05,0.0120665,0.002902,0.0075805,0.0027055,0.001579
stable-selective,8,8,direct,0.111133,0.101708,0.123207,0.08111763000488281,0.025025,5.05e-05,0.0117785,0.036001,0.023756,0.006824,0.005547
stable-selective,8,8,retained,0.0935285,0.086206,0.097952,0.08033943176269531,0.022745,4.9e-05,0.0155545,0.016917,0.0221535,0.0072435,0.0055455
stable-selective,8,64,direct,0.6392135,0.616087,0.691047,0.5208644866943359,0.0437245,5.05e-05,0.0295515,0.2384065,0.156396,0.042393,0.134122
stable-selective,8,64,retained,0.5210845,0.488481,0.574045,0.47394371032714844,0.0409855,5.55e-05,0.030882,0.1114115,0.1502515,0.0428845,0.1355305
stable-selective,32,1,direct,0.106013,0.098219,0.114929,0.07990360260009766,0.022214,4.85e-05,0.0290295,0.0184025,0.0233345,0.0062555,0.005439
stable-selective,32,1,retained,0.12575,0.113471,0.164047,0.0988759994506836,0.0229055,4.9e-05,0.0539595,0.0099,0.0217935,0.008422,0.0054215
stable-selective,32,8,direct,0.41533,0.385196,0.431361,0.2882575988769531,0.0612825,4.6e-05,0.033265,0.128984,0.0878565,0.0227455,0.076182
stable-selective,32,8,retained,0.369562,0.340233,0.390749,0.28386497497558594,0.0595725,5e-05,0.05686,0.060203,0.09049,0.0260855,0.077217
stable-selective,32,64,direct,2.4224315,2.316505,2.68582,1.9670944213867188,0.016875,6.2e-05,0.056826,0.982234,0.618938,0.300877,0.479535
stable-selective,32,64,retained,1.9335645,1.779438,2.100214,1.7757816314697266,0.0174105,6.55e-05,0.077739,0.4356575,0.624362,0.283176,0.511637
consume-dense,8,1,direct,0.041038,0.03731,0.050033,0.03250694274902344,0.0156485,5.2e-05,0.007882,0.008327,0.0058755,0.001797,0.001275
consume-dense,8,1,retained,0.0567575,0.053666,0.286187,0.03969383239746094,0.0153355,5.55e-05,0.0194635,0.012774,0.006477,0.001939,0.0012605
consume-dense,8,8,direct,0.175381,0.162095,0.1873,0.12665271759033203,0.033408,4.9e-05,0.0332365,0.0675465,0.024245,0.0105255,0.005309
consume-dense,8,8,retained,0.261662,0.243835,0.29707,0.16118335723876953,0.0344015,5.1e-05,0.04912,0.140558,0.023913,0.010686,0.0051655
consume-dense,8,64,direct,1.2126845,1.142044,1.323739,1.0203180313110352,0.0862395,5.35e-05,0.247912,0.517344,0.160358,0.0925565,0.127547
consume-dense,8,64,retained,1.7766695,1.720693,1.96406,1.2735986709594727,0.096699,5.05e-05,0.2475595,1.0685925,0.156,0.082515,0.132696
consume-dense,32,1,direct,0.1139335,0.103088,0.160153,0.07839012145996094,0.025176,5.3e-05,0.0297575,0.0292495,0.018822,0.0050525,0.0040195
consume-dense,32,1,retained,0.454383,0.428702,0.498773,0.1784343719482422,0.0275565,5e-05,0.232325,0.1571325,0.0242365,0.005519,0.0040725
consume-dense,32,8,direct,0.673511,0.633655,0.755555,0.4885530471801758,0.0769835,4.8e-05,0.124032,0.278166,0.0825205,0.0379745,0.0721495
consume-dense,32,8,retained,3.4675555,3.130279,5.094799,1.253392219543457,0.0993625,5.95e-05,0.350845,2.766059,0.1010055,0.041683,0.0981705
consume-dense,32,64,direct,4.6914545,4.450691,4.963033,4.303711891174316,0.1543885,0.0001685,0.912899,2.1786785,0.6168365,0.4420045,0.365507
consume-dense,32,64,retained,26.259518,25.373343,30.479796,10.386910438537598,0.1578965,0.000176,1.1225285,23.2347165,0.7245175,0.5731745,0.372547
