family,mode,median_ms,min_ms,max_ms,requested_mib,allocation_calls,preparation_ms,prepared_disposal_ms,setup_ms,execution_ms,observation_ms,engine_disposal_ms,answer_disposal_ms,n4_r1_median_us,n4_r8_median_us,n8_r1_median_us,n8_r8_median_us
bind-broad,direct,1.553843,1.505026,1.58773,1.3913774490356445,44490,0.040531,4.6e-05,0.150255,0.594044,0.405627,0.097627,0.261322,28.3295,124.2525,98.629,504.5265
bind-broad,retained,1.403676,1.378444,1.429918,1.360447883605957,37110,0.036978,4.7e-05,0.163618,0.433763,0.412021,0.103954,0.259243,29.4455,107.2255,99.0265,442.8555
bind-broad,global-index,16.815215,16.729666,16.945596,16.64088249206543,512073,0.076641,0.002051,0.154735,16.033105,0.378388,0.055707,0.116767,169.763,690.885,875.846,6617.3565
bind-broad,global-scan,15.042313,14.801399,15.431843,16.36652946472168,495273,0.075864,0.001898,0.154961,14.263054,0.377266,0.051259,0.119885,143.031,596.9955,782.508,5892.759
bind-sparse,direct,0.35103,0.333674,0.363115,0.3296632766723633,10070,0.019055,4.1e-05,0.088305,0.117355,0.085235,0.022548,0.017732,20.486,42.7025,28.8345,73.2535
bind-sparse,retained,0.305064,0.293867,0.314544,0.34726428985595703,8254,0.017677,4.3e-05,0.098368,0.063815,0.080565,0.024428,0.017084,19.8845,34.2065,29.347,58.276
bind-sparse,global-index,1.251732,1.186935,1.397688,1.2632732391357422,30563,0.024039,0.001484,0.120892,0.995914,0.064056,0.026836,0.019086,58.2425,156.9,89.198,307.117
bind-sparse,global-scan,1.312816,1.30606,1.346283,1.6801280975341797,46217,0.022545,0.001322,0.112249,1.07723,0.061261,0.018934,0.017946,48.5885,139.6875,100.8895,352.213
consume-dense,direct,0.485932,0.47412,0.500024,0.43683624267578125,14736,0.025094,4.4e-05,0.141767,0.188972,0.073263,0.03349,0.024658,17.1265,69.48,22.7935,120.134
consume-dense,retained,0.688621,0.6523,0.700164,0.5632858276367188,15040,0.025492,4.2e-05,0.196842,0.343305,0.073192,0.03322,0.016735,20.4505,80.9375,35.7695,188.8235
consume-dense,global-index,1.455783,1.410619,1.500514,1.469320297241211,32862,0.026846,0.001455,0.179136,1.129742,0.065912,0.025484,0.017379,27.3195,220.1775,50.498,410.8905
consume-dense,global-scan,1.06187,1.028561,1.085568,1.2148571014404297,28194,0.024325,0.00141,0.168765,0.760202,0.063875,0.021986,0.017029,20.166,161.7055,35.478,304.615
consume-selective,direct,0.496463,0.476513,0.510375,0.43683624267578125,14736,0.024326,4.2e-05,0.142944,0.194576,0.074728,0.034251,0.024288,17.5875,71.872,23.372,121.536
consume-selective,retained,0.506319,0.495379,0.529587,0.4968719482421875,13496,0.025477,4.7e-05,0.170298,0.185129,0.071828,0.034197,0.017342,18.719,68.6395,27.663,123.7665
consume-selective,global-index,1.502714,1.455376,2.775629,1.6348094940185547,33304,0.026592,0.001439,0.18161,1.185351,0.066412,0.027867,0.017341,29.4305,217.1695,54.494,435.524
consume-selective,global-scan,1.089427,1.063353,1.142936,1.2250728607177734,28328,0.026174,0.001373,0.181374,0.775477,0.063635,0.024427,0.016829,20.378,161.8245,39.462,307.0555
replace-broad,direct,0.684327,0.66051,0.696503,0.5588197708129883,18970,0.026398,4.2e-05,0.205898,0.258531,0.094885,0.04716,0.048321,19.044,91.0305,39.7975,177.8035
replace-broad,retained,0.709545,0.700199,0.7281,0.624028205871582,17806,0.026924,4.6e-05,0.222989,0.261967,0.093873,0.053138,0.048375,22.4445,92.548,44.2435,181.1125
replace-broad,global-index,2.466872,2.336132,2.717338,2.2812137603759766,57063,0.028508,0.001526,0.250607,2.048509,0.080563,0.035086,0.018862,66.3925,299.576,129.408,713.675
replace-broad,global-scan,3.394493,3.289083,4.994414,3.932535171508789,113353,0.029444,0.001555,0.252335,2.968808,0.092495,0.028621,0.020468,62.9905,313.5505,183.5365,1128.018
replace-sparse,direct,0.423305,0.379035,0.437538,0.34285831451416016,11798,0.020905,4.2e-05,0.106432,0.146367,0.08531,0.025778,0.018786,21.276,55.708,30.6265,84.8155
replace-sparse,retained,0.390716,0.374804,0.439799,0.3720064163208008,10258,0.020115,4.3e-05,0.126304,0.106258,0.086129,0.029569,0.018162,22.061,51.531,32.8635,77.115
replace-sparse,global-index,1.355966,1.304417,1.409055,1.3356075286865234,32369,0.025289,0.001483,0.13628,1.075471,0.064764,0.027205,0.01825,46.8745,182.581,78.0305,346.9635
replace-sparse,global-scan,1.488157,1.461699,1.517967,1.8392963409423828,50913,0.024732,0.00135,0.131104,1.226918,0.064405,0.019966,0.018402,43.5715,172.8135,90.4745,422.359
stable-dense,direct,1.66506,1.561878,2.824695,1.3643693923950195,46798,0.045416,5e-05,0.166686,0.59237,0.463195,0.115458,0.268814,28.984,128.3695,101.765,541.376
stable-dense,retained,1.427345,1.361385,1.464387,1.3318681716918945,39358,0.039179,4.8e-05,0.206102,0.389272,0.42297,0.105687,0.259787,27.6875,109.2285,97.0415,458.1795
stable-dense,global-index,16.554397,16.192496,17.743782,16.351865768432617,504469,0.079228,0.002487,0.162881,15.768352,0.396649,0.054746,0.105334,154.6855,669.3695,851.5235,6459.81
stable-dense,global-scan,14.761152,14.729441,15.183809,16.147138595581055,489001,0.078857,0.001932,0.167697,13.98634,0.384466,0.047122,0.101734,129.5315,584.583,763.952,5913.9205
stable-selective,direct,0.342984,0.330276,0.360357,0.30446338653564453,10058,0.018888,4.3e-05,0.084605,0.106141,0.083968,0.022263,0.01732,18.964,40.0535,27.637,72.442
stable-selective,retained,0.320593,0.292154,0.47945,0.32332324981689453,8426,0.019124,4.5e-05,0.105171,0.061333,0.084659,0.026992,0.019532,22.2265,36.0925,29.3675,61.404
stable-selective,global-index,1.06223,1.04876,1.109711,1.1450786590576172,27587,0.022734,0.001365,0.092909,0.839649,0.059292,0.024096,0.017689,42.062,134.1975,67.4335,272.74
stable-selective,global-scan,1.210193,1.130852,1.233378,1.4673442840576172,39911,0.023052,0.001334,0.108747,0.974737,0.065146,0.018173,0.018348,30.3105,145.177,77.7045,336.898
