family,mode,median_ms,min_ms,max_ms,requested_mib,allocation_calls,preparation_ms,prepared_disposal_ms,setup_ms,execution_ms,observation_ms,engine_disposal_ms,answer_disposal_ms,n4_r1_median_us,n4_r8_median_us,n8_r1_median_us,n8_r8_median_us
bind-broad,direct,1.843558,1.78032,1.864512,1.4805803298950195,47186,0.04564,4.8e-05,0.255183,0.699216,0.464436,0.097461,0.279518,35.284,164.105,113.036,586.019
bind-broad,retained,1.663021,1.649823,1.719138,1.449650764465332,39806,0.042233,5e-05,0.267267,0.501453,0.461165,0.105626,0.281965,37.217,144.204,111.632,522.5795
bind-broad,global-index,18.258063,17.817657,18.49325,16.64088249206543,512073,0.08662,0.003076,0.173816,17.381849,0.4189,0.062114,0.130719,184.2955,758.9225,964.394,7169.522
bind-broad,global-scan,16.104579,15.889757,16.396142,16.36652946472168,495273,0.084517,0.002082,0.177024,15.244162,0.415758,0.053125,0.126083,159.818,653.3525,840.663,6342.0445
bind-sparse,direct,0.481067,0.471038,0.501335,0.4188661575317383,12766,0.020544,4.4e-05,0.172216,0.150047,0.097361,0.020972,0.018035,23.991,67.394,33.7925,101.5
bind-sparse,retained,0.44862,0.421695,0.450091,0.43646717071533203,10950,0.019884,5.3e-05,0.187287,0.091547,0.099305,0.026129,0.019022,24.804,61.881,35.9995,88.269
bind-sparse,global-index,1.328497,1.302985,1.361664,1.2632732391357422,30563,0.026663,0.001643,0.131074,1.052546,0.070152,0.029178,0.019989,62.9715,165.617,96.729,329.6815
bind-sparse,global-scan,1.461209,1.408668,1.482059,1.6801280975341797,46217,0.025317,0.00156,0.1253,1.193365,0.069169,0.021592,0.019384,51.955,154.171,111.8095,395.7065
consume-dense,direct,2.976082,2.867167,3.10356,2.9912033081054688,98240,0.017637,4.7e-05,1.913181,0.812244,0.150568,0.027262,0.058496,14.698,364.1735,25.2135,1064.97
consume-dense,retained,3.256732,3.070708,6.020873,3.1176528930664062,98544,0.018424,5e-05,2.005573,1.033733,0.156189,0.028169,0.044305,21.453,389.892,45.5815,1164.951
consume-dense,global-index,1.579608,1.531714,1.601561,1.469320297241211,32862,0.028131,0.001776,0.198464,1.23543,0.070332,0.028146,0.017625,28.485,235.222,54.3945,452.5465
consume-dense,global-scan,1.212279,1.141135,1.902691,1.2148571014404297,28194,0.029951,0.001645,0.198032,0.862845,0.073228,0.026235,0.017485,23.9545,179.8235,40.511,340.3305
consume-selective,direct,2.911848,2.866742,3.334578,2.9912033081054688,98240,0.017149,5.2e-05,1.868049,0.794977,0.149888,0.027189,0.058036,14.376,366.806,26.755,1051.264
consume-selective,retained,2.976271,2.931302,3.094546,3.051239013671875,97000,0.017954,4.8e-05,1.926638,0.80739,0.151278,0.032928,0.057714,14.8815,366.5635,32.9575,1069.981
consume-selective,global-index,1.624241,1.592366,1.737086,1.6348094940185547,33304,0.029492,0.001644,0.20794,1.272764,0.072138,0.03139,0.017649,31.74,246.286,59.5655,470.324
consume-selective,global-scan,1.186178,1.14712,1.246503,1.2250728607177734,28328,0.028795,0.001634,0.200083,0.848003,0.071782,0.027283,0.018158,22.496,178.58,43.7875,337.751
replace-broad,direct,5.151737,5.077417,5.200309,4.949002265930176,160874,0.031384,0.0001,3.331813,0.900948,0.699739,0.070482,0.082289,31.243,596.3865,84.1715,1844.5585
replace-broad,retained,5.10204,4.954177,5.304911,5.0142107009887695,159710,0.030441,0.000106,3.317761,1.016482,0.611515,0.061802,0.057448,35.275,583.202,88.7325,1822.53
replace-broad,global-index,2.678584,2.641819,2.747031,2.2812137603759766,57063,0.031998,0.001802,0.277065,2.225323,0.082882,0.039356,0.020064,75.2475,328.856,139.0095,786.3935
replace-broad,global-scan,3.609416,3.540063,3.729816,3.932535171508789,113353,0.032341,0.001716,0.291439,3.153881,0.101792,0.031281,0.02061,68.091,322.8335,194.674,1210.0355
replace-sparse,direct,0.739886,0.712044,0.799393,0.6186609268188477,20602,0.025606,4.7e-05,0.334718,0.180089,0.155553,0.023708,0.020713,26.375,130.313,35.9085,163.741
replace-sparse,retained,0.719282,0.701266,0.760271,0.6478090286254883,19062,0.025339,4.5e-05,0.354434,0.130855,0.160593,0.028049,0.020041,27.727,126.795,37.684,151.906
replace-sparse,global-index,1.455809,1.428527,1.471191,1.3356075286865234,32369,0.027248,0.001601,0.152624,1.155989,0.06989,0.029976,0.019311,51.963,196.907,86.5845,375.1965
replace-sparse,global-scan,1.610277,1.434866,1.665855,1.8392963409423828,50913,0.027299,0.001633,0.148994,1.315777,0.072376,0.022631,0.020213,47.081,189.416,96.2405,458.5295
stable-dense,direct,1.768409,1.732884,1.965093,1.4171037673950195,48430,0.04912,7e-05,0.214098,0.65388,0.470633,0.107243,0.27863,29.4535,150.7985,106.4365,575.7315
stable-dense,retained,1.643948,1.640464,1.674063,1.3846025466918945,40990,0.043322,5.2e-05,0.284578,0.440583,0.47491,0.114801,0.290839,32.4915,135.6325,108.1195,527.088
stable-dense,global-index,17.632223,17.343767,18.011261,16.351865768432617,504469,0.087738,0.002276,0.158434,16.712272,0.446713,0.058094,0.11811,156.2075,716.6395,903.5435,6972.749
stable-dense,global-scan,16.185709,15.91657,21.133231,16.147138595581055,489001,0.086686,0.003077,0.189901,15.311795,0.430537,0.053396,0.108457,146.117,629.8615,830.0655,6423.2015
stable-selective,direct,0.447035,0.427277,0.457202,0.35719776153564453,11690,0.022087,4.9e-05,0.136788,0.135121,0.099712,0.022478,0.029625,21.419,66.201,28.297,93.3945
stable-selective,retained,0.401842,0.378827,0.413702,0.37605762481689453,10058,0.021315,4.9e-05,0.161482,0.074752,0.099128,0.02535,0.017886,21.6055,52.64,31.873,81.818
stable-selective,global-index,1.191756,1.103766,1.248488,1.1450786590576172,27587,0.026313,0.001527,0.10433,0.939115,0.066336,0.027012,0.019209,43.7655,150.98,75.712,305.162
stable-selective,global-scan,1.278319,1.229597,1.310369,1.4673442840576172,39911,0.025412,0.001533,0.117707,1.025494,0.069095,0.019714,0.019308,32.396,150.376,85.3245,357.1535
