kind,rep,family,n,rounds,mode,total_ns,preparation_ns,setup_ns,execution_ns,observation_ns,disposal_ns,first_cold_ns,cancellation_ns,requested_bytes,peak_increment_bytes
time,0,inactive,4,2,compiled,5742434,47503,136867,5409178,90969,57917,2826957,168331,,
time,0,unique,4,8,compiled,66421620,118354,269869,65626453,268639,138305,33228351,207707,,
time,0,consuming,2,2,indexed,61199,18880,15056,14334,7233,5696,37580,14625,,
time,0,churn-sparse,4,2,indexed,503312,52954,168404,88032,128637,65285,224180,126141,,
time,0,selective,2,8,eager,67392,12457,22405,12406,11697,8427,35172,19189,,
time,0,selective,2,2,subscribed,44206,11440,13900,7960,5837,5069,25414,11595,,
time,0,reopen,4,2,eager,810058,55824,481356,74340,116544,81994,380224,309730,,
time,0,binding,2,8,compiled,1600396,38886,98545,1394093,38358,30514,807708,77587,,
time,0,reopen,4,2,indexed,481298,52508,162757,82264,119532,64237,218065,146802,,
time,0,dense,2,2,indexed,71312,14324,15438,17251,15269,9030,36458,20847,,
time,0,dense,2,8,compiled,683563,31143,41411,561062,30801,19146,342028,32722,,
time,0,churn-sparse,2,2,compiled,777514,29110,78886,629878,20476,19164,374228,57800,,
time,0,unique,2,8,eager,343209,36397,151912,57831,58485,38584,163153,103106,,
time,0,binding,2,2,compiled,725431,37104,90560,560035,18374,19358,387465,56409,,
time,0,reopen,4,2,compiled,6458827,53414,143480,6123699,81858,56376,3177650,120755,,
time,0,consuming,2,2,compiled,146838,22189,24620,88984,4351,6694,83255,17093,,
time,0,unique,2,2,compiled,778640,29064,88314,617850,21401,22011,389086,65869,,
time,0,binding,4,2,compiled,7968522,63004,175629,7570988,93719,65182,3769325,132928,,
time,0,selective,2,2,indexed,50395,15040,16099,5647,7701,5908,29927,12341,,
time,0,churn-sparse,2,2,indexed,168560,21720,75740,21533,28615,20952,80787,53959,,
time,0,consuming,4,2,compiled,258508,23568,31692,187727,7282,8239,137682,20636,,
time,0,binding,2,2,eager,220904,22843,112463,35742,27098,22758,107520,83378,,
time,0,dense,4,8,compiled,17636800,100499,164642,16995825,239179,136655,8938502,158589,,
time,0,churn-sparse,2,8,eager,384679,36074,159330,87254,60522,41499,183226,121809,,
time,0,consuming,4,2,indexed,92849,19592,23564,29937,11813,7943,51358,21432,,
time,0,selective,4,2,eager,58884,13576,25520,4269,8076,7443,31374,18115,,
time,0,consuming,4,8,indexed,273063,27660,75765,112272,28693,28673,138744,39020,,
time,0,reopen,4,8,subscribed,1697046,150315,281551,665065,396764,203351,774034,247047,,
time,0,selective,4,8,eager,79761,13796,30675,11868,13004,10418,40956,24315,,
time,0,binding,2,8,eager,336695,34595,136460,66722,58545,40373,157950,127853,,
time,0,dense,4,8,indexed,1019791,51468,136716,301907,350185,179515,389173,145432,,
time,0,unique,4,2,indexed,518691,56025,168869,98400,131524,63873,222762,120438,,
time,0,churn-sparse,4,8,indexed,1346744,167290,274690,334707,382125,187932,609179,224538,,
time,0,inactive,4,8,eager,1621875,154234,583808,275614,389090,219129,720661,377734,,
time,0,binding,4,2,subscribed,590839,55557,170901,175329,120269,68783,276152,163951,,
time,0,churn-broad,4,8,compiled,35311073,136261,336440,34408748,262400,167224,17703870,259562,,
time,0,churn-broad,4,2,subscribed,728654,57098,200523,271186,125485,74362,322517,188568,,
time,0,selective,4,2,compiled,145233,23355,30945,77085,5179,8669,79192,24023,,
time,0,unique,2,2,eager,206421,23571,117446,15441,27953,22010,101036,75717,,
time,0,binding,4,8,eager,1637764,146609,560892,345568,373138,211557,727474,426364,,
time,0,inactive,4,8,indexed,1300194,153858,253025,293425,412211,187675,558329,215762,,
time,0,inactive,2,2,subscribed,168341,19921,75316,23587,29192,20325,78320,52241,,
time,0,churn-broad,2,2,subscribed,193588,21721,79255,42837,28927,20848,93132,72087,,
time,0,reopen,2,8,compiled,2076676,42238,115802,1845198,41012,32426,1049089,83131,,
time,0,reopen,2,8,indexed,302934,35987,108119,58890,61450,38488,140703,82826,,
time,0,consuming,2,8,eager,177371,21712,40889,76104,16304,22362,86151,36988,,
time,0,consuming,4,2,eager,193586,19830,56798,95321,13295,8342,102895,47548,,
time,0,reopen,4,2,subscribed,588194,54112,171587,172797,123646,66052,270154,141413,,
time,0,churn-broad,2,2,compiled,926533,30448,85597,768620,21492,20376,460956,62673,,
time,0,reopen,2,8,subscribed,371012,35995,111744,115014,70275,37984,174869,95779,,
time,0,churn-broad,2,8,eager,461918,37518,178573,126023,70751,49053,220726,129171,,
time,0,inactive,4,2,eager,837379,54815,506047,77677,120485,78355,389495,302894,,
time,0,churn-broad,4,8,eager,2244537,162735,717795,738038,393532,232437,1030964,476353,,
time,0,unique,4,8,subscribed,1765217,150441,305226,721356,386997,201197,772858,264606,,
time,0,inactive,2,8,indexed,275355,33852,92938,53487,60842,34236,127066,75178,,
time,0,reopen,2,2,indexed,162998,21062,76354,17176,28919,19487,77903,55608,,
time,0,churn-sparse,2,8,compiled,2227045,39823,119989,1987953,45188,34092,1101403,94982,,
time,0,consuming,2,2,eager,70958,18111,18626,21516,7070,5635,42174,19654,,
time,0,unique,4,2,eager,864050,55899,505125,85478,130964,86584,390386,301619,,
time,0,reopen,4,8,compiled,24760847,117057,268657,23973936,249372,151825,12303143,232220,,
time,0,churn-broad,4,2,indexed,554264,56351,196463,108470,122654,70326,247143,137302,,
time,0,inactive,2,8,eager,350024,38545,157295,49080,64807,40297,176202,95501,,
time,0,churn-sparse,4,8,eager,1778632,151582,612221,413340,390680,210809,789904,415466,,
time,0,churn-sparse,4,2,eager,898348,56613,509305,120952,122163,89315,420432,325298,,
time,0,dense,2,8,subscribed,191835,28519,36761,56634,45841,24080,89016,40967,,
time,0,selective,2,8,subscribed,69260,12382,20699,15396,12424,8359,35943,20038,,
time,0,inactive,4,8,subscribed,1331522,149576,263926,338420,389866,189734,587860,236647,,
time,0,dense,4,2,eager,357813,41519,81504,87619,96620,50551,159325,74862,,
time,0,selective,4,8,indexed,77576,13624,27691,12786,13845,9630,40721,23232,,
time,0,dense,4,2,compiled,4424697,42999,54011,4231363,61398,34926,2210951,53578,,
time,0,churn-broad,4,8,indexed,1705104,177956,348875,418703,415283,344287,683755,175860,,
time,0,churn-broad,2,8,subscribed,446137,40837,144251,148408,66519,46122,215626,155818,,
time,0,unique,4,8,indexed,1404144,156019,289223,355831,391543,211528,625556,230765,,
time,0,selective,2,8,compiled,233915,22706,35724,156854,8537,10094,124430,31008,,
time,0,churn-sparse,2,2,subscribed,180670,21143,77002,32988,28555,20982,86542,59834,,
time,0,reopen,2,2,eager,203485,21965,116466,14681,27714,22659,97407,76063,,
time,0,binding,4,8,compiled,22402766,116377,255099,21613177,273401,144712,11163783,201702,,
time,0,binding,4,8,subscribed,1395854,140256,276655,369965,413640,195338,624368,257537,,
time,0,consuming,4,8,subscribed,609365,30031,69377,444167,32720,33070,300818,71122,,
time,0,inactive,4,8,compiled,21664345,132880,262236,20851257,268577,149395,10724676,208493,,
time,0,binding,4,8,indexed,1349662,144869,261131,354106,378887,210669,598471,240320,,
time,0,unique,2,8,subscribed,413797,37539,121236,143798,68988,42236,186399,103498,,
time,0,dense,4,2,indexed,342122,47019,48163,105906,95902,45132,161988,55880,,
time,0,churn-broad,2,2,eager,253186,23901,134326,37532,31663,25764,122570,96943,,
