kind,rep,family,n,rounds,mode,total_ns,preparation_ns,setup_ns,execution_ns,observation_ns,disposal_ns,first_cold_ns,cancellation_ns,requested_bytes,peak_increment_bytes
time,0,selective,4,8,old-indexed,77535,13486,27387,13094,13787,9781,40461,24294,,
time,0,low-stable,16,2,eager,1424905,53674,922883,6954,180687,260707,613912,511505,,
time,0,selective,4,8,eager,83191,13840,32500,12736,13491,10624,42778,25269,,
time,0,low-churn,16,64,subscribed,3402464,32643,1032317,1674488,286721,376295,1519838,759150,,
time,0,low-stable,16,16,eager,1448753,13983,925222,20718,195820,293010,578093,564987,,
time,0,low-churn,16,16,subscribed,1906701,16332,899825,481317,208276,300951,801208,628920,,
time,0,low-reopen,16,16,subscribed,2515784,12074,894105,1117129,200246,292230,1115918,778677,,
time,0,low-churn,8,16,eager,659879,47973,285778,162748,63599,99781,314938,181290,,
time,0,low-stable,4,2,subscribed,130517,17512,67909,12583,17229,15284,64986,47280,,
time,0,low-stable,8,16,subscribed,912540,45151,516127,42717,69677,238868,515247,302526,,
time,0,consuming,4,8,indexed,263925,27951,59784,119843,28145,28202,127070,38341,,
time,0,low-stable,4,64,compiled,2018286,43526,196391,1684775,48574,45020,1004323,134270,,
time,0,low-churn,16,16,compiled,7938742,84767,608665,6975026,143456,126828,3858969,336902,,
time,0,low-reopen,16,16,eager,1487948,13795,966129,34552,194783,278689,606335,547407,,
time,0,low-churn,8,2,subscribed,428286,36009,227023,48838,52260,64156,201650,178826,,
time,0,low-stable,16,2,subscribed,1457956,53554,866111,84299,182670,271322,636837,546981,,
time,0,low-stable,8,16,compiled,1575977,48680,202973,1198427,51069,74828,771172,142339,,
time,0,low-reopen,4,16,indexed,260737,23279,108901,76940,27074,24543,126224,81058,,
time,0,low-reopen,8,2,eager,363565,32008,218283,5214,48946,59114,167235,145806,,
time,0,low-reopen,8,64,compiled,8068863,58657,396691,7456353,89210,67952,4043414,257512,,
time,0,low-reopen,8,16,subscribed,769480,41792,250905,314726,64432,97625,351988,211718,,
time,0,low-churn,16,64,compiled,26189369,37078,821489,24969108,172229,189465,12987379,498007,,
time,0,low-churn,8,64,indexed,2269452,71030,457210,1473619,97296,170297,1084593,311030,,
time,0,low-churn,16,64,indexed,7059214,32033,1021072,5394861,237960,373288,3362415,951294,,
time,0,low-reopen,4,16,compiled,1032048,33739,133492,814684,26688,23445,508446,88803,,
time,0,low-stable,16,64,indexed,5554878,21409,926561,4038054,284754,284100,2689072,887475,,
time,0,low-churn,16,16,indexed,5410618,111957,1351707,3138642,338682,469630,2373051,718378,,
time,0,consuming,4,8,subscribed,635642,30962,71103,464951,34845,33781,299095,73928,,
time,0,low-reopen,8,2,subscribed,454799,34318,231616,69699,52892,66274,202703,171218,,
time,0,low-churn,16,2,indexed,1545302,52904,842690,193177,183667,272864,667643,566913,,
time,0,low-reopen,16,64,subscribed,5984229,19800,1019936,4348529,237453,358511,2832305,845253,,
time,0,low-stable,8,2,indexed,411276,33526,213804,35331,49972,78643,184945,141989,,
time,0,low-stable,16,2,compiled,2156350,77711,502303,1337043,122611,116682,1030825,307657,,
time,0,low-stable,16,16,indexed,2455163,14609,889081,1040363,214576,296534,1106938,841900,,
time,0,low-churn,8,64,compiled,8456050,63708,466300,7747606,95323,83113,4217043,279806,,
time,0,low-churn,4,64,compiled,4245296,55932,325273,3668105,77381,118605,2137720,212184,,
time,0,selective,4,8,indexed,105884,17272,34351,17816,22639,13806,57228,29817,,
time,0,low-churn,16,64,eager,3369536,32837,1129094,1594873,239312,373420,1516297,726709,,
time,0,consuming,4,8,eager,629780,36304,108912,417117,34499,32948,317582,70273,,
time,0,low-churn,8,2,eager,422217,36098,242175,24755,51760,67429,198083,169720,,
time,0,low-stable,4,2,indexed,132503,17776,69655,12033,17334,15705,65452,47492,,
time,0,low-reopen,4,64,indexed,729200,45552,258914,296035,63125,65574,338236,185593,,
time,0,low-reopen,4,64,eager,559726,46276,263720,125774,62766,61190,260369,166958,,
time,0,dense,4,8,indexed,1070125,55570,140883,319505,375077,179090,410864,146855,,
time,0,low-stable,4,64,subscribed,384357,38262,147843,82862,70348,45042,178812,104982,,
time,0,dense,4,8,subscribed,1218573,17083,34972,365214,377080,424224,412818,54259,,
time,0,low-stable,4,16,compiled,611957,31448,88757,451640,19965,20147,309483,65402,,
time,0,low-reopen,4,16,subscribed,340726,26993,117714,129898,28645,37476,162857,88926,,
time,0,low-reopen,16,2,compiled,2328764,72542,506578,1512477,123254,113913,1117973,305684,,
time,0,low-stable,8,64,eager,672322,62756,298888,71319,100352,139007,305155,174451,,
time,0,low-stable,4,16,indexed,223151,23221,84310,64553,28888,22179,108499,76593,,
time,0,low-churn,4,16,compiled,1092254,34741,137703,867749,28704,23357,546894,90939,,
time,0,low-stable,16,64,compiled,13985081,24446,620583,13047791,147348,144913,6906905,388150,,
time,0,low-stable,4,2,eager,127568,17206,73042,5067,17034,15219,62516,45679,,
time,0,low-stable,4,64,indexed,536481,39486,144798,237562,67987,46648,254283,119594,,
time,0,low-churn,16,2,subscribed,1543208,54994,888881,140773,186026,272534,669897,547071,,
time,0,low-reopen,4,2,eager,130861,17610,75198,5520,17128,15405,64883,44714,,
time,0,low-stable,8,16,eager,484567,40297,253938,20095,67694,102543,209688,149999,,
