family,mode,median_ms,min_ms,max_ms,requested_mib,allocation_calls,preparation_ms,prepared_disposal_ms,setup_ms,execution_observation_ms,engine_disposal_ms,answer_disposal_ms,n4_median_us,n16_median_us,n64_median_us
delayed-dense,relational,5.515658,4.926733,5.741689,7.951883316040039,109268,0.001781,0.001005,1.34673,4.134264,0.001188,0.02414,46.1635,173.8,977.9945
delayed-dense,integrated,1.993172,1.933337,2.042408,2.6381473541259766,43465,0.000876,0.000673,0.99983,0.87079,0.129568,0.009368,25.359,75.7995,314.615
delayed-dense,global-index,2.599382,2.379796,2.917642,2.4442195892333984,36080,0.003566,0.000683,0.344716,2.191502,0.056039,0.014019,23.931,99.0335,430.4625
delayed-dense,global-scan,1.3235,1.229806,1.553325,1.5641841888427734,25328,0.003142,0.000562,0.337566,0.930714,0.047566,0.009104,12.9,47.5095,222.9835
delayed-selective,relational,5.628453,5.528224,6.179333,7.847665786743164,102952,0.001868,0.00107,1.41017,4.163429,0.00104,0.024447,43.6665,167.61,1025.459
delayed-selective,integrated,3.817209,3.693044,3.972074,8.525697708129883,127509,0.001022,0.00066,0.977204,2.68491,0.133185,0.02387,24.578,100.8825,727.099
delayed-selective,global-index,2.116234,2.095565,2.743873,2.169034957885742,30232,0.00367,0.000643,0.339138,1.65271,0.099389,0.023932,21.8925,83.9525,341.2445
delayed-selective,global-scan,1.003712,0.935142,1.062904,1.2430400848388672,20248,0.003353,0.000561,0.317295,0.601614,0.057542,0.023057,10.667,38.677,165.3005
dense,relational,2.005727,1.942182,2.26717,2.1295948028564453,37036,0.001764,0.000992,1.035289,0.957297,0.000973,0.009518,26.371,81.6155,310.919
dense,integrated,1.265695,1.222555,1.331195,1.8059329986572266,26625,0.000916,0.000569,0.693028,0.443768,0.106724,0.009121,15.564,48.767,200.87
dense,global-index,1.226033,1.151395,1.349323,1.3185176849365234,20288,0.003309,0.000574,0.261827,0.910752,0.04023,0.008907,11.9185,46.0405,202.096
dense,global-scan,1.069339,0.844585,2.022692,1.0028743743896484,15872,0.00347,0.000547,0.295623,0.682184,0.054065,0.023592,10.255,33.26,157.148
flat,relational,1.471376,1.371289,1.692387,1.5245189666748047,26804,0.001197,0.000762,0.658243,0.787765,0.000906,0.009498,18.053,55.7525,225.7975
flat,integrated,0.967365,0.910009,1.339564,1.1497421264648438,21982,0.000754,0.000505,0.469223,0.434931,0.054425,0.009529,8.904,38.968,155.5785
flat,global-index,1.047999,0.99033,1.105908,1.0681171417236328,16958,0.002955,0.000527,0.154966,0.855689,0.025109,0.0091,10.3495,38.0075,173.4675
flat,global-scan,0.68892,0.664668,0.733676,0.7655658721923828,13374,0.002709,0.000461,0.144877,0.490099,0.027028,0.008973,6.483,23.3875,114.8175
selective,relational,2.043909,1.938667,2.155327,2.0311450958251953,30700,0.001722,0.000934,1.061409,0.90146,0.000905,0.077485,23.715,70.177,346.56
selective,integrated,3.238742,3.146305,3.414432,7.704469680786133,111821,0.001064,0.000687,0.703294,2.384377,0.113692,0.023746,16.144,73.169,646.7665
selective,global-index,0.862565,0.83607,1.442268,1.0492534637451172,14456,0.003421,0.000599,0.277088,0.466451,0.091303,0.029665,10.682,35.412,134.8245
selective,global-scan,0.523396,0.491817,0.648189,0.6876506805419922,10808,0.003105,0.000555,0.257833,0.196719,0.038326,0.023879,7.3925,22.3455,76.71
