family,mode,median_ms,min_ms,max_ms,requested_mib,allocation_calls,preparation_ms,prepared_disposal_ms,setup_ms,execution_observation_ms,engine_disposal_ms,answer_disposal_ms,n4_median_us,n16_median_us,n64_median_us
delayed-dense,relational,9.216406,8.861617,16.432954,14.315410614013672,234309,0.001267,0.001058,1.29866,7.904375,0.001035,0.009439,47.4455,220.012,1822.183
delayed-dense,integrated,1.804586,1.744487,2.054256,2.6381473541259766,43465,0.00072,0.000542,0.874519,0.805765,0.115261,0.00846,23.3525,68.066,288.8195
delayed-dense,global-index,2.310345,2.207713,3.977559,2.4442195892333984,36080,0.003032,0.000677,0.305334,1.941848,0.051115,0.012701,21.4145,91.0995,380.747
delayed-dense,global-scan,1.179212,1.110517,2.220264,1.5641841888427734,25328,0.003034,0.000496,0.299632,0.816938,0.04704,0.008749,11.7605,43.093,196.012
delayed-selective,relational,4.921985,4.7156,9.016182,7.852077484130859,103201,0.001241,0.000863,1.192893,3.70445,0.001114,0.02306,38.445,154.0225,928.087
delayed-selective,integrated,3.462056,3.318973,6.824651,8.525697708129883,127509,0.000984,0.000584,0.925334,2.426405,0.121453,0.022265,22.2985,91.573,661.97
delayed-selective,global-index,1.871047,1.789629,3.363368,2.169034957885742,30232,0.003497,0.00057,0.312167,1.451869,0.083715,0.02106,19.8245,76.9835,299.7315
delayed-selective,global-scan,0.919134,0.866042,1.768665,1.2430400848388672,20248,0.002838,0.000621,0.285265,0.53562,0.056498,0.021437,9.8305,35.0485,145.727
dense,relational,5.671011,5.442503,10.738124,8.490070343017578,161677,0.001077,0.000724,0.957409,4.689624,0.001063,0.021135,28.9925,130.45,1144.491
dense,integrated,1.141532,1.116395,2.144525,1.8059329986572266,26625,0.000818,0.000588,0.617965,0.412197,0.097076,0.008378,13.928,43.1805,181.2885
dense,global-index,1.126544,1.043086,2.089637,1.3185176849365234,20288,0.003044,0.000576,0.239693,0.838364,0.036106,0.008236,10.6095,41.6595,182.013
dense,global-scan,0.731408,0.7087,0.814516,1.0028743743896484,15872,0.002698,0.000449,0.23058,0.436162,0.046149,0.019584,7.871,26.26,118.5155
flat,relational,3.839808,3.676302,7.011919,6.3710174560546875,113717,0.000768,0.000528,0.58726,3.21783,0.001793,0.031162,19.38,85.7275,766.951
flat,integrated,0.825488,0.81123,0.887073,1.1497421264648438,21982,0.000768,0.000415,0.403723,0.367696,0.044251,0.007808,7.373,32.925,130.759
flat,global-index,0.887971,0.870355,0.979045,1.0681171417236328,16958,0.002379,0.000441,0.128406,0.726601,0.021781,0.008293,8.4515,32.8475,148.0905
flat,global-scan,0.57774,0.540444,0.658773,0.7655658721923828,13374,0.002576,0.000478,0.139924,0.405196,0.023124,0.008297,6.0905,20.6815,96.644
selective,relational,1.733658,1.67701,3.17133,2.0354347229003906,30933,0.001093,0.000649,0.901415,0.791444,0.000851,0.035003,21.1625,59.177,291.535
selective,integrated,2.874138,2.791345,5.329353,7.704469680786133,111821,0.0008,0.000628,0.603536,2.095744,0.103165,0.021862,15.5195,64.692,563.2095
selective,global-index,0.714629,0.689344,1.42974,1.0492534637451172,14456,0.002925,0.000501,0.232594,0.382295,0.074278,0.021078,9.11,29.426,106.544
selective,global-scan,0.450183,0.438473,0.803122,0.6876506805419922,10808,0.002609,0.000478,0.224812,0.168776,0.034847,0.021078,6.36,19.343,66.3515
