family,depth,resource,reverse,mode,sampled_hits
single,0,false,false,plain,0
single,0,false,false,exact,0
single,0,false,false,relevant,0
single,0,false,true,plain,0
single,0,false,true,exact,0
single,0,false,true,relevant,0
single,0,true,false,plain,0
single,0,true,false,exact,0
single,0,true,false,relevant,0
single,0,true,true,plain,0
single,0,true,true,exact,0
single,0,true,true,relevant,0
single,4,false,false,plain,0
single,4,false,false,exact,0
single,4,false,false,relevant,0
single,4,false,true,plain,0
single,4,false,true,exact,0
single,4,false,true,relevant,0
single,4,true,false,plain,0
single,4,true,false,exact,0
single,4,true,false,relevant,0
single,4,true,true,plain,0
single,4,true,true,exact,0
single,4,true,true,relevant,0
single,16,false,false,plain,0
single,16,false,false,exact,0
single,16,false,false,relevant,0
single,16,false,true,plain,0
single,16,false,true,exact,0
single,16,false,true,relevant,0
single,16,true,false,plain,0
single,16,true,false,exact,0
single,16,true,false,relevant,0
single,16,true,true,plain,0
single,16,true,true,exact,0
single,16,true,true,relevant,0
shared,0,false,false,plain,0
shared,0,false,false,exact,0
shared,0,false,false,relevant,2
shared,0,false,true,plain,0
shared,0,false,true,exact,0
shared,0,false,true,relevant,2
shared,0,true,false,plain,0
shared,0,true,false,exact,0
shared,0,true,false,relevant,3
shared,0,true,true,plain,0
shared,0,true,true,exact,0
shared,0,true,true,relevant,3
shared,4,false,false,plain,0
shared,4,false,false,exact,0
shared,4,false,false,relevant,14
shared,4,false,true,plain,0
shared,4,false,true,exact,0
shared,4,false,true,relevant,14
shared,4,true,false,plain,0
shared,4,true,false,exact,0
shared,4,true,false,relevant,14
shared,4,true,true,plain,0
shared,4,true,true,exact,0
shared,4,true,true,relevant,14
shared,16,false,false,plain,0
shared,16,false,false,exact,0
shared,16,false,false,relevant,50
shared,16,false,true,plain,0
shared,16,false,true,exact,0
shared,16,false,true,relevant,50
shared,16,true,false,plain,0
shared,16,true,false,exact,0
shared,16,true,false,relevant,50
shared,16,true,true,plain,0
shared,16,true,true,exact,0
shared,16,true,true,relevant,50
distinct,0,false,false,plain,0
distinct,0,false,false,exact,0
distinct,0,false,false,relevant,0
distinct,0,false,true,plain,0
distinct,0,false,true,exact,0
distinct,0,false,true,relevant,0
distinct,0,true,false,plain,0
distinct,0,true,false,exact,0
distinct,0,true,false,relevant,0
distinct,0,true,true,plain,0
distinct,0,true,true,exact,0
distinct,0,true,true,relevant,0
distinct,4,false,false,plain,0
distinct,4,false,false,exact,0
distinct,4,false,false,relevant,0
distinct,4,false,true,plain,0
distinct,4,false,true,exact,0
distinct,4,false,true,relevant,0
distinct,4,true,false,plain,0
distinct,4,true,false,exact,0
distinct,4,true,false,relevant,0
distinct,4,true,true,plain,0
distinct,4,true,true,exact,0
distinct,4,true,true,relevant,0
distinct,16,false,false,plain,0
distinct,16,false,false,exact,0
distinct,16,false,false,relevant,0
distinct,16,false,true,plain,0
distinct,16,false,true,exact,0
distinct,16,false,true,relevant,0
distinct,16,true,false,plain,0
distinct,16,true,false,exact,0
distinct,16,true,false,relevant,0
distinct,16,true,true,plain,0
distinct,16,true,true,exact,0
distinct,16,true,true,relevant,0
changed,0,false,false,plain,0
changed,0,false,false,exact,0
changed,0,false,false,relevant,2
changed,0,false,true,plain,0
changed,0,false,true,exact,0
changed,0,false,true,relevant,2
changed,0,true,false,plain,0
changed,0,true,false,exact,0
changed,0,true,false,relevant,3
changed,0,true,true,plain,0
changed,0,true,true,exact,0
changed,0,true,true,relevant,3
changed,4,false,false,plain,0
changed,4,false,false,exact,0
changed,4,false,false,relevant,14
changed,4,false,true,plain,0
changed,4,false,true,exact,0
changed,4,false,true,relevant,14
changed,4,true,false,plain,0
changed,4,true,false,exact,0
changed,4,true,false,relevant,14
changed,4,true,true,plain,0
changed,4,true,true,exact,0
changed,4,true,true,relevant,14
changed,16,false,false,plain,0
changed,16,false,false,exact,0
changed,16,false,false,relevant,50
changed,16,false,true,plain,0
changed,16,false,true,exact,0
changed,16,false,true,relevant,50
changed,16,true,false,plain,0
changed,16,true,false,exact,0
changed,16,true,false,relevant,50
changed,16,true,true,plain,0
changed,16,true,true,exact,0
changed,16,true,true,relevant,50
