kind	family	mode	repetitions	total_ns	preparation_ns	setup_ns	execution_ns	disposal_ns	first_ns_sum	raw	min_ns	max_ns	memory_exact_replay	requested_bytes	allocation_calls	peak_live
memory	binary	active-index	2	1294935.0	6600.5	154929.0	1071781.5	61624.0	818537.0	100.0	1263157	1326713	True	1644119	22032	214304
memory	binary	conditional	2	2650809.5	7076.5	25111.0	2539683.5	78938.5	1206988.5	100.0	2650494	2651125	True	2593377	21683	137139
memory	binary	global-index	2	2118292.5	6479.0	185073.0	1866703.5	60037.0	1626248.0	100.0	2110548	2126037	True	2328295	37216	243516
memory	binary	global-scan	2	1491604.0	7012.5	158170.5	1254081.5	72339.5	1030584.0	100.0	1488126	1495082	True	1565239	24792	191577
memory	binary	graph	2	5113201.0	1322.0	27295.0	5013967.0	70617.0	4996794.5	100.0	3695756	6530646	True	8304335	91163	109315
memory	binary	graph-original	2	3762014.0	1324.0	18194.5	3674843.5	67652.0	3666914.0	100.0	3752208	3771820	True	8462927	92579	109315
memory	binary	words	2	204144.0	1946.5	9919.0	132714.0	59564.5	14589.0	100.0	203174	205114	True	196879	5038	89073
memory	discriminate	conditional	2	44598069.5	54522.5	141812.0	44046855.5	354879.5	38965316.0	256.0	44381480	44814659	True	36647822	395272	314194
memory	discriminate	global-index	2	32766339.0	73157.5	438767.5	32190571.5	63842.5	30738870.5	256.0	32467562	33065116	True	18620880	606812	398261
memory	discriminate	global-scan	2	14786075.0	65032.5	307757.0	14351339.0	61946.5	13181055.0	256.0	14525515	15046635	True	11447424	261836	333776
memory	discriminate	graph	2	71862608.0	23344.0	84588.0	71627854.5	126821.5	61568196.5	256.0	69884528	73840688	True	128802912	1715125	147026
memory	discriminate	graph-original	2	101713514.5	21432.0	78922.5	101483180.5	129979.5	87851810.0	256.0	100779319	102647710	True	209668704	2437141	147026
memory	duplicate	active-index	2	2092451.0	6530.0	251619.5	1679964.5	154337.0	1206293.0	164.0	2065909	2118993	True	2536235	37332	378490
memory	duplicate	conditional	2	4579764.0	7341.0	28889.0	4391748.0	151786.0	1427123.5	164.0	4497993	4661535	True	3552753	30415	273060
memory	duplicate	global-index	2	3767393.0	6987.5	280255.0	3357192.5	122958.0	2827436.5	164.0	3761783	3773003	True	4134443	67924	467804
memory	duplicate	global-scan	2	2363478.5	6635.0	249561.5	1963014.5	144267.5	1501797.0	164.0	2349559	2377398	True	2444555	42588	330971
memory	duplicate	graph	2	7424159.0	1249.0	35696.0	7247072.0	140142.0	7238017.5	164.0	7361624	7486694	True	16453195	179483	216426
memory	duplicate	graph-original	2	7538463.0	1317.5	34869.5	7361089.5	141186.5	7351597.0	164.0	7439900	7637026	True	16776651	182371	216426
memory	duplicate	words	2	488580.5	31944.5	10358.5	319331.0	126946.5	16316.0	164.0	488489	488672	True	394263	10318	182669
memory	nested	active-index	2	1554953.5	7033.0	167340.5	1311363.0	69217.0	870329.5	136.0	1551634	1558273	True	2237645	27170	332151
memory	nested	conditional	2	3066622.5	6125.5	22290.0	2949812.0	88395.0	1139995.5	136.0	3048533	3084712	True	2526722	22168	168169
memory	nested	global-index	2	2572473.0	6844.5	179984.5	2316466.5	69177.5	1899359.0	136.0	2555279	2589667	True	3020689	44526	376272
