   Compiling chr-direct-choice v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-direct-choice)
   Compiling chr-direct-conditional v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-direct-conditional)
    Finished `test` profile [unoptimized + debuginfo] target(s) in 0.97s
     Running tests/demand_work.rs (target/debug/deps/demand_work-de9f86494fc52939)

running 1 test
WORK_HEADER,family,bits,depth,work_first,resource,answers,graph_boxes,demand_boxes,demand_work_results
WORK,plain,0,0,false,false,1,0,0,1
WORK,plain,0,0,false,true,1,0,0,1
WORK,plain,0,0,true,false,1,0,0,1
WORK,plain,0,0,true,true,1,0,0,1
WORK,plain,0,1,false,false,1,1,1,2
WORK,plain,0,1,false,true,1,1,1,2
WORK,plain,0,1,true,false,1,1,1,2
WORK,plain,0,1,true,true,1,1,1,2
WORK,plain,0,8,false,false,1,8,8,9
WORK,plain,0,8,false,true,1,8,8,9
WORK,plain,0,8,true,false,1,8,8,9
WORK,plain,0,8,true,true,1,8,8,9
WORK,plain,0,32,false,false,1,32,32,33
WORK,plain,0,32,false,true,1,32,32,33
WORK,plain,0,32,true,false,1,32,32,33
WORK,plain,0,32,true,true,1,32,32,33
WORK,opaque,1,0,false,false,2,0,0,1
WORK,opaque,1,0,false,true,2,0,0,1
WORK,opaque,1,0,true,false,2,0,0,1
WORK,opaque,1,0,true,true,2,0,0,1
WORK,opaque,1,1,false,false,2,1,1,2
WORK,opaque,1,1,false,true,2,1,1,2
WORK,opaque,1,1,true,false,2,1,1,2
WORK,opaque,1,1,true,true,2,1,1,2
WORK,opaque,1,8,false,false,2,8,8,9
WORK,opaque,1,8,false,true,2,8,8,9
WORK,opaque,1,8,true,false,2,8,8,9
WORK,opaque,1,8,true,true,2,8,8,9
WORK,opaque,1,32,false,false,2,32,32,33
WORK,opaque,1,32,false,true,2,32,32,33
WORK,opaque,1,32,true,false,2,32,32,33
WORK,opaque,1,32,true,true,2,32,32,33
WORK,opaque,3,0,false,false,8,0,0,1
WORK,opaque,3,0,false,true,8,0,0,1
WORK,opaque,3,0,true,false,8,0,0,1
WORK,opaque,3,0,true,true,8,0,0,1
WORK,opaque,3,1,false,false,8,1,1,2
WORK,opaque,3,1,false,true,8,1,1,2
WORK,opaque,3,1,true,false,8,1,1,2
WORK,opaque,3,1,true,true,8,1,1,2
WORK,opaque,3,8,false,false,8,8,8,9
WORK,opaque,3,8,false,true,8,8,8,9
WORK,opaque,3,8,true,false,8,8,8,9
WORK,opaque,3,8,true,true,8,8,8,9
WORK,opaque,3,32,false,false,8,32,32,33
WORK,opaque,3,32,false,true,8,32,32,33
WORK,opaque,3,32,true,false,8,32,32,33
WORK,opaque,3,32,true,true,8,32,32,33
WORK,discriminate,1,0,false,false,2,0,0,2
WORK,discriminate,1,0,false,true,2,0,0,2
WORK,discriminate,1,0,true,false,2,0,0,2
WORK,discriminate,1,0,true,true,2,0,0,2
WORK,discriminate,1,1,false,false,2,2,2,4
WORK,discriminate,1,1,false,true,2,2,2,4
WORK,discriminate,1,1,true,false,2,2,2,4
WORK,discriminate,1,1,true,true,2,2,2,4
WORK,discriminate,1,8,false,false,2,16,16,18
WORK,discriminate,1,8,false,true,2,16,16,18
WORK,discriminate,1,8,true,false,2,16,16,18
WORK,discriminate,1,8,true,true,2,16,16,18
WORK,discriminate,1,32,false,false,2,64,64,66
WORK,discriminate,1,32,false,true,2,64,64,66
WORK,discriminate,1,32,true,false,2,64,64,66
WORK,discriminate,1,32,true,true,2,64,64,66
WORK,discriminate,3,0,false,false,8,0,0,8
WORK,discriminate,3,0,false,true,8,0,0,8
WORK,discriminate,3,0,true,false,8,0,0,8
WORK,discriminate,3,0,true,true,8,0,0,8
WORK,discriminate,3,1,false,false,8,8,8,16
WORK,discriminate,3,1,false,true,8,8,8,16
WORK,discriminate,3,1,true,false,8,8,8,16
WORK,discriminate,3,1,true,true,8,8,8,16
WORK,discriminate,3,8,false,false,8,64,64,72
WORK,discriminate,3,8,false,true,8,64,64,72
WORK,discriminate,3,8,true,false,8,64,64,72
WORK,discriminate,3,8,true,true,8,64,64,72
WORK,discriminate,3,32,false,false,8,256,256,264
WORK,discriminate,3,32,false,true,8,256,256,264
WORK,discriminate,3,32,true,false,8,256,256,264
WORK,discriminate,3,32,true,true,8,256,256,264
test registered_work_attribution ... ok

test result: ok. 1 passed; 0 failed; 0 ignored; 0 measured; 0 filtered out; finished in 0.48s

