
running 1 test
test dependency_validation_work ... DEPENDENCY_HEADER,kind,size,reverse,reuse,query,answers,ticks,force,match,validation_passes,validation_entries
DEPENDENCY,plain,8,false,CurrentContext,a,1,11,47,9,19,29
DEPENDENCY,plain,8,false,StaticBirth,a,1,11,47,9,19,29
DEPENDENCY,plain,8,false,MatchDependencies,a,1,11,47,9,19,29
DEPENDENCY,plain,8,false,CurrentContext,b,1,11,47,9,19,29
DEPENDENCY,plain,8,false,StaticBirth,b,1,11,47,9,19,29
DEPENDENCY,plain,8,false,MatchDependencies,b,1,11,47,9,19,29
DEPENDENCY,known-hit,8,false,CurrentContext,a,1,11,79,33,19,29
DEPENDENCY,known-hit,8,false,StaticBirth,a,1,11,79,33,19,29
DEPENDENCY,known-hit,8,false,MatchDependencies,a,1,11,79,33,19,29
DEPENDENCY,known-hit,8,false,CurrentContext,b,1,11,79,33,19,29
DEPENDENCY,known-hit,8,false,StaticBirth,b,1,11,79,33,19,29
DEPENDENCY,known-hit,8,false,MatchDependencies,b,1,11,79,33,19,29
DEPENDENCY,known-miss,8,false,CurrentContext,a,1,3,539,287,20,21
DEPENDENCY,known-miss,8,false,StaticBirth,a,1,3,539,287,20,21
DEPENDENCY,known-miss,8,false,MatchDependencies,a,1,3,539,287,20,21
DEPENDENCY,known-miss,8,false,CurrentContext,b,1,3,539,287,20,21
DEPENDENCY,known-miss,8,false,StaticBirth,b,1,3,539,287,20,21
DEPENDENCY,known-miss,8,false,MatchDependencies,b,1,3,539,287,20,21
DEPENDENCY,delayed-hit,8,false,CurrentContext,a,1,11,437,239,23,37
DEPENDENCY,delayed-hit,8,false,StaticBirth,a,1,11,437,239,23,37
DEPENDENCY,delayed-hit,8,false,MatchDependencies,a,1,11,437,239,23,37
DEPENDENCY,delayed-hit,8,false,CurrentContext,b,1,11,437,239,23,37
DEPENDENCY,delayed-hit,8,false,StaticBirth,b,1,11,437,239,23,37
DEPENDENCY,delayed-hit,8,false,MatchDependencies,b,1,11,437,239,23,37
DEPENDENCY,delayed-miss,8,false,CurrentContext,a,1,3,2224,1238,11,12
DEPENDENCY,delayed-miss,8,false,StaticBirth,a,1,3,2224,1238,11,12
DEPENDENCY,delayed-miss,8,false,MatchDependencies,a,1,3,2224,1238,11,12
DEPENDENCY,delayed-miss,8,false,CurrentContext,b,1,3,2224,1238,11,12
DEPENDENCY,delayed-miss,8,false,StaticBirth,b,1,3,2224,1238,11,12
DEPENDENCY,delayed-miss,8,false,MatchDependencies,b,1,3,2224,1238,11,12
DEPENDENCY,plain,8,true,CurrentContext,a,1,11,47,9,19,29
DEPENDENCY,plain,8,true,StaticBirth,a,1,11,47,9,19,29
DEPENDENCY,plain,8,true,MatchDependencies,a,1,11,47,9,19,29
DEPENDENCY,plain,8,true,CurrentContext,b,1,11,47,9,19,29
DEPENDENCY,plain,8,true,StaticBirth,b,1,11,47,9,19,29
DEPENDENCY,plain,8,true,MatchDependencies,b,1,11,47,9,19,29
DEPENDENCY,known-hit,8,true,CurrentContext,a,1,11,79,33,19,29
DEPENDENCY,known-hit,8,true,StaticBirth,a,1,11,79,33,19,29
DEPENDENCY,known-hit,8,true,MatchDependencies,a,1,11,79,33,19,29
DEPENDENCY,known-hit,8,true,CurrentContext,b,1,11,79,33,19,29
DEPENDENCY,known-hit,8,true,StaticBirth,b,1,11,79,33,19,29
DEPENDENCY,known-hit,8,true,MatchDependencies,b,1,11,79,33,19,29
DEPENDENCY,known-miss,8,true,CurrentContext,a,1,3,368,188,11,12
DEPENDENCY,known-miss,8,true,StaticBirth,a,1,3,368,188,11,12
DEPENDENCY,known-miss,8,true,MatchDependencies,a,1,3,368,188,11,12
DEPENDENCY,known-miss,8,true,CurrentContext,b,1,3,368,188,11,12
DEPENDENCY,known-miss,8,true,StaticBirth,b,1,3,368,188,11,12
DEPENDENCY,known-miss,8,true,MatchDependencies,b,1,3,368,188,11,12
DEPENDENCY,delayed-hit,8,true,CurrentContext,a,1,11,87,33,19,29
DEPENDENCY,delayed-hit,8,true,StaticBirth,a,1,11,87,33,19,29
DEPENDENCY,delayed-hit,8,true,MatchDependencies,a,1,11,87,33,19,29
DEPENDENCY,delayed-hit,8,true,CurrentContext,b,1,11,87,33,19,29
DEPENDENCY,delayed-hit,8,true,StaticBirth,b,1,11,87,33,19,29
DEPENDENCY,delayed-hit,8,true,MatchDependencies,b,1,11,87,33,19,29
DEPENDENCY,delayed-miss,8,true,CurrentContext,a,1,3,1905,1112,11,12
DEPENDENCY,delayed-miss,8,true,StaticBirth,a,1,3,1905,1112,11,12
DEPENDENCY,delayed-miss,8,true,MatchDependencies,a,1,3,1905,1112,11,12
DEPENDENCY,delayed-miss,8,true,CurrentContext,b,1,3,1905,1112,11,12
DEPENDENCY,delayed-miss,8,true,StaticBirth,b,1,3,1905,1112,11,12
