kind	family	mode	repetitions	total_ns	preparation_ns	setup_ns	execution_ns	disposal_ns	first_ns_sum	raw	min_ns	max_ns	memory_exact_replay	requested_bytes	allocation_calls	peak_live
memory	binary	active-index	2	1479535.5	7754.0	173679.5	1230005.0	68097.0	932247.0	100.0	1378271	1580800	True	1644119	22032	214304
memory	binary	conditional	2	3171258.0	8291.5	29753.0	3036444.0	96769.5	1456754.5	100.0	3151752	3190764	True	2593377	21683	137139
memory	binary	global-index	2	2453222.0	8212.0	209672.0	2168168.5	67169.5	1888381.0	100.0	2342736	2563708	True	2328295	37216	243516
memory	binary	global-scan	2	1684083.5	7496.0	188650.0	1395136.5	92801.0	1127914.0	100.0	1564322	1803845	True	1565239	24792	191577
memory	binary	graph	2	5008524.0	2128.0	26958.0	4886502.5	92935.5	4875425.0	100.0	4735437	5281611	True	8462927	92579	109315
memory	binary	words	2	275412.5	2377.0	11643.5	190294.0	71098.0	34833.0	100.0	242896	307929	True	196879	5038	89073
memory	discriminate	conditional	2	55666141.5	59954.0	178313.5	54980607.0	447267.0	48073867.5	256.0	55276261	56056022	True	36647822	395272	314194
memory	discriminate	global-index	2	40275019.5	88008.5	571982.0	39537134.0	77895.0	37766570.0	256.0	39535078	41014961	True	18620880	606812	398261
memory	discriminate	global-scan	2	18394223.5	76744.0	401351.5	17838447.5	77680.5	16331676.5	256.0	17675666	19112781	True	11447424	261836	333776
memory	discriminate	graph	2	127534180.5	26367.0	114775.0	127196750.5	196288.0	109908676.5	256.0	123999723	131068638	True	209668704	2437141	147026
memory	duplicate	active-index	2	2949380.5	10191.0	349601.5	2382766.0	206822.0	1697169.0	164.0	2801088	3097673	True	2536235	37332	378490
memory	duplicate	conditional	2	4783844.0	18596.0	31291.0	4579606.0	154351.0	1501039.5	164.0	4668918	4898770	True	3552753	30415	273060
memory	duplicate	global-index	2	4697684.5	10100.0	351303.5	4187602.5	148678.5	3540373.0	164.0	4518059	4877310	True	4134443	67924	467804
memory	duplicate	global-scan	2	3548685.5	10074.0	444845.0	2879717.5	214049.0	2257753.5	164.0	3160755	3936616	True	2444555	42588	330971
memory	duplicate	graph	2	9052297.5	1546.0	45579.5	8834771.5	170400.5	8822959.0	164.0	8314853	9789742	True	16776651	182371	216426
memory	duplicate	words	2	587495.0	35815.0	12304.0	376626.0	162750.0	19534.0	164.0	554137	620853	True	394263	10318	182669
memory	nested	active-index	2	1780508.5	8474.5	191400.0	1498554.5	82079.5	981532.0	136.0	1662867	1898150	True	2237645	27170	332151
memory	nested	conditional	2	3631267.5	7164.0	25109.5	3494754.5	104239.5	1306353.5	136.0	3608996	3653539	True	2526722	22168	168169
memory	nested	global-index	2	3173449.0	8512.0	221739.5	2852643.0	90554.5	2365456.0	136.0	3109571	3237327	True	3020689	44526	376272
memory	nested	global-scan	2	2039946.5	9778.5	179969.0	1769497.0	80702.0	1363133.5	136.0	1798149	2281744	True	2135629	30842	298375
memory	nested	graph	2	5954515.0	1784.0	24584.5	5826314.0	101832.5	5813953.5	136.0	5724087	6184943	True	10603244	109616	134069
memory	nested	words	2	374087.5	27942.0	10066.0	255415.5	80664.0	12048.0	136.0	365580	382595	True	244204	5851	109655
memory	plain	conditional	2	2127833.0	4318.5	90043.5	1986483.5	46987.5	1983889.0	16.0	1570502	2685164	True	1733496	16149	39873
memory	plain	global-index	2	538300.5	4448.5	105393.0	422902.5	5556.5	421771.5	16.0	513598	563003	True	533964	8298	32790
memory	plain	global-scan	2	379418.0	4553.0	105473.0	261848.0	7544.0	260597.0	16.0	371392	387444	True	300668	5486	30895
memory	plain	graph	2	680664.5	871.5	48145.0	614648.0	17000.0	608021.0	16.0	673546	687783	True	1133038	13949	24748
memory	shared	conditional	2	4483882.0	12557.5	123744.0	4250020.5	97560.0	2272416.5	256.0	4218806	4748958	True	3986296	36845	96330
memory	shared	global-index	2	9798660.0	5015.0	416962.5	9305806.5	70876.0	8724545.0	256.0	9659573	9937747	True	9406184	147762	332873
memory	shared	global-scan	2	5675379.0	4580.5	352026.5	5244728.0	74044.0	4705794.0	256.0	5640937	5709821	True	4486640	89278	264172
memory	shared	graph	2	4087426.0	1247.0	102432.0	3892858.5	90888.5	3878208.0	256.0	4061996	4112856	True	7347022	74425	80497
time	binary	active-index	5	1071243	5773	159007	833101	36104	658261	100	956297	1209520	NA	NA	NA	NA
