family,consumers,independent,depth,reverse,pull,answers,ticks,nodes,calls,choices,births,results,obligations,lifts,expansions,force_entries,match_entries,lift_walk_entries,dependency_entries
direct,1,false,0,false,false,2,7,11,2,1,1,3,2,0,3,45,4,0,6
direct,1,false,0,false,true,2,7,14,4,2,1,4,4,1,3,59,4,2,2
direct,1,false,0,true,false,2,7,11,2,1,1,3,2,0,3,39,4,0,8
direct,1,false,0,true,true,2,7,11,2,1,1,3,2,0,3,39,4,0,8
direct,1,false,8,false,false,2,15,35,10,1,1,11,10,0,11,329,12,0,22
direct,1,false,8,false,true,2,15,38,12,2,1,12,12,1,11,315,12,10,2
direct,1,false,8,true,false,2,15,35,10,1,1,11,10,0,11,335,12,0,40
direct,1,false,8,true,true,2,15,35,10,1,1,11,10,0,11,335,12,0,40
direct,1,false,32,false,false,2,39,107,34,1,1,35,34,0,35,2705,36,0,70
direct,1,false,32,false,true,2,39,110,36,2,1,36,36,1,35,2619,36,34,2
direct,1,false,32,true,false,2,39,107,34,1,1,35,34,0,35,2759,36,0,136
direct,1,false,32,true,true,2,39,107,34,1,1,35,34,0,35,2759,36,0,136
direct,1,true,0,false,false,2,7,11,2,1,1,3,2,0,3,45,4,0,6
direct,1,true,0,false,true,2,7,14,4,2,1,4,4,1,3,59,4,2,2
direct,1,true,0,true,false,2,7,11,2,1,1,3,2,0,3,39,4,0,8
direct,1,true,0,true,true,2,7,11,2,1,1,3,2,0,3,39,4,0,8
direct,1,true,8,false,false,2,15,35,10,1,1,11,10,0,11,329,12,0,22
direct,1,true,8,false,true,2,15,38,12,2,1,12,12,1,11,315,12,10,2
direct,1,true,8,true,false,2,15,35,10,1,1,11,10,0,11,335,12,0,40
direct,1,true,8,true,true,2,15,35,10,1,1,11,10,0,11,335,12,0,40
direct,1,true,32,false,false,2,39,107,34,1,1,35,34,0,35,2705,36,0,70
direct,1,true,32,false,true,2,39,110,36,2,1,36,36,1,35,2619,36,34,2
direct,1,true,32,true,false,2,39,107,34,1,1,35,34,0,35,2759,36,0,136
direct,1,true,32,true,true,2,39,107,34,1,1,35,34,0,35,2759,36,0,136
direct,4,false,0,false,false,2,13,26,5,1,1,9,5,0,9,102,13,0,24
direct,4,false,0,false,true,2,13,29,7,2,1,10,7,1,9,116,13,2,20
direct,4,false,0,true,false,2,13,26,5,1,1,9,5,0,9,119,14,0,32
direct,4,false,0,true,true,2,13,29,7,2,1,10,7,1,9,130,14,3,26
direct,4,false,8,false,false,2,21,50,13,1,1,17,13,0,17,458,21,0,88
direct,4,false,8,false,true,2,21,53,15,2,1,18,15,1,17,444,21,10,68
direct,4,false,8,true,false,2,21,50,13,1,1,17,13,0,17,617,24,0,160
direct,4,false,8,true,true,2,21,50,13,1,1,17,13,0,17,617,24,0,160
direct,4,false,32,false,false,2,45,122,37,1,1,41,37,0,41,3050,45,0,280
direct,4,false,32,false,true,2,45,125,39,2,1,42,39,1,41,2964,45,34,212
direct,4,false,32,true,false,2,45,122,37,1,1,41,37,0,41,3521,48,0,544
direct,4,false,32,true,true,2,45,122,37,1,1,41,37,0,41,3521,48,0,544
direct,4,true,0,false,false,16,44,44,8,4,4,12,8,0,12,733,27,0,24
direct,4,true,0,false,true,16,66,111,38,19,4,49,38,15,34,1786,60,30,30
direct,4,true,0,true,false,16,44,44,8,4,4,12,8,0,12,614,16,0,32
direct,4,true,0,true,true,16,44,44,8,4,4,12,8,0,12,614,16,0,32
direct,4,true,8,false,false,16,76,140,40,4,4,44,40,0,44,6749,59,0,88
direct,4,true,8,false,true,16,98,207,70,19,4,81,70,15,66,13024,92,150,30
direct,4,true,8,true,false,16,109,195,40,15,15,77,40,0,77,9236,112,0,600
direct,4,true,8,true,true,16,109,219,56,23,15,85,56,8,77,8908,112,152,296
direct,4,true,32,false,false,16,172,428,136,4,4,140,136,0,140,61637,155,0,280
direct,4,true,32,false,true,16,194,495,166,19,4,177,166,15,162,117256,188,510,30
direct,4,true,32,true,false,16,205,483,136,15,15,173,136,0,173,86955,263,0,2040
direct,4,true,32,true,true,16,205,519,160,27,15,185,160,12,173,84909,263,804,432
opaque,1,false,0,false,false,2,6,9,2,1,1,2,2,0,2,34,1,0,0
opaque,1,false,0,false,true,2,6,9,2,1,1,2,2,0,2,34,1,0,0
opaque,1,false,0,true,false,2,6,9,2,1,1,2,2,0,2,38,1,0,0
opaque,1,false,0,true,true,2,6,9,2,1,1,2,2,0,2,38,1,0,0
opaque,1,false,8,false,false,2,14,33,10,1,1,10,10,0,10,194,9,0,0
opaque,1,false,8,false,true,2,14,33,10,1,1,10,10,0,10,194,9,0,0
opaque,1,false,8,true,false,2,14,33,10,1,1,10,10,0,10,350,9,0,0
opaque,1,false,8,true,true,2,14,33,10,1,1,10,10,0,10,350,9,0,0
opaque,1,false,32,false,false,2,38,105,34,1,1,34,34,0,34,1442,33,0,0
opaque,1,false,32,false,true,2,38,105,34,1,1,34,34,0,34,1442,33,0,0
opaque,1,false,32,true,false,2,38,105,34,1,1,34,34,0,34,2822,33,0,0
opaque,1,false,32,true,true,2,38,105,34,1,1,34,34,0,34,2822,33,0,0
