kind,size,reverse,reuse,query,lookups,hits,inserts
plain,8,false,CurrentContext,a,0,0,0
plain,8,false,StaticBirth,a,0,0,0
plain,8,false,MatchDependencies,a,0,0,0
plain,8,false,CurrentContext,b,0,0,0
plain,8,false,StaticBirth,b,0,0,0
plain,8,false,MatchDependencies,b,0,0,0
known-hit,8,false,CurrentContext,a,0,0,0
known-hit,8,false,StaticBirth,a,0,0,0
known-hit,8,false,MatchDependencies,a,0,0,0
known-hit,8,false,CurrentContext,b,0,0,0
known-hit,8,false,StaticBirth,b,0,0,0
known-hit,8,false,MatchDependencies,b,0,0,0
known-miss,8,false,CurrentContext,a,0,0,0
known-miss,8,false,StaticBirth,a,0,0,0
known-miss,8,false,MatchDependencies,a,0,0,0
known-miss,8,false,CurrentContext,b,0,0,0
known-miss,8,false,StaticBirth,b,0,0,0
known-miss,8,false,MatchDependencies,b,0,0,0
delayed-hit,8,false,CurrentContext,a,0,0,0
delayed-hit,8,false,StaticBirth,a,0,0,0
delayed-hit,8,false,MatchDependencies,a,0,0,0
delayed-hit,8,false,CurrentContext,b,0,0,0
delayed-hit,8,false,StaticBirth,b,0,0,0
delayed-hit,8,false,MatchDependencies,b,0,0,0
delayed-miss,8,false,CurrentContext,a,0,0,0
delayed-miss,8,false,StaticBirth,a,0,0,0
delayed-miss,8,false,MatchDependencies,a,0,0,0
delayed-miss,8,false,CurrentContext,b,0,0,0
delayed-miss,8,false,StaticBirth,b,0,0,0
delayed-miss,8,false,MatchDependencies,b,0,0,0
plain,8,true,CurrentContext,a,0,0,0
plain,8,true,StaticBirth,a,0,0,0
plain,8,true,MatchDependencies,a,0,0,0
plain,8,true,CurrentContext,b,0,0,0
plain,8,true,StaticBirth,b,0,0,0
plain,8,true,MatchDependencies,b,0,0,0
known-hit,8,true,CurrentContext,a,0,0,0
known-hit,8,true,StaticBirth,a,0,0,0
known-hit,8,true,MatchDependencies,a,0,0,0
known-hit,8,true,CurrentContext,b,0,0,0
known-hit,8,true,StaticBirth,b,0,0,0
known-hit,8,true,MatchDependencies,b,0,0,0
known-miss,8,true,CurrentContext,a,0,0,0
known-miss,8,true,StaticBirth,a,0,0,0
known-miss,8,true,MatchDependencies,a,0,0,0
known-miss,8,true,CurrentContext,b,0,0,0
known-miss,8,true,StaticBirth,b,0,0,0
known-miss,8,true,MatchDependencies,b,0,0,0
delayed-hit,8,true,CurrentContext,a,0,0,0
delayed-hit,8,true,StaticBirth,a,0,0,0
delayed-hit,8,true,MatchDependencies,a,0,0,0
delayed-hit,8,true,CurrentContext,b,0,0,0
delayed-hit,8,true,StaticBirth,b,0,0,0
delayed-hit,8,true,MatchDependencies,b,0,0,0
delayed-miss,8,true,CurrentContext,a,0,0,0
delayed-miss,8,true,StaticBirth,a,0,0,0
delayed-miss,8,true,MatchDependencies,a,0,0,0
delayed-miss,8,true,CurrentContext,b,0,0,0
delayed-miss,8,true,StaticBirth,b,0,0,0
delayed-miss,8,true,MatchDependencies,b,0,0,0
plain,32,false,CurrentContext,a,0,0,0
plain,32,false,StaticBirth,a,0,0,0
plain,32,false,MatchDependencies,a,0,0,0
plain,32,false,CurrentContext,b,0,0,0
plain,32,false,StaticBirth,b,0,0,0
plain,32,false,MatchDependencies,b,0,0,0
known-hit,32,false,CurrentContext,a,0,0,0
known-hit,32,false,StaticBirth,a,0,0,0
known-hit,32,false,MatchDependencies,a,0,0,0
known-hit,32,false,CurrentContext,b,0,0,0
known-hit,32,false,StaticBirth,b,0,0,0
known-hit,32,false,MatchDependencies,b,0,0,0
known-miss,32,false,CurrentContext,a,0,0,0
known-miss,32,false,StaticBirth,a,0,0,0
known-miss,32,false,MatchDependencies,a,0,0,0
known-miss,32,false,CurrentContext,b,0,0,0
known-miss,32,false,StaticBirth,b,0,0,0
