kind,size,reverse,reuse,query,lookups,hits,inserts
plain,8,false,CurrentContext,a,28,0,0
plain,8,false,StaticBirth,a,28,0,0
plain,8,false,MatchDependencies,a,28,0,0
plain,8,false,CurrentContext,b,28,0,0
plain,8,false,StaticBirth,b,28,0,0
plain,8,false,MatchDependencies,b,28,0,0
known-hit,8,false,CurrentContext,a,28,0,0
known-hit,8,false,StaticBirth,a,28,0,0
known-hit,8,false,MatchDependencies,a,28,0,0
known-hit,8,false,CurrentContext,b,28,0,0
known-hit,8,false,StaticBirth,b,28,0,0
known-hit,8,false,MatchDependencies,b,28,0,0
known-miss,8,false,CurrentContext,a,29,10,16
known-miss,8,false,StaticBirth,a,29,10,16
known-miss,8,false,MatchDependencies,a,29,10,16
known-miss,8,false,CurrentContext,b,29,10,16
known-miss,8,false,StaticBirth,b,29,10,16
known-miss,8,false,MatchDependencies,b,29,10,16
delayed-hit,8,false,CurrentContext,a,66,0,0
delayed-hit,8,false,StaticBirth,a,66,0,0
delayed-hit,8,false,MatchDependencies,a,66,0,0
delayed-hit,8,false,CurrentContext,b,66,0,0
delayed-hit,8,false,StaticBirth,b,66,0,0
delayed-hit,8,false,MatchDependencies,b,66,0,0
delayed-miss,8,false,CurrentContext,a,44,23,8
delayed-miss,8,false,StaticBirth,a,44,23,8
delayed-miss,8,false,MatchDependencies,a,44,23,8
delayed-miss,8,false,CurrentContext,b,44,23,8
delayed-miss,8,false,StaticBirth,b,44,23,8
delayed-miss,8,false,MatchDependencies,b,44,23,8
plain,8,true,CurrentContext,a,28,0,0
plain,8,true,StaticBirth,a,28,0,0
plain,8,true,MatchDependencies,a,28,0,0
plain,8,true,CurrentContext,b,28,0,0
plain,8,true,StaticBirth,b,28,0,0
plain,8,true,MatchDependencies,b,28,0,0
known-hit,8,true,CurrentContext,a,28,0,0
known-hit,8,true,StaticBirth,a,28,0,0
known-hit,8,true,MatchDependencies,a,28,0,0
known-hit,8,true,CurrentContext,b,28,0,0
known-hit,8,true,StaticBirth,b,28,0,0
known-hit,8,true,MatchDependencies,b,28,0,0
known-miss,8,true,CurrentContext,a,20,9,8
known-miss,8,true,StaticBirth,a,20,9,8
known-miss,8,true,MatchDependencies,a,20,9,8
known-miss,8,true,CurrentContext,b,20,9,8
known-miss,8,true,StaticBirth,b,20,9,8
known-miss,8,true,MatchDependencies,b,20,9,8
delayed-hit,8,true,CurrentContext,a,36,0,0
delayed-hit,8,true,StaticBirth,a,36,0,0
delayed-hit,8,true,MatchDependencies,a,36,0,0
delayed-hit,8,true,CurrentContext,b,36,0,0
delayed-hit,8,true,StaticBirth,b,36,0,0
delayed-hit,8,true,MatchDependencies,b,36,0,0
delayed-miss,8,true,CurrentContext,a,36,23,8
delayed-miss,8,true,StaticBirth,a,36,23,8
delayed-miss,8,true,MatchDependencies,a,36,23,8
delayed-miss,8,true,CurrentContext,b,36,23,8
delayed-miss,8,true,StaticBirth,b,36,23,8
delayed-miss,8,true,MatchDependencies,b,36,23,8
plain,32,false,CurrentContext,a,100,0,0
plain,32,false,StaticBirth,a,100,0,0
plain,32,false,MatchDependencies,a,100,0,0
plain,32,false,CurrentContext,b,100,0,0
plain,32,false,StaticBirth,b,100,0,0
plain,32,false,MatchDependencies,b,100,0,0
known-hit,32,false,CurrentContext,a,100,0,0
known-hit,32,false,StaticBirth,a,100,0,0
known-hit,32,false,MatchDependencies,a,100,0,0
known-hit,32,false,CurrentContext,b,100,0,0
known-hit,32,false,StaticBirth,b,100,0,0
known-hit,32,false,MatchDependencies,b,100,0,0
known-miss,32,false,CurrentContext,a,101,34,64
known-miss,32,false,StaticBirth,a,101,34,64
known-miss,32,false,MatchDependencies,a,101,34,64
known-miss,32,false,CurrentContext,b,101,34,64
known-miss,32,false,StaticBirth,b,101,34,64
known-miss,32,false,MatchDependencies,b,101,34,64
delayed-hit,32,false,CurrentContext,a,540,0,0
delayed-hit,32,false,StaticBirth,a,540,0,0
delayed-hit,32,false,MatchDependencies,a,540,0,0
delayed-hit,32,false,CurrentContext,b,540,0,0
delayed-hit,32,false,StaticBirth,b,540,0,0
delayed-hit,32,false,MatchDependencies,b,540,0,0
delayed-miss,32,false,CurrentContext,a,164,95,32
delayed-miss,32,false,StaticBirth,a,164,95,32
delayed-miss,32,false,MatchDependencies,a,164,95,32
delayed-miss,32,false,CurrentContext,b,164,95,32
delayed-miss,32,false,StaticBirth,b,164,95,32
delayed-miss,32,false,MatchDependencies,b,164,95,32
plain,32,true,CurrentContext,a,100,0,0
plain,32,true,StaticBirth,a,100,0,0
plain,32,true,MatchDependencies,a,100,0,0
plain,32,true,CurrentContext,b,100,0,0
plain,32,true,StaticBirth,b,100,0,0
plain,32,true,MatchDependencies,b,100,0,0
known-hit,32,true,CurrentContext,a,100,0,0
known-hit,32,true,StaticBirth,a,100,0,0
known-hit,32,true,MatchDependencies,a,100,0,0
known-hit,32,true,CurrentContext,b,100,0,0
known-hit,32,true,StaticBirth,b,100,0,0
known-hit,32,true,MatchDependencies,b,100,0,0
known-miss,32,true,CurrentContext,a,68,33,32
known-miss,32,true,StaticBirth,a,68,33,32
known-miss,32,true,MatchDependencies,a,68,33,32
known-miss,32,true,CurrentContext,b,68,33,32
known-miss,32,true,StaticBirth,b,68,33,32
known-miss,32,true,MatchDependencies,b,68,33,32
delayed-hit,32,true,CurrentContext,a,132,0,0
delayed-hit,32,true,StaticBirth,a,132,0,0
delayed-hit,32,true,MatchDependencies,a,132,0,0
delayed-hit,32,true,CurrentContext,b,132,0,0
delayed-hit,32,true,StaticBirth,b,132,0,0
delayed-hit,32,true,MatchDependencies,b,132,0,0
delayed-miss,32,true,CurrentContext,a,132,95,32
delayed-miss,32,true,StaticBirth,a,132,95,32
delayed-miss,32,true,MatchDependencies,a,132,95,32
delayed-miss,32,true,CurrentContext,b,132,95,32
delayed-miss,32,true,StaticBirth,b,132,95,32
delayed-miss,32,true,MatchDependencies,b,132,95,32
plain,128,false,CurrentContext,a,388,0,0
plain,128,false,StaticBirth,a,388,0,0
plain,128,false,MatchDependencies,a,388,0,0
plain,128,false,CurrentContext,b,388,0,0
plain,128,false,StaticBirth,b,388,0,0
plain,128,false,MatchDependencies,b,388,0,0
known-hit,128,false,CurrentContext,a,388,0,0
known-hit,128,false,StaticBirth,a,388,0,0
known-hit,128,false,MatchDependencies,a,388,0,0
known-hit,128,false,CurrentContext,b,388,0,0
known-hit,128,false,StaticBirth,b,388,0,0
known-hit,128,false,MatchDependencies,b,388,0,0
known-miss,128,false,CurrentContext,a,389,130,256
known-miss,128,false,StaticBirth,a,389,130,256
known-miss,128,false,MatchDependencies,a,389,130,256
known-miss,128,false,CurrentContext,b,389,130,256
known-miss,128,false,StaticBirth,b,389,130,256
known-miss,128,false,MatchDependencies,b,389,130,256
delayed-hit,128,false,CurrentContext,a,6756,0,0
delayed-hit,128,false,StaticBirth,a,6756,0,0
delayed-hit,128,false,MatchDependencies,a,6756,0,0
delayed-hit,128,false,CurrentContext,b,6756,0,0
delayed-hit,128,false,StaticBirth,b,6756,0,0
delayed-hit,128,false,MatchDependencies,b,6756,0,0
delayed-miss,128,false,CurrentContext,a,644,383,128
delayed-miss,128,false,StaticBirth,a,644,383,128
delayed-miss,128,false,MatchDependencies,a,644,383,128
delayed-miss,128,false,CurrentContext,b,644,383,128
delayed-miss,128,false,StaticBirth,b,644,383,128
delayed-miss,128,false,MatchDependencies,b,644,383,128
plain,128,true,CurrentContext,a,388,0,0
plain,128,true,StaticBirth,a,388,0,0
plain,128,true,MatchDependencies,a,388,0,0
plain,128,true,CurrentContext,b,388,0,0
plain,128,true,StaticBirth,b,388,0,0
plain,128,true,MatchDependencies,b,388,0,0
known-hit,128,true,CurrentContext,a,388,0,0
known-hit,128,true,StaticBirth,a,388,0,0
known-hit,128,true,MatchDependencies,a,388,0,0
