kind,size,reverse,reuse,query,answers,ticks,force,match,validation_passes,validation_entries
plain,8,false,CurrentContext,a,1,11,47,9,19,29
plain,8,false,StaticBirth,a,1,11,47,9,19,29
plain,8,false,MatchDependencies,a,1,11,47,9,19,29
plain,8,false,CurrentContext,b,1,11,47,9,19,29
plain,8,false,StaticBirth,b,1,11,47,9,19,29
plain,8,false,MatchDependencies,b,1,11,47,9,19,29
known-hit,8,false,CurrentContext,a,1,11,79,33,19,29
known-hit,8,false,StaticBirth,a,1,11,79,33,19,29
known-hit,8,false,MatchDependencies,a,1,11,79,33,19,29
known-hit,8,false,CurrentContext,b,1,11,79,33,19,29
known-hit,8,false,StaticBirth,b,1,11,79,33,19,29
known-hit,8,false,MatchDependencies,b,1,11,79,33,19,29
known-miss,8,false,CurrentContext,a,1,3,539,287,20,21
known-miss,8,false,StaticBirth,a,1,3,539,287,20,21
known-miss,8,false,MatchDependencies,a,1,3,539,287,20,21
known-miss,8,false,CurrentContext,b,1,3,539,287,20,21
known-miss,8,false,StaticBirth,b,1,3,539,287,20,21
known-miss,8,false,MatchDependencies,b,1,3,539,287,20,21
delayed-hit,8,false,CurrentContext,a,1,11,437,239,23,37
delayed-hit,8,false,StaticBirth,a,1,11,437,239,23,37
delayed-hit,8,false,MatchDependencies,a,1,11,437,239,23,37
delayed-hit,8,false,CurrentContext,b,1,11,437,239,23,37
delayed-hit,8,false,StaticBirth,b,1,11,437,239,23,37
delayed-hit,8,false,MatchDependencies,b,1,11,437,239,23,37
delayed-miss,8,false,CurrentContext,a,1,3,2224,1238,11,12
delayed-miss,8,false,StaticBirth,a,1,3,2224,1238,11,12
delayed-miss,8,false,MatchDependencies,a,1,3,2224,1238,11,12
delayed-miss,8,false,CurrentContext,b,1,3,2224,1238,11,12
delayed-miss,8,false,StaticBirth,b,1,3,2224,1238,11,12
delayed-miss,8,false,MatchDependencies,b,1,3,2224,1238,11,12
plain,8,true,CurrentContext,a,1,11,47,9,19,29
plain,8,true,StaticBirth,a,1,11,47,9,19,29
plain,8,true,MatchDependencies,a,1,11,47,9,19,29
plain,8,true,CurrentContext,b,1,11,47,9,19,29
plain,8,true,StaticBirth,b,1,11,47,9,19,29
plain,8,true,MatchDependencies,b,1,11,47,9,19,29
known-hit,8,true,CurrentContext,a,1,11,79,33,19,29
known-hit,8,true,StaticBirth,a,1,11,79,33,19,29
known-hit,8,true,MatchDependencies,a,1,11,79,33,19,29
known-hit,8,true,CurrentContext,b,1,11,79,33,19,29
known-hit,8,true,StaticBirth,b,1,11,79,33,19,29
known-hit,8,true,MatchDependencies,b,1,11,79,33,19,29
known-miss,8,true,CurrentContext,a,1,3,368,188,11,12
known-miss,8,true,StaticBirth,a,1,3,368,188,11,12
known-miss,8,true,MatchDependencies,a,1,3,368,188,11,12
known-miss,8,true,CurrentContext,b,1,3,368,188,11,12
known-miss,8,true,StaticBirth,b,1,3,368,188,11,12
known-miss,8,true,MatchDependencies,b,1,3,368,188,11,12
delayed-hit,8,true,CurrentContext,a,1,11,87,33,19,29
delayed-hit,8,true,StaticBirth,a,1,11,87,33,19,29
delayed-hit,8,true,MatchDependencies,a,1,11,87,33,19,29
delayed-hit,8,true,CurrentContext,b,1,11,87,33,19,29
delayed-hit,8,true,StaticBirth,b,1,11,87,33,19,29
delayed-hit,8,true,MatchDependencies,b,1,11,87,33,19,29
delayed-miss,8,true,CurrentContext,a,1,3,1905,1112,11,12
delayed-miss,8,true,StaticBirth,a,1,3,1905,1112,11,12
delayed-miss,8,true,MatchDependencies,a,1,3,1905,1112,11,12
delayed-miss,8,true,CurrentContext,b,1,3,1905,1112,11,12
delayed-miss,8,true,StaticBirth,b,1,3,1905,1112,11,12
delayed-miss,8,true,MatchDependencies,b,1,3,1905,1112,11,12
plain,32,false,CurrentContext,a,1,35,167,33,67,101
plain,32,false,StaticBirth,a,1,35,167,33,67,101
plain,32,false,MatchDependencies,a,1,35,167,33,67,101
plain,32,false,CurrentContext,b,1,35,167,33,67,101
plain,32,false,StaticBirth,b,1,35,167,33,67,101
plain,32,false,MatchDependencies,b,1,35,167,33,67,101
known-hit,32,false,CurrentContext,a,1,35,295,129,67,101
known-hit,32,false,StaticBirth,a,1,35,295,129,67,101
known-hit,32,false,MatchDependencies,a,1,35,295,129,67,101
known-hit,32,false,CurrentContext,b,1,35,295,129,67,101
known-hit,32,false,StaticBirth,b,1,35,295,129,67,101
known-hit,32,false,MatchDependencies,b,1,35,295,129,67,101
known-miss,32,false,CurrentContext,a,1,3,6731,3431,68,69
known-miss,32,false,StaticBirth,a,1,3,6731,3431,68,69
known-miss,32,false,MatchDependencies,a,1,3,6731,3431,68,69
known-miss,32,false,CurrentContext,b,1,3,6731,3431,68,69
known-miss,32,false,StaticBirth,b,1,3,6731,3431,68,69
known-miss,32,false,MatchDependencies,b,1,3,6731,3431,68,69
delayed-hit,32,false,CurrentContext,a,1,35,12895,6969,83,133
delayed-hit,32,false,StaticBirth,a,1,35,12895,6969,83,133
delayed-hit,32,false,MatchDependencies,a,1,35,12895,6969,83,133
delayed-hit,32,false,CurrentContext,b,1,35,12895,6969,83,133
delayed-hit,32,false,StaticBirth,b,1,35,12895,6969,83,133
delayed-hit,32,false,MatchDependencies,b,1,35,12895,6969,83,133
delayed-miss,32,false,CurrentContext,a,1,3,107572,56030,35,36
delayed-miss,32,false,StaticBirth,a,1,3,107572,56030,35,36
delayed-miss,32,false,MatchDependencies,a,1,3,107572,56030,35,36
delayed-miss,32,false,CurrentContext,b,1,3,107572,56030,35,36
delayed-miss,32,false,StaticBirth,b,1,3,107572,56030,35,36
delayed-miss,32,false,MatchDependencies,b,1,3,107572,56030,35,36
plain,32,true,CurrentContext,a,1,35,167,33,67,101
