family,consumers,independent,depth,reverse,pull,answers,ticks,nodes,calls,choices,births,results,obligations,lifts,expansions,force_entries,match_entries,lift_walk_entries
direct,1,false,0,false,false,2,7,11,2,1,1,3,2,0,3,45,4,0
direct,1,false,0,false,true,2,7,14,4,2,1,4,4,1,3,59,4,2
direct,1,false,0,true,false,2,7,11,2,1,1,3,2,0,3,39,4,0
direct,1,false,0,true,true,2,7,11,2,1,1,3,2,0,3,39,4,0
direct,1,false,8,false,false,2,15,35,10,1,1,11,10,0,11,329,12,0
direct,1,false,8,false,true,2,15,38,12,2,1,12,12,1,11,315,12,10
direct,1,false,8,true,false,2,15,35,10,1,1,11,10,0,11,335,12,0
direct,1,false,8,true,true,2,15,35,10,1,1,11,10,0,11,335,12,0
direct,1,false,32,false,false,2,39,107,34,1,1,35,34,0,35,2705,36,0
direct,1,false,32,false,true,2,39,110,36,2,1,36,36,1,35,2619,36,34
direct,1,false,32,true,false,2,39,107,34,1,1,35,34,0,35,2759,36,0
direct,1,false,32,true,true,2,39,107,34,1,1,35,34,0,35,2759,36,0
direct,1,true,0,false,false,2,7,11,2,1,1,3,2,0,3,45,4,0
direct,1,true,0,false,true,2,7,14,4,2,1,4,4,1,3,59,4,2
direct,1,true,0,true,false,2,7,11,2,1,1,3,2,0,3,39,4,0
direct,1,true,0,true,true,2,7,11,2,1,1,3,2,0,3,39,4,0
direct,1,true,8,false,false,2,15,35,10,1,1,11,10,0,11,329,12,0
direct,1,true,8,false,true,2,15,38,12,2,1,12,12,1,11,315,12,10
direct,1,true,8,true,false,2,15,35,10,1,1,11,10,0,11,335,12,0
direct,1,true,8,true,true,2,15,35,10,1,1,11,10,0,11,335,12,0
direct,1,true,32,false,false,2,39,107,34,1,1,35,34,0,35,2705,36,0
direct,1,true,32,false,true,2,39,110,36,2,1,36,36,1,35,2619,36,34
direct,1,true,32,true,false,2,39,107,34,1,1,35,34,0,35,2759,36,0
direct,1,true,32,true,true,2,39,107,34,1,1,35,34,0,35,2759,36,0
direct,4,false,0,false,false,2,13,26,5,1,1,9,5,0,9,102,13,0
direct,4,false,0,false,true,2,13,29,7,2,1,10,7,1,9,116,13,2
direct,4,false,0,true,false,2,13,26,5,1,1,9,5,0,9,119,14,0
direct,4,false,0,true,true,2,13,29,7,2,1,10,7,1,9,130,14,3
direct,4,false,8,false,false,2,21,50,13,1,1,17,13,0,17,458,21,0
direct,4,false,8,false,true,2,21,53,15,2,1,18,15,1,17,444,21,10
direct,4,false,8,true,false,2,21,50,13,1,1,17,13,0,17,617,24,0
direct,4,false,8,true,true,2,21,50,13,1,1,17,13,0,17,617,24,0
direct,4,false,32,false,false,2,45,122,37,1,1,41,37,0,41,3050,45,0
direct,4,false,32,false,true,2,45,125,39,2,1,42,39,1,41,2964,45,34
direct,4,false,32,true,false,2,45,122,37,1,1,41,37,0,41,3521,48,0
direct,4,false,32,true,true,2,45,122,37,1,1,41,37,0,41,3521,48,0
direct,4,true,0,false,false,16,100,100,8,4,4,68,8,0,68,2033,111,0
direct,4,true,0,false,true,16,100,145,38,19,4,83,38,15,68,2577,111,30
direct,4,true,0,true,false,16,100,100,8,4,4,68,8,0,68,986,100,0
direct,4,true,0,true,true,16,100,100,8,4,4,68,8,0,68,986,100,0
direct,4,true,8,false,false,16,132,196,40,4,4,100,40,0,100,22329,143,0
direct,4,true,8,false,true,16,132,241,70,19,4,115,70,15,100,22073,143,150
direct,4,true,8,true,false,16,220,229,40,15,15,188,40,0,188,9282,209,0
direct,4,true,8,true,true,16,220,229,40,15,15,188,40,0,188,9282,209,0
direct,4,true,32,false,false,16,228,484,136,4,4,196,136,0,196,205569,239,0
direct,4,true,32,false,true,16,228,529,166,19,4,211,166,15,196,203009,239,510
direct,4,true,32,true,false,16,580,517,136,15,15,548,136,0,548,83322,569,0
direct,4,true,32,true,true,16,580,517,136,15,15,548,136,0,548,83322,569,0
opaque,1,false,0,false,false,2,6,9,2,1,1,2,2,0,2,34,1,0
opaque,1,false,0,false,true,2,6,9,2,1,1,2,2,0,2,34,1,0
opaque,1,false,0,true,false,2,6,9,2,1,1,2,2,0,2,38,1,0
opaque,1,false,0,true,true,2,6,9,2,1,1,2,2,0,2,38,1,0
opaque,1,false,8,false,false,2,14,33,10,1,1,10,10,0,10,194,9,0
opaque,1,false,8,false,true,2,14,33,10,1,1,10,10,0,10,194,9,0
opaque,1,false,8,true,false,2,14,33,10,1,1,10,10,0,10,350,9,0
opaque,1,false,8,true,true,2,14,33,10,1,1,10,10,0,10,350,9,0
opaque,1,false,32,false,false,2,38,105,34,1,1,34,34,0,34,1442,33,0
opaque,1,false,32,false,true,2,38,105,34,1,1,34,34,0,34,1442,33,0
opaque,1,false,32,true,false,2,38,105,34,1,1,34,34,0,34,2822,33,0
opaque,1,false,32,true,true,2,38,105,34,1,1,34,34,0,34,2822,33,0
opaque,1,true,0,false,false,2,6,9,2,1,1,2,2,0,2,34,1,0
opaque,1,true,0,false,true,2,6,9,2,1,1,2,2,0,2,34,1,0
opaque,1,true,0,true,false,2,6,9,2,1,1,2,2,0,2,38,1,0
opaque,1,true,0,true,true,2,6,9,2,1,1,2,2,0,2,38,1,0
opaque,1,true,8,false,false,2,14,33,10,1,1,10,10,0,10,194,9,0
opaque,1,true,8,false,true,2,14,33,10,1,1,10,10,0,10,194,9,0
opaque,1,true,8,true,false,2,14,33,10,1,1,10,10,0,10,350,9,0
opaque,1,true,8,true,true,2,14,33,10,1,1,10,10,0,10,350,9,0
opaque,1,true,32,false,false,2,38,105,34,1,1,34,34,0,34,1442,33,0
opaque,1,true,32,false,true,2,38,105,34,1,1,34,34,0,34,1442,33,0
opaque,1,true,32,true,false,2,38,105,34,1,1,34,34,0,34,2822,33,0
opaque,1,true,32,true,true,2,38,105,34,1,1,34,34,0,34,2822,33,0
opaque,4,false,0,false,false,2,9,18,5,1,1,5,5,0,5,85,4,0
opaque,4,false,0,false,true,2,9,18,5,1,1,5,5,0,5,85,4,0
opaque,4,false,0,true,false,2,9,18,5,1,1,5,5,0,5,105,4,0
opaque,4,false,0,true,true,2,9,18,5,1,1,5,5,0,5,105,4,0
opaque,4,false,8,false,false,2,17,42,13,1,1,13,13,0,13,341,12,0
opaque,4,false,8,false,true,2,17,42,13,1,1,13,13,0,13,341,12,0
opaque,4,false,8,true,false,2,17,42,13,1,1,13,13,0,13,609,12,0
