
running 1 test
test registered_work_attribution ... WORK_HEADER,policy,family,bits,depth,work_first,resource,answers,graph_boxes,demand_boxes,demand_work_results
WORK,CurrentContext,plain,0,0,false,false,1,0,0,1
WORK,StaticBirth,plain,0,0,false,false,1,0,0,1
WORK,CurrentContext,plain,0,0,false,true,1,0,0,1
WORK,StaticBirth,plain,0,0,false,true,1,0,0,1
WORK,CurrentContext,plain,0,0,true,false,1,0,0,1
WORK,StaticBirth,plain,0,0,true,false,1,0,0,1
WORK,CurrentContext,plain,0,0,true,true,1,0,0,1
WORK,StaticBirth,plain,0,0,true,true,1,0,0,1
WORK,CurrentContext,plain,0,1,false,false,1,1,1,2
WORK,StaticBirth,plain,0,1,false,false,1,1,1,2
WORK,CurrentContext,plain,0,1,false,true,1,1,1,2
WORK,StaticBirth,plain,0,1,false,true,1,1,1,2
WORK,CurrentContext,plain,0,1,true,false,1,1,1,2
WORK,StaticBirth,plain,0,1,true,false,1,1,1,2
WORK,CurrentContext,plain,0,1,true,true,1,1,1,2
WORK,StaticBirth,plain,0,1,true,true,1,1,1,2
WORK,CurrentContext,plain,0,8,false,false,1,8,8,9
WORK,StaticBirth,plain,0,8,false,false,1,8,8,9
WORK,CurrentContext,plain,0,8,false,true,1,8,8,9
WORK,StaticBirth,plain,0,8,false,true,1,8,8,9
WORK,CurrentContext,plain,0,8,true,false,1,8,8,9
WORK,StaticBirth,plain,0,8,true,false,1,8,8,9
WORK,CurrentContext,plain,0,8,true,true,1,8,8,9
WORK,StaticBirth,plain,0,8,true,true,1,8,8,9
WORK,CurrentContext,plain,0,32,false,false,1,32,32,33
WORK,StaticBirth,plain,0,32,false,false,1,32,32,33
WORK,CurrentContext,plain,0,32,false,true,1,32,32,33
WORK,StaticBirth,plain,0,32,false,true,1,32,32,33
WORK,CurrentContext,plain,0,32,true,false,1,32,32,33
WORK,StaticBirth,plain,0,32,true,false,1,32,32,33
WORK,CurrentContext,plain,0,32,true,true,1,32,32,33
WORK,StaticBirth,plain,0,32,true,true,1,32,32,33
WORK,CurrentContext,opaque,1,0,false,false,2,0,0,1
WORK,StaticBirth,opaque,1,0,false,false,2,0,0,1
WORK,CurrentContext,opaque,1,0,false,true,2,0,0,1
WORK,StaticBirth,opaque,1,0,false,true,2,0,0,1
WORK,CurrentContext,opaque,1,0,true,false,2,0,0,1
WORK,StaticBirth,opaque,1,0,true,false,2,0,0,1
WORK,CurrentContext,opaque,1,0,true,true,2,0,0,1
WORK,StaticBirth,opaque,1,0,true,true,2,0,0,1
WORK,CurrentContext,opaque,1,1,false,false,2,1,1,3
WORK,StaticBirth,opaque,1,1,false,false,2,1,1,2
WORK,CurrentContext,opaque,1,1,false,true,2,1,1,3
WORK,StaticBirth,opaque,1,1,false,true,2,1,1,2
WORK,CurrentContext,opaque,1,1,true,false,2,1,1,3
WORK,StaticBirth,opaque,1,1,true,false,2,1,1,2
WORK,CurrentContext,opaque,1,1,true,true,2,1,1,3
WORK,StaticBirth,opaque,1,1,true,true,2,1,1,2
WORK,CurrentContext,opaque,1,8,false,false,2,8,15,17
