kind,rep,family,mode,reuse,version,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,mutation,copy,8,after,46977292,46351203,403210,22480,200399,5520562,5968212,,
time,0,mutation,copy,8,before,427770821,427048345,439040,22281,261155,57141377,51742396,,
time,0,retained,copy,8,after,3735283,3201198,339055,10444,184586,315840,337248,,
time,0,retained,copy,8,before,3432859,2926104,319138,8564,179053,303788,343884,,
time,0,compatible-small,trail,8,after,197192,167421,17670,336,11765,24726,22960,,
time,0,compatible-small,trail,8,before,197848,160784,17618,314,19132,22606,26581,,
time,0,compatible-large,copy,8,after,4836681,4100396,721294,286,14705,569090,587320,,
time,0,compatible-large,copy,8,before,4475727,3744482,717405,290,13550,556321,598593,,
time,0,compatible-alias,indexed,8,after,798258,700331,77612,15311,5004,116656,101792,,
time,0,compatible-alias,indexed,8,before,769209,672439,77175,14754,4841,112388,108072,,
time,0,work,trail,8,after,73209911,72562264,17131,598142,32374,8378169,9228562,,
time,0,work,trail,8,before,73287498,72631717,13446,611932,30403,8380104,8630859,,
time,0,retained,copy,1,before,420642,368762,18119,9902,23859,306781,332086,,
time,0,retained,copy,1,after,419601,368006,17950,10104,23541,308008,326789,,
time,0,compatible-alias,indexed,1,after,129055,96642,11850,19051,1512,127445,108770,,
time,0,compatible-alias,indexed,1,before,124591,94125,10298,18813,1355,123160,104121,,
time,0,work,indexed,1,before,1363232,1311315,5396,42030,4491,1333326,2002844,,
time,0,work,indexed,1,after,876463,824234,5406,42224,4599,844760,894640,,
time,0,compatible-small,checkpoint1,8,before,420436,388991,25218,269,5958,52302,55706,,
time,0,compatible-small,checkpoint1,8,after,409024,378922,24320,309,5473,53218,50322,,
time,0,mutation,trail,1,before,113081994,112932636,24065,15193,110100,109897497,96833815,,
time,0,mutation,trail,1,after,51304482,51151134,22545,19175,111628,48615346,49913045,,
time,0,compatible-small,copy,8,after,174801,144999,23538,289,5975,22300,20826,,
time,0,compatible-small,copy,8,before,166926,137882,23138,304,5602,21573,19983,,
time,0,mutation,trail,8,after,418433201,417359277,217269,17792,838863,49811492,50380621,,
time,0,mutation,trail,8,before,792255570,791045254,227506,16146,966664,94606699,97250853,,
time,0,compatible-large,copy,1,after,637325,530673,103967,413,2272,634954,648340,,
time,0,compatible-large,copy,1,before,636730,539143,94886,371,2330,634304,645706,,
time,0,work,checkpoint1,1,before,2168669,2151644,1658,11158,4209,2154375,2246742,,
time,0,work,checkpoint1,1,after,2177558,2159607,1938,11664,4349,2163710,2200187,,
time,0,compatible-small,trail,1,before,25369,20109,3143,320,1797,23500,24929,,
time,0,compatible-small,trail,1,after,25446,20161,3147,318,1820,23542,24309,,
time,0,work,copy,8,before,16671723,16630757,7958,12171,20837,2180069,2030049,,
time,0,work,copy,8,after,16252824,16212504,8530,12203,19587,2062753,2041090,,
time,0,compatible-alias,checkpoint1,1,before,236237,226600,5356,2914,1367,234784,250683,,
time,0,compatible-alias,checkpoint1,1,after,239830,230936,4873,2790,1231,238517,250563,,
time,0,work,checkpoint1,8,after,17757734,17724187,8168,5153,20226,2186673,2227925,,
time,0,work,checkpoint1,8,before,17778456,17745124,8005,4938,20389,2214885,2181849,,
time,0,work,copy,1,before,2081215,2062537,1936,12500,4242,2068549,2027990,,
time,0,work,copy,1,after,2078317,2060042,1737,12157,4381,2065208,2076172,,
time,0,compatible-large,checkpoint1,1,after,611702,523037,86203,307,2155,609451,604599,,
time,0,compatible-large,checkpoint1,1,before,599677,510111,87339,304,1923,597659,621938,,
time,0,compatible-alias,trail,8,before,589202,513048,52308,3797,20049,76516,70795,,
time,0,compatible-alias,trail,8,after,677648,599286,53687,3965,20710,86858,95606,,
time,0,compatible-small,indexed,8,after,468740,384299,67788,1640,15013,58679,60876,,
time,0,compatible-small,indexed,8,before,443256,367709,62423,1613,11511,61714,51420,,
time,0,retained,indexed,1,before,685330,598911,45594,15447,25378,463242,568341,,
time,0,retained,indexed,1,after,703519,602270,52345,23651,25253,491595,573747,,
time,0,compatible-large,indexed,1,after,335017,64927,265795,1903,2392,332522,347702,,
time,0,compatible-large,indexed,1,before,323430,59276,260168,1962,2024,321305,367549,,
time,0,compatible-large,indexed,8,before,2699884,461443,2218703,2025,17713,331014,309595,,
time,0,compatible-large,indexed,8,after,2677774,449300,2208747,1945,17782,354001,355843,,
time,0,mutation,indexed,1,after,2342872,2230378,44488,40087,27919,2070801,2161797,,
time,0,mutation,indexed,1,before,2393349,2281014,45164,39063,28108,2116410,2188215,,
time,0,retained,checkpoint1,8,before,6151912,5638779,321180,9633,182320,598995,617907,,
time,0,retained,checkpoint1,8,after,6230909,5705290,327531,13663,184425,607116,638010,,
time,0,compatible-large,trail,8,before,4839510,4026684,782262,492,30072,578395,622619,,
time,0,compatible-large,trail,8,after,4845521,4084377,728819,360,31965,618065,643534,,
time,0,work,indexed,8,after,13878777,13376306,364645,99779,38047,1972775,915729,,
time,0,work,indexed,8,before,7558992,7253614,239673,43532,22173,905367,968268,,
time,0,retained,trail,8,after,5819884,5111751,383675,14606,309852,486824,557544,,
time,0,retained,trail,8,before,5651665,4964858,373151,14357,299299,500289,565411,,
time,0,compatible-alias,copy,1,after,93725,83881,5522,3001,1321,92296,90994,,
time,0,compatible-alias,copy,1,before,76423,67240,5215,2642,1326,75022,72010,,
time,0,compatible-alias,checkpoint1,8,after,1862137,1810730,43898,2850,4659,240929,233083,,
time,0,compatible-alias,checkpoint1,8,before,1830031,1770207,52273,2569,4982,230328,263187,,
time,0,retained,checkpoint1,1,before,717120,660357,19621,9937,27205,588021,620703,,
time,0,retained,checkpoint1,1,after,729401,673216,20999,11194,23992,596410,611990,,
time,0,compatible-small,checkpoint1,1,before,54915,49730,4009,208,968,53869,53964,,
time,0,compatible-small,checkpoint1,1,after,83650,77963,4364,323,1000,82567,53851,,
time,0,compatible-small,copy,1,after,23044,18092,3712,317,923,22057,21250,,
time,0,compatible-small,copy,1,before,25833,20341,4185,258,1049,24695,24386,,
time,0,compatible-alias,trail,1,before,78045,66082,5080,3755,3128,74828,75728,,
time,0,compatible-alias,trail,1,after,89681,77457,5485,3619,3120,86491,86898,,
time,0,compatible-large,checkpoint1,8,after,4826796,4080939,732067,329,13461,584719,595462,,
time,0,compatible-large,checkpoint1,8,before,5022880,4260142,748477,318,13943,627916,622546,,
time,0,retained,indexed,8,before,6050555,5143551,648901,16791,241312,484923,632756,,
time,0,retained,indexed,8,after,5724679,4903702,603159,14442,203376,484436,574581,,
time,0,compatible-alias,copy,8,before,613267,556416,48400,2960,5491,78008,69634,,
time,0,compatible-alias,copy,8,after,651497,597021,46727,2788,4961,90268,78160,,
time,0,work,trail,1,before,8787820,8636004,2434,143893,5489,8250289,9135195,,
time,0,work,trail,1,after,8756051,8607192,2490,140346,6023,8224637,9098206,,
time,0,mutation,copy,1,after,5732304,5670378,17932,18354,25640,5573954,5784629,,
time,0,mutation,copy,1,before,52112586,52009178,21261,21026,61121,51915749,62699808,,
time,0,compatible-small,indexed,1,after,116643,93455,17330,3083,2775,113727,110334,,
time,0,compatible-small,indexed,1,before,103296,83636,13525,2870,3265,99852,104158,,
time,0,mutation,indexed,8,before,19158380,18209492,695677,47116,206095,2156020,2254124,,
time,0,mutation,indexed,8,after,19562420,18612947,697502,39245,212726,2178438,2251259,,
time,0,compatible-large,trail,1,before,590178,492501,93239,322,4116,585963,605676,,
time,0,compatible-large,trail,1,after,581173,491755,85111,378,3929,577153,588615,,
time,0,retained,trail,1,after,701909,610293,18873,14632,58111,486224,507444,,
time,0,retained,trail,1,before,775011,609231,18708,14883,132189,486449,744269,,
time,0,mutation,checkpoint1,1,before,59402391,59302279,17708,22747,59657,59176810,59071871,,
time,0,mutation,checkpoint1,1,after,12669343,12565405,19143,20653,64142,12453111,12984721,,
time,0,mutation,checkpoint1,8,after,101529191,100900079,415265,21450,192397,12718119,17083954,,
time,0,mutation,checkpoint1,8,before,484272735,483560318,416109,22912,273396,59345013,58469238,,
time,1,work,checkpoint1,1,before,2226407,2207996,1911,12220,4280,2211146,2328421,,
time,1,work,checkpoint1,1,after,2213264,2195433,1785,11940,4106,2199584,2212242,,
time,1,compatible-alias,indexed,8,after,847499,740440,83988,17442,5629,133102,104933,,
time,1,compatible-alias,indexed,8,before,819555,719117,79869,15207,5362,114681,111889,,
time,1,mutation,checkpoint1,8,after,140414936,139390161,588505,45046,391224,20477467,13117376,,
time,1,mutation,checkpoint1,8,before,475456549,474693877,482665,25162,254845,59560481,58956950,,
time,1,work,trail,1,before,8738163,8585212,2469,144680,5802,8216562,9221687,,
time,1,work,trail,1,after,8687055,8526406,2852,151920,5877,8153293,10397104,,
time,1,compatible-alias,checkpoint1,1,after,670630,661518,5077,2798,1237,669291,554200,,
time,1,compatible-alias,checkpoint1,1,before,549154,524654,5208,2725,16567,532461,515407,,
time,1,compatible-small,trail,8,before,181813,153656,16755,274,11128,21791,22743,,
time,1,compatible-small,trail,8,after,193369,164148,17217,285,11719,22381,24513,,
time,1,compatible-alias,trail,1,before,78082,66106,5172,3703,3101,74890,75874,,
time,1,compatible-alias,trail,1,after,89864,77963,4932,3779,3190,86603,87630,,
time,1,work,trail,8,after,73577732,72922422,13534,612049,29727,8635818,8970935,,
time,1,work,trail,8,before,74430008,73748475,15628,636993,28912,9021885,8857160,,
time,1,mutation,trail,8,before,827033790,825807328,230411,16133,979918,97133864,107490446,,
time,1,mutation,trail,8,after,422852207,421785888,210989,17398,837932,49663288,53585619,,
time,1,mutation,indexed,8,after,19192327,18241188,704324,40546,206269,2116803,2219268,,
time,1,mutation,indexed,8,before,19785576,18801189,720461,48234,215692,2332583,2244647,,
time,1,compatible-large,indexed,1,after,359872,68068,287738,1936,2130,357647,353172,,
time,1,compatible-large,indexed,1,before,333910,63861,265383,2291,2375,331446,319114,,
