kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_prepared_owner_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,deep,checkpoint16,1,14235263,14143824,1826,60531,29082,13927417,13753001,,
time,0,small,checkpoint1,1,165935,152229,1852,8170,3684,151886,151981,,
time,0,late,indexed,1,638059,588162,22906,23406,3585,634348,601490,,
time,0,small,trail,1,323868,313165,1984,4745,3974,278638,300550,,
time,0,compatible-small,checkpoint16,1,28235,22303,4545,329,1058,27076,27094,,
time,0,work,indexed-cow,1,1044495,994457,5584,39560,4894,1014997,1108628,,
time,0,compatible-small,checkpoint4,1,22820,18220,3447,274,879,21865,22063,,
time,0,compatible-small,checkpoint1,1,22702,18072,3501,254,875,21755,22085,,
time,0,deep,trail,8,36052309,35371412,31307,12039,637551,3389312,4184055,,
time,0,compatible-alias,trail,8,710110,627468,57428,4084,21130,94838,102007,,
time,0,late,trail,1,3432212,3395981,9680,15751,10800,3421296,3234842,,
time,0,deep,checkpoint4,8,36157197,35848322,17117,92290,199468,4389341,4423765,,
time,0,spine,checkpoint16,1,1130477,1107065,3292,16463,3657,184131,138215,,
time,0,compatible-large,indexed,1,376689,59913,312428,2233,2115,374473,312521,,
time,0,spine,replay,8,37861510,37813920,12974,8995,25621,169373,150979,,
time,0,compatible-alias,copy,1,86982,78147,4918,2729,1188,85708,81970,,
time,0,early,indexed-cow,1,483674,431866,25313,22731,3764,479744,398108,,
time,0,mutation,checkpoint4,8,172250000,171570223,404707,24725,250345,21447384,20688099,,
time,0,compatible-small,checkpoint4,8,214367,169586,38320,350,6111,25975,26132,,
time,0,compatible-large,trail,8,4854794,4073513,748299,325,32657,562104,656641,,
time,0,spine,replay,1,4985467,4968157,2541,10554,4215,169507,153776,,
time,0,spine,checkpoint4,8,3278310,3232309,11066,8499,26436,83518,77343,,
time,0,spine,indexed,1,234898,199274,7861,23556,4207,82358,62297,,
time,0,spine,indexed,8,1909605,1728135,102182,23543,55745,81254,108365,,
time,0,work,trail,8,84874324,84080906,33810,714732,44876,9788728,9018759,,
time,0,retained,checkpoint1,8,6604350,6033940,353105,9879,207426,677036,667759,,
time,0,compatible-alias,checkpoint4,1,90252,80684,5408,2859,1301,88853,87417,,
time,0,early,checkpoint1,1,516740,496816,8368,8303,3253,513373,557637,,
time,0,compatible-alias,indexed,8,796781,698753,77911,15324,4793,115272,101280,,
time,0,deep,checkpoint4,1,4486109,4453747,1684,6307,24371,4322440,4388918,,
time,0,early,replay,8,4679201,4540042,112722,11394,15043,695024,556591,,
time,0,compatible-small,replay,1,25160,20153,3775,281,951,24132,23855,,
time,0,deep,trail,1,4663070,4549066,3801,8885,101318,3800336,4100831,,
time,0,retained,replay,1,6762902,6703761,20292,10724,28125,6231591,5917960,,
time,0,mutation,checkpoint16,1,58571717,58473830,19655,20974,57258,58035788,55193567,,
time,0,linear,checkpoint16,8,635962,518031,96357,7868,13706,81324,75586,,
time,0,work,checkpoint16,8,146154444,146098637,17338,13728,24741,17817710,18164163,,
time,0,mutation,checkpoint1,1,13047116,12920644,30808,34827,60837,12829586,12657098,,
time,0,spine,indexed-cow,1,196570,167119,6884,19056,3511,64749,55053,,
time,0,linear,indexed,1,111769,68095,24353,16433,2888,108802,96091,,
time,0,late,checkpoint1,8,13301821,13164737,113024,8498,15562,1707331,1657500,,
time,0,linear,checkpoint1,8,625088,509374,93685,8737,13292,92481,85203,,
time,0,compatible-large,checkpoint4,1,565779,477524,85897,312,2046,563614,559513,,
time,0,linear,replay,8,599945,490533,89221,7301,12890,75708,87548,,
time,0,deep,indexed-cow,1,1794377,1674293,10545,31012,78527,1521499,1803547,,
time,0,late,replay,1,31879837,31847102,15581,12697,4457,31874969,31921013,,
time,0,linear,checkpoint4,1,106543,74143,12422,15915,4063,102351,76489,,
time,0,retained,replay,8,50747390,50089092,411703,9535,237060,5784917,5982224,,
time,0,small,copy,8,1381708,1336617,8791,9207,27093,151724,139265,,
time,0,late,checkpoint16,8,64766849,64615320,124397,10132,17000,8025415,8252595,,
time,0,compatible-large,indexed-cow,8,2715102,460384,2238075,2322,14321,361570,342694,,
time,0,compatible-large,checkpoint1,1,623743,537253,84123,377,1990,621658,586118,,
time,0,deep,indexed-cow,8,13954845,12939839,423412,24613,566981,1427400,1677723,,
time,0,compatible-small,copy,1,26330,20639,4298,313,1080,25153,24935,,
time,0,compatible-alias,indexed,1,125680,95602,9929,18806,1343,124243,103970,,
time,0,linear,replay,1,93149,71036,9613,9140,3360,89687,87042,,
time,0,late,indexed-cow,8,5632685,5339618,246023,26125,20919,776117,687712,,
time,0,work,indexed,8,8902586,8537155,267959,67533,29939,1678173,979190,,
time,0,work,checkpoint1,1,2434434,2415478,1779,12560,4617,2420103,2266449,,
time,0,spine,copy,1,152791,139367,2135,7909,3380,33821,25400,,
time,0,compatible-small,indexed-cow,1,75875,63675,9461,1687,1052,74714,60691,,
time,0,retained,checkpoint16,8,20709292,20154188,329781,9123,216200,2404666,2587480,,
time,0,mutation,copy,1,6073444,6010004,18219,19042,26179,5897554,5710076,,
time,0,work,replay,8,2480898672,2480822875,31061,16335,28401,322416430,298604873,,
