   Compiling chr-persistent v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-persistent)
   Compiling chr-compiled v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-compiled)
   Compiling chr-reuse v0.1.0 (/home/ahart/Documents/CHRLang/research/chr-reuse)
    Finished `dev` profile [unoptimized + debuginfo] target(s) in 0.75s
     Running `target/debug/examples/continuation_work`
exact resource=false Direct Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
exact resource=false ExactIds Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
exact resource=false Alpha Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
exact resource=false AlphaLive Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
exact resource=false CompactExact Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
exact resource=false CompactAlpha Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
exact resource=false CompactLive Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
exact resource=true Direct Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
exact resource=true ExactIds Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
exact resource=true Alpha Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
exact resource=true AlphaLive Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
exact resource=true CompactExact Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
exact resource=true CompactAlpha Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
exact resource=true CompactLive Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
rename resource=false Direct Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
rename resource=false ExactIds Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
rename resource=false Alpha Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
rename resource=false AlphaLive Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
rename resource=false CompactExact Stats { logical_steps: 533, executed: 533, hits: 0, key_requests: 533, states: 533, completed: 4, failed: 0, max_frontier: 4 }
rename resource=false CompactAlpha Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
rename resource=false CompactLive Stats { logical_steps: 533, executed: 136, hits: 397, key_requests: 138, states: 136, completed: 4, failed: 0, max_frontier: 4 }
rename resource=true Direct Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
rename resource=true ExactIds Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
rename resource=true Alpha Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
rename resource=true AlphaLive Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
rename resource=true CompactExact Stats { logical_steps: 543, executed: 543, hits: 0, key_requests: 543, states: 543, completed: 4, failed: 0, max_frontier: 4 }
rename resource=true CompactAlpha Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
rename resource=true CompactLive Stats { logical_steps: 543, executed: 140, hits: 403, key_requests: 142, states: 140, completed: 4, failed: 0, max_frontier: 4 }
history resource=false Direct Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
history resource=false ExactIds Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history resource=false Alpha Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history resource=false AlphaLive Stats { logical_steps: 555, executed: 546, hits: 9, key_requests: 549, states: 546, completed: 4, failed: 0, max_frontier: 4 }
history resource=false CompactExact Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history resource=false CompactAlpha Stats { logical_steps: 555, executed: 555, hits: 0, key_requests: 555, states: 555, completed: 4, failed: 0, max_frontier: 4 }
history resource=false CompactLive Stats { logical_steps: 555, executed: 546, hits: 9, key_requests: 549, states: 546, completed: 4, failed: 0, max_frontier: 4 }
history resource=true Direct Stats { logical_steps: 565, executed: 565, hits: 0, key_requests: 0, states: 0, completed: 4, failed: 0, max_frontier: 4 }
