kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,before-clash,dependencies,1,80143,28082,33390,12150,6521,,68283,,
time,0,trivial,conditional,8,6808876,6711852,15116,34092,47816,741697,691974,,
time,0,after-success,conditional,8,64635852,64076006,400018,27056,132772,7689705,7935836,,
time,0,after-clash,dependencies,8,743132,395364,293186,23320,31262,,87778,,
time,0,trivial,graph,8,13900976,13813846,13420,30196,43514,426314,292427,,
time,0,before-success,dependencies,1,162509,91310,34625,27157,9417,130996,121817,,
time,0,before-success,direct,1,173326,102873,34415,27415,8623,142479,132159,,
time,0,trivial,direct,8,636385,580440,8609,19179,28157,69191,56467,,
time,0,before-clash,graph,8,502731,349116,118906,18042,16667,,59437,,
time,0,after-clash,direct,8,787756,445645,288102,22008,32001,,106559,,
time,0,unique,exact,8,1355324,879837,300680,24873,149934,150014,141681,,
time,0,before-success,exact,8,1266379,840719,286499,15719,123442,130337,124633,,
time,0,after-clash,graph,8,27176256,26965466,158367,26677,25746,,3441373,,
time,0,trivial,direct,1,96014,67139,1656,20224,6995,68435,62661,,
time,0,trivial,dependencies,8,668562,607649,9081,23822,28010,80276,56337,,
time,0,unique,dependencies,8,1937327,1472051,292450,23177,149649,221931,205052,,
time,0,after-success,graph,1,3969529,3910203,18287,30116,10923,374409,347798,,
time,0,after-clash,conditional,1,10262502,10175994,40950,26010,19548,,10357547,,
time,0,before-success,graph,1,1441056,1390614,16783,23764,9895,328004,321869,,
time,0,unique,indexed,1,632771,525232,37809,56049,13681,458014,612257,,
time,0,before-success,indexed,1,699202,611355,38523,37190,12134,520632,646549,,
time,0,before-clash,exact,8,616475,280032,282839,21925,31679,,72767,,
time,0,after-clash,dependencies,1,115351,52705,33446,14560,14640,,92618,,
time,0,after-clash,indexed,8,3814454,3453522,315695,39251,5986,,453372,,
time,0,after-success,exact,8,1221919,785001,286192,16078,134648,125513,116729,,
time,0,after-clash,conditional,8,83793855,83320729,379866,36299,56961,,10451451,,
time,0,after-clash,graph,1,3494857,3446465,16844,13877,17671,,3483224,,
time,0,after-clash,ordinary,1,104124,48809,34307,14403,6605,,96677,,
time,0,unique,graph,8,32274788,31888468,171569,24393,190358,379111,387527,,
time,0,before-clash,indexed,8,3799195,3361198,383970,47328,6699,,476262,,
time,0,trivial,exact,1,117315,83861,2151,23509,7794,86029,72512,,
time,0,after-success,dependencies,8,1091371,649915,295177,15126,131153,110287,98949,,
time,0,before-success,exact,1,180832,109547,34851,27253,9181,149871,139074,,
time,0,before-clash,ordinary,8,589881,243046,297682,20784,28369,,67198,,
time,0,unique,conditional,8,68300225,67692184,389673,33062,185306,8304901,8271930,,
time,0,trivial,ordinary,1,92837,65128,1758,19622,6329,66875,57376,,
time,0,trivial,ordinary,8,606604,553335,8303,18832,26134,65701,54782,,
time,0,unique,ordinary,8,1257333,814711,280348,22473,139801,138858,124400,,
time,0,after-success,conditional,1,8374014,8266920,46647,43027,17420,8151487,7948905,,
time,0,before-success,direct,8,1210342,802910,271685,16069,119678,126512,120135,,
time,0,before-success,ordinary,1,172659,101838,35129,27243,8449,142942,131904,,
time,0,unique,conditional,1,8723136,8606101,45430,53778,17827,8501920,8388553,,
time,0,trivial,exact,8,726824,667293,9258,19388,30885,75132,65076,,
time,0,before-clash,conditional,1,139437,70816,38689,21151,8781,,110828,,
time,0,after-clash,exact,8,823095,478238,290481,21218,33158,,97266,,
time,0,before-clash,ordinary,1,75950,25449,32213,11966,6322,,64251,,
time,0,before-success,conditional,1,980125,882768,41554,40067,15736,819618,810838,,
time,0,trivial,indexed,8,2385118,2241158,78861,39980,25119,240000,227488,,
time,0,before-clash,indexed,1,438393,360339,36853,36391,4810,,426593,,
time,0,trivial,indexed,1,323400,270823,2718,43632,6227,244629,218729,,
time,0,before-clash,conditional,8,992148,565230,357053,32040,37825,,108814,,
time,0,before-clash,direct,1,92126,32825,33526,12420,13355,,66716,,
time,0,before-clash,dependencies,8,567286,223272,291270,22373,30371,,65479,,
time,0,after-clash,ordinary,8,775546,422459,300082,21982,31023,,92234,,
time,0,before-clash,direct,8,581144,253877,279027,21179,27061,,71723,,
time,0,unique,ordinary,1,180956,100480,34531,34734,11211,149980,133507,,
time,0,before-success,graph,8,13390999,13108054,209541,16536,56868,356433,337833,,
time,0,after-success,graph,8,32116874,31798345,228275,29460,60794,387076,358859,,
time,0,unique,direct,8,1266413,830460,274117,22607,139229,138783,128419,,
time,0,after-success,ordinary,1,161957,91576,34478,26587,9316,131620,126651,,
time,0,before-success,dependencies,8,1152767,723855,291295,16268,121349,117633,109843,,
time,0,after-success,direct,8,1181192,752651,284337,15456,128748,122983,115441,,
time,0,before-clash,graph,1,76975,43028,13925,9725,10297,,59282,,
time,0,after-success,exact,1,168778,97881,35005,26361,9531,138537,128159,,
time,0,unique,dependencies,1,270456,189407,35130,34828,11091,238835,222635,,
time,0,trivial,dependencies,1,96966,69053,1686,19820,6407,70274,62010,,
time,0,unique,exact,1,191127,109676,33466,35591,12394,158063,142488,,
time,0,trivial,conditional,1,1090203,1027668,2103,43559,16873,887105,780970,,
time,0,unique,indexed,8,5399727,4912773,377101,68452,41401,567719,613179,,
time,0,trivial,graph,1,1721967,1690765,1619,21215,8368,279524,274955,,
time,0,after-clash,indexed,1,530466,451630,37460,36890,4486,,455967,,
time,0,after-success,direct,1,185082,103000,40291,32390,9401,152845,124342,,
time,0,after-success,indexed,8,5438777,4956222,371118,54002,57435,559968,560310,,
time,0,after-success,indexed,1,650526,566810,38782,36438,8496,458389,549592,,
time,0,before-success,conditional,8,7721766,7169009,393346,32598,126813,821860,819602,,
time,0,before-success,ordinary,8,1221136,800427,282484,16234,121991,126389,125377,,
time,0,unique,graph,1,4076900,4004650,17913,40586,13751,399818,372502,,
time,0,unique,direct,1,206097,124283,35733,34519,11562,173915,136813,,
time,0,after-clash,direct,1,105174,51023,33598,13975,6578,,99041,,
time,0,after-clash,exact,1,115995,59430,33997,14907,7661,,102142,,
time,0,after-success,dependencies,1,152613,80124,37364,26120,9005,122599,111760,,
time,0,before-success,indexed,8,6462849,5980937,331733,35662,114517,613452,771767,,
time,0,before-clash,exact,1,92954,32628,34056,11841,14429,,83729,,
time,0,after-success,ordinary,8,1165510,736178,284733,15433,129166,117937,114252,,
time,1,after-clash,graph,1,3455329,3408079,16717,13839,16694,,3478713,,
