kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,cross-before-clash-256-4,graph,1,174072,89960,48483,11527,24102,,149683,,
time,0,cross-before-clash-256-2,dependencies,1,188065,34393,125728,15806,12138,,174574,,
time,0,cross-unique-success-64-6,dependencies,1,1314703,1118336,37435,97673,61259,998903,973791,,
time,0,cross-before-success-1024-4,specialized,1,6828864,6178812,571421,55304,23327,5294945,6618943,,
time,0,cross-before-success-256-4,specialized,1,1994160,1764298,143776,64084,22002,1503030,1792538,,
time,0,cross-before-success-256-4,ordinary,1,343195,168203,128152,17133,29707,289889,327519,,
time,0,cross-before-success-1024-4,graph,1,2203174,1897030,221811,18428,65905,939064,948967,,
time,0,cross-before-success-256-6,specialized,1,10451406,10024145,149760,191675,85826,6992908,8695292,,
time,0,cross-before-success-1024-6,specialized,1,29455799,28541867,591122,186216,136594,21210218,27207244,,
time,0,cross-before-success-64-2,ordinary,1,75041,23485,36158,10545,4853,66875,60324,,
time,0,cross-before-clash-256-2,ordinary,1,175700,15055,130590,17374,12681,,163545,,
time,0,cross-before-clash-64-4,ordinary,1,95353,33784,34657,13277,13635,,75094,,
time,0,cross-before-clash-64-2,graph,1,52356,24741,15530,9235,2850,,40619,,
time,0,cross-before-success-256-2,ordinary,1,188803,40280,124048,5326,19149,166293,199115,,
time,0,cross-before-success-64-2,dependencies,1,79563,27359,36306,10549,5349,70952,68564,,
time,0,cross-before-clash-1024-6,dependencies,1,869025,170803,503681,72588,121953,,774092,,
time,0,cross-before-success-64-6,specialized,1,5462604,5179731,44869,164588,73416,3568716,4058339,,
time,0,cross-before-success-1024-2,graph,1,664548,397430,206593,5620,54905,559844,612042,,
time,0,cross-before-success-1024-6,graph,1,89786188,89318107,260900,88946,118235,4201529,4446392,,
time,0,cross-before-clash-1024-4,dependencies,1,733763,119650,487003,18487,108623,,732605,,
time,0,cross-after-clash-1024-6,dependencies,1,2194685,1449794,504712,57134,183045,,2126307,,
time,0,cross-before-success-256-6,graph,1,90060975,89881760,68009,68541,42665,3767078,3775832,,
time,0,cross-before-clash-1024-4,ordinary,1,807207,168498,509661,20285,108763,,780268,,
time,0,cross-before-clash-256-4,dependencies,1,255679,56848,144730,18742,35359,,196102,,
time,0,cross-before-clash-64-4,dependencies,1,88371,31192,36629,13352,7198,,74937,,
time,0,cross-before-clash-64-2,dependencies,1,72509,21554,35603,10610,4742,,57473,,
time,0,cross-before-success-256-4,graph,1,1663492,1572429,60844,15768,14451,454537,477427,,
time,0,cross-before-success-1024-2,ordinary,1,725016,101844,507639,5279,110254,611377,701745,,
time,0,cross-before-clash-1024-4,graph,1,647124,338711,209385,17952,81076,,589148,,
time,0,cross-before-clash-64-4,specialized,1,468433,371412,44788,45950,6283,,446480,,
time,0,cross-before-success-1024-6,ordinary,1,2767501,1966018,535061,92831,173591,2316645,2389097,,
time,0,cross-before-clash-1024-4,specialized,1,5417274,4742361,608202,52779,13932,,5301224,,
time,0,cross-before-clash-1024-2,dependencies,1,1713164,309527,1104624,5231,293782,,1609948,,
time,0,cross-before-success-1024-4,dependencies,1,822289,198782,494551,18421,110535,688369,788414,,
time,0,cross-unique-success-1024-6,dependencies,1,7505753,6650801,528594,132615,193743,7040828,7089630,,
time,0,cross-before-clash-64-6,dependencies,1,188577,82881,36109,52998,16589,,131803,,
time,0,cross-before-clash-64-2,specialized,1,153117,87792,46357,16804,2164,,125161,,
time,0,cross-before-success-64-2,graph,1,142136,111333,17933,8413,4457,88760,84560,,
time,0,cross-unique-success-64-6,specialized,1,5413769,5008528,47006,268706,89529,3484758,3869483,,
time,0,cross-before-clash-256-2,graph,1,176549,70130,53686,22614,30119,,126459,,
time,0,cross-before-success-256-4,dependencies,1,303866,125143,131643,16971,30109,248025,271078,,
time,0,cross-before-clash-256-2,specialized,1,465446,303597,140782,18706,2361,,434148,,
time,0,cross-after-success-1024-6,specialized,1,26261694,25385087,547516,216004,113087,18095337,24122226,,
time,0,cross-before-success-1024-6,dependencies,1,1855640,961807,662239,69978,161616,1395313,1319421,,
time,0,cross-unique-success-1024-6,graph,1,621039263,620491501,247084,114006,186672,4646029,4794640,,
time,0,cross-before-clash-64-6,ordinary,1,223036,122601,34663,49519,16253,,139990,,
time,0,cross-before-clash-256-4,ordinary,1,237320,61840,124249,15494,35737,,219241,,
time,0,cross-before-clash-256-6,ordinary,1,641703,232494,133954,52432,222823,,376472,,
time,0,cross-before-clash-256-6,graph,1,354568,212884,54724,54816,32144,,285623,,
time,0,cross-before-clash-64-6,graph,1,242516,164709,15391,42467,19949,,188166,,
time,0,cross-before-success-256-6,ordinary,1,1369540,1075475,141947,75285,76833,1009784,1017561,,
time,0,cross-before-clash-64-6,specialized,1,1895945,1635989,40500,182137,37319,,1666728,,
time,0,cross-unique-success-64-6,ordinary,1,980507,789483,37868,91829,61327,657310,620616,,
time,0,cross-before-success-256-6,dependencies,1,1021290,727420,133184,63005,97681,657114,703271,,
