kind,rep,family,mode,reuse,total_ns,execution_ns,setup_ns,preparation_ns,disposal_ns,first_cold_ns,cancel_ns,requested_bytes,peak_increment_bytes
time,0,after-clash,graph,8,26743536,26535075,157369,23873,27219,,3397428,,
time,0,before-success,graph,1,1618914,1553981,21433,31301,12199,351245,358729,,
time,0,trivial,dependencies,8,690959,629851,9045,22484,29579,82792,68550,,
time,0,after-clash,ordinary,1,102631,48442,33381,14188,6620,,94782,,
time,0,before-success,specialized,8,6134521,5642224,331911,45641,114745,615640,705649,,
time,0,trivial,ordinary,8,645565,586994,8957,22283,27331,75552,66932,,
time,0,after-success,ordinary,8,1131067,714687,276711,14936,124733,116732,110392,,
time,0,unique,graph,8,31857479,31485206,163025,24417,184831,376696,377248,,
time,0,unique,specialized,1,708821,600671,38514,56196,13440,511328,511589,,
time,0,unique,ordinary,8,1259210,807596,288510,22951,140153,139022,133842,,
time,0,before-success,specialized,1,726727,604468,56977,52526,12756,530429,595289,,
time,0,before-success,dependencies,1,162595,90957,34306,28059,9273,131467,120230,,
time,0,trivial,specialized,8,2130932,1981521,67822,47209,34380,223247,252695,,
time,0,unique,graph,1,4055054,3979661,18540,42818,14035,394467,359088,,
time,0,after-clash,specialized,1,535976,422980,50088,57739,5169,,441864,,
time,0,after-success,graph,8,32013222,31702480,222394,28571,59777,379354,359740,,
time,0,before-success,ordinary,8,1218902,795727,287147,15592,120436,128263,118990,,
time,0,after-success,specialized,1,603375,509645,38156,47119,8455,435652,523313,,
time,0,after-success,dependencies,1,163965,88245,39933,26325,9462,132409,111885,,
time,0,before-clash,specialized,1,430230,333610,39640,51745,5235,,370643,,
time,0,trivial,graph,8,14891345,14799946,14072,31330,45997,439776,285978,,
time,0,before-clash,dependencies,8,571970,224628,294568,22440,30334,,66719,,
time,0,before-clash,graph,8,514873,362698,116976,18086,17113,,61250,,
time,0,after-success,specialized,8,5112727,4635148,364594,49341,63644,459548,547805,,
time,0,trivial,graph,1,1837998,1806209,1592,20910,9287,303272,292506,,
time,0,after-clash,ordinary,8,831062,463961,314664,21354,31083,,93631,,
time,0,unique,specialized,8,5302301,4818933,377197,64571,41600,499577,597523,,
time,0,trivial,dependencies,1,97833,69542,1686,20010,6595,70935,63371,,
time,0,before-clash,dependencies,1,87089,28878,38736,12157,7318,,86017,,
time,0,before-success,dependencies,8,1161928,730306,289293,16754,125575,121514,125637,,
time,0,after-success,graph,1,4007212,3949619,17493,28975,11125,357885,354539,,
time,0,after-clash,dependencies,8,799882,428150,313870,23674,34188,,97664,,
time,0,unique,dependencies,8,2004252,1518050,304609,24660,156933,229184,210213,,
time,0,unique,ordinary,1,183969,102953,34201,34519,12296,150950,165753,,
time,0,before-clash,ordinary,8,624078,268738,302581,23563,29196,,70637,,
time,0,after-success,ordinary,1,164874,93722,35042,26890,9220,134919,124322,,
time,0,before-clash,ordinary,1,77218,26010,32862,12081,6265,,64136,,
time,0,after-clash,specialized,8,4738428,4255886,423518,50194,8830,,533809,,
time,0,before-clash,graph,1,114959,53500,16935,32366,12158,,69510,,
time,0,after-clash,dependencies,1,140516,62273,41739,19821,16683,,125146,,
time,0,trivial,ordinary,1,93222,65404,1661,20057,6100,67027,57029,,
time,0,after-success,dependencies,8,1121015,672642,301135,16510,130728,115394,110786,,
time,0,unique,dependencies,1,278652,194687,35884,35705,12376,244525,224555,,
time,0,before-success,graph,8,13518283,13242493,204349,16931,54510,344796,343243,,
time,0,after-clash,graph,1,3449040,3401906,17721,14249,15164,,3360665,,
time,0,before-success,ordinary,1,184014,112171,35159,27715,8969,143656,145453,,
time,0,before-clash,specialized,8,3344210,2959671,331175,46048,7316,,436737,,
time,0,trivial,specialized,1,302699,247144,2533,46220,6802,226381,205657,,
time,1,after-clash,ordinary,1,103754,49471,33176,14255,6852,,89481,,
time,1,trivial,ordinary,8,747743,684776,10182,19267,33518,68290,68123,,
time,1,after-clash,specialized,8,3881946,3495019,331746,47624,7557,,509951,,
time,1,after-success,ordinary,8,1180221,748880,288313,16054,126974,122467,119117,,
time,1,after-success,graph,1,4083243,4024700,17673,28973,11897,374456,364758,,
time,1,before-clash,graph,1,80237,44722,14320,9927,11268,,61439,,
time,1,unique,dependencies,8,2075214,1582795,307875,24740,159804,229385,215988,,
time,1,before-clash,dependencies,8,589294,234404,302273,23390,29227,,68653,,
time,1,before-success,ordinary,1,206272,121492,41560,32782,10438,170302,155586,,
time,1,trivial,graph,8,14487918,14410768,12338,19619,45193,272340,287955,,
time,1,after-clash,dependencies,1,108503,52171,34700,14916,6716,,94488,,
time,1,after-success,ordinary,1,161410,90907,35064,26291,9148,131453,148345,,
time,1,before-success,dependencies,8,1217405,750418,324472,16388,126127,121233,114229,,
time,1,trivial,graph,1,1761561,1729569,1664,20929,9399,279197,300816,,
time,1,unique,specialized,1,644586,538386,38753,55393,12054,447712,534012,,
time,1,unique,ordinary,8,1330895,862870,296154,24421,147450,147854,132910,,
time,1,before-success,dependencies,1,188151,108868,36358,28865,14060,150820,161812,,
time,1,before-clash,ordinary,8,640855,272410,315934,21469,31042,,73042,,
time,1,after-clash,graph,8,27062728,26847341,162636,25412,27339,,3383785,,
time,1,after-clash,graph,1,3668397,3622040,16639,13854,15864,,3509662,,
time,1,before-success,specialized,8,6536203,6019010,354765,48323,114105,635592,752740,,
time,1,trivial,specialized,1,306792,251042,2724,45941,7085,231910,210757,,
time,1,after-success,dependencies,1,152352,81439,35769,26133,9011,122144,114443,,
time,1,before-clash,dependencies,1,80402,28957,32687,12634,6124,,68149,,
time,1,before-clash,graph,8,540400,376369,124605,21853,17573,,63411,,
time,1,unique,graph,1,4141314,4067059,17560,41730,14965,391436,373421,,
time,1,trivial,ordinary,1,96179,67549,1688,20709,6233,69453,58970,,
time,1,after-clash,ordinary,8,827027,451759,321099,23183,30986,,94992,,
time,1,after-success,specialized,8,5157478,4696951,370162,49425,40940,494782,550456,,
time,1,after-clash,dependencies,8,795208,419878,316847,23794,34689,,91540,,
time,1,before-success,graph,8,13421851,13146016,204864,17022,53949,348731,335840,,
time,1,after-success,specialized,1,589491,499837,38816,42184,8654,428552,520327,,
time,1,before-clash,ordinary,1,90997,31923,32679,12271,14124,,64219,,
time,1,before-clash,specialized,8,3280795,2895936,331562,46377,6920,,418606,,
time,1,before-success,specialized,1,686149,591617,38181,43024,13327,503147,622057,,
time,1,unique,graph,8,32460952,32073679,171383,26884,189006,387683,376481,,
time,1,unique,ordinary,1,221220,124543,42754,42405,11518,181042,139320,,
time,1,trivial,dependencies,1,97488,69336,1726,19634,6792,70471,61249,,
time,1,unique,dependencies,1,266366,184280,34495,35751,11840,233320,222484,,
time,1,unique,specialized,8,5376155,4865204,381646,70860,58445,525883,589721,,
time,1,after-clash,specialized,1,497450,408783,38898,44192,5577,,460834,,
time,1,after-success,graph,8,32380825,32069772,222633,28282,60138,370424,417108,,
time,1,trivial,dependencies,8,669323,609850,8998,18974,31501,70329,58628,,
time,1,before-success,graph,1,1476348,1424885,17055,24210,10198,324150,321285,,
time,1,before-clash,specialized,1,409722,324502,36859,42851,5510,,405147,,
time,1,trivial,specialized,8,2127836,1979774,64784,45941,37337,229127,211470,,
time,1,before-success,ordinary,8,1282832,832867,305092,17076,127797,133699,125966,,
time,1,after-success,dependencies,8,1149418,695027,301100,16993,136298,117689,107814,,
time,2,trivial,dependencies,8,685783,627834,9047,20070,28832,73396,61815,,
time,2,after-success,specialized,8,5096895,4621666,381073,46517,47639,486905,563776,,
time,2,after-clash,graph,1,3408555,3361556,17591,13875,15533,,3372579,,
time,2,trivial,graph,1,1798982,1765617,1677,22207,9481,296296,288806,,
time,2,after-success,ordinary,1,188653,108650,40865,29845,9293,155350,132665,,
time,2,after-success,specialized,1,635581,540393,38865,47166,9157,463040,544592,,
time,2,after-clash,specialized,1,533877,420829,47101,60515,5432,,452097,,
time,2,after-clash,dependencies,8,824043,439880,322333,25812,36018,,95349,,
time,2,after-clash,ordinary,8,798422,436103,307117,23106,32096,,97672,,
time,2,after-clash,dependencies,1,123991,56604,41827,18218,7342,,109678,,
time,2,before-clash,dependencies,8,609273,238609,314643,23646,32375,,70709,,
time,2,before-clash,graph,1,80916,45710,14185,9703,11318,,61890,,
time,2,after-success,dependencies,8,1176851,705049,317065,16425,138312,116334,109543,,
time,2,trivial,dependencies,1,102447,72740,1698,21139,6870,74128,64291,,
time,2,before-success,graph,8,13551961,13271960,207791,17291,54919,358343,332967,,
time,2,before-success,specialized,8,6476187,5968248,346491,45923,115525,611036,741946,,
time,2,unique,graph,1,4029019,3955940,17587,40994,14498,382348,370553,,
time,2,after-clash,specialized,8,3901146,3497478,348460,47574,7634,,500452,,
time,2,trivial,specialized,8,2238359,2080293,68544,47655,41867,239141,218404,,
time,2,after-success,graph,1,4370051,4303654,20289,33932,12176,423913,366870,,
time,2,before-success,graph,1,1658683,1604637,17726,25867,10453,338868,348896,,
time,2,before-clash,ordinary,8,633283,265513,312975,21845,32950,,77351,,
time,2,after-clash,ordinary,1,105804,49961,34456,14453,6934,,92903,,
time,2,unique,specialized,8,5458693,4934936,395425,66323,62009,514223,606203,,
time,2,before-success,dependencies,1,195283,113751,41899,29287,10346,156991,133308,,
time,2,trivial,specialized,1,307507,252314,2640,45440,7113,227353,224168,,
time,2,unique,ordinary,8,1341272,866979,298221,24515,151557,148000,146736,,
time,2,before-clash,specialized,1,433116,343884,39238,44894,5100,,424093,,
time,2,unique,dependencies,8,2081200,1591195,309308,24844,155853,234066,235788,,
time,2,before-success,specialized,1,697720,600658,39785,43529,13748,512594,658351,,
time,2,before-clash,specialized,8,3268380,2879141,335781,45638,7820,,405891,,
time,2,unique,specialized,1,686393,562627,46593,65908,11265,512819,561953,,
time,2,before-clash,dependencies,1,82390,30051,33071,12732,6536,,70384,,
time,2,trivial,graph,8,15093399,15013820,13138,19654,46787,275555,293314,,
time,2,before-success,ordinary,8,1266856,826071,298336,16710,125739,133880,126564,,
time,2,unique,dependencies,1,281521,195769,36761,37181,11810,247570,228311,,
time,2,after-clash,graph,8,26974301,26760346,161928,25003,27024,,3343976,,
time,2,after-success,graph,8,32136114,31821341,226441,29579,58753,388031,358316,,
time,2,unique,ordinary,1,216529,123364,40275,40353,12537,182075,141654,,
time,2,before-success,ordinary,1,171302,100985,34666,26897,8754,141076,129945,,
time,2,trivial,ordinary,1,92767,64947,1571,20212,6037,66591,57227,,
time,2,before-clash,ordinary,1,107135,37558,38939,14174,16464,,86277,,
time,2,before-clash,graph,8,537388,375876,123266,19247,18999,,63863,,
time,2,trivial,ordinary,8,640054,584015,8721,19847,27471,66785,54689,,
time,2,after-success,dependencies,1,169367,82908,35268,26705,24486,123829,138858,,
time,2,before-success,dependencies,8,1216583,768164,305037,16710,126672,131813,115649,,
time,2,unique,graph,8,32356218,31979403,163955,24955,187905,385232,376900,,
time,2,after-success,ordinary,8,1232594,776440,303963,16674,135517,126940,123048,,
time,3,before-success,specialized,8,6447256,5925084,355219,47837,119116,638267,722434,,
time,3,after-clash,ordinary,1,106115,49579,34827,14886,6823,,97543,,
time,3,before-success,dependencies,8,1219573,765195,306649,17240,130489,127358,117243,,
time,3,before-clash,dependencies,1,95989,33616,40277,15517,6579,,74535,,
time,3,unique,specialized,8,5231153,4731636,380479,67974,51064,507715,628059,,
time,3,trivial,graph,8,14829943,14746253,16379,20639,46672,296887,288299,,
time,3,unique,ordinary,8,1438409,930824,324330,26403,156852,163714,131747,,
time,3,before-success,graph,8,13658096,13370742,214629,17180,55545,355794,365712,,
time,3,after-clash,specialized,1,522524,428480,40486,48784,4774,,460759,,
time,3,after-success,ordinary,8,1236027,780611,303816,17831,133769,131144,120471,,
time,3,before-success,graph,1,1565298,1509052,18763,27562,9921,368904,335677,,
time,3,after-success,ordinary,1,171770,98269,35359,28827,9315,140699,126412,,
time,3,after-success,graph,8,33038598,32706463,240222,28530,63383,377898,364804,,
time,3,after-success,specialized,8,5219751,4752600,374765,51383,41003,486070,606971,,
time,3,unique,graph,8,32226467,31848585,165897,25070,186915,386143,384540,,
time,3,before-success,dependencies,1,182578,106220,36339,28887,11132,144589,144501,,
time,3,unique,ordinary,1,193382,111104,35554,35447,11277,159546,137432,,
time,3,trivial,specialized,1,335210,276491,2633,49755,6331,257208,204893,,
time,3,after-clash,graph,1,3429364,3381698,17314,14459,15893,,3387719,,
time,3,after-clash,dependencies,8,808108,431272,317379,25797,33660,,101956,,
time,3,after-success,graph,1,4059714,4001092,18290,29319,11013,368782,351825,,
time,3,trivial,graph,1,1878873,1845451,1734,22530,9158,292727,286353,,
time,3,trivial,dependencies,8,685835,626960,8722,19824,30329,73672,59020,,
time,3,after-clash,dependencies,1,109401,52960,34692,14854,6895,,95511,,
time,3,after-success,specialized,1,629373,529212,40572,50356,9233,454240,556123,,
time,3,trivial,ordinary,1,93499,64793,1849,20252,6605,66965,57631,,
time,3,before-success,ordinary,8,1336129,872848,313376,16404,133501,132953,125345,,
time,3,unique,graph,1,4191468,4114910,19139,43143,14276,409686,386945,,
time,3,after-success,dependencies,8,1137631,682488,301181,16630,137332,119978,110278,,
time,3,after-clash,graph,8,27403479,27174777,169704,31348,27650,,3446104,,
time,3,after-clash,ordinary,8,802188,436482,311072,22397,32237,,97205,,
time,3,before-clash,graph,1,82572,45812,14639,9954,12167,,63567,,
time,3,trivial,ordinary,8,631205,576636,8400,19236,26933,64694,53184,,
time,3,before-clash,specialized,1,428831,335806,45117,42874,5034,,376823,,
time,3,unique,dependencies,1,275941,192241,35001,36378,12321,242140,222267,,
time,3,after-clash,specialized,8,3940410,3540389,345462,47247,7312,,499824,,
time,3,before-clash,graph,8,524966,365319,120713,21064,17870,,61845,,
time,3,trivial,dependencies,1,98948,70548,1937,19602,6861,71550,62306,,
time,3,before-clash,dependencies,8,607338,240259,312582,23636,30861,,70892,,
time,3,before-success,specialized,1,736551,636110,41561,45569,13311,538137,619765,,
time,3,before-clash,specialized,8,3336610,2945776,336167,47587,7080,,400445,,
time,3,before-success,ordinary,1,181297,107779,36783,27412,9323,149094,138389,,
time,3,trivial,specialized,8,2253625,2097080,75231,45978,35336,239161,225559,,
time,3,unique,specialized,1,704620,571854,44660,73152,14954,522583,551885,,
time,3,before-clash,ordinary,8,622060,263245,305734,22666,30415,,77255,,
time,3,before-clash,ordinary,1,93110,33404,34049,12170,13487,,74057,,
time,3,after-success,dependencies,1,159482,86535,35976,27471,9500,127921,113878,,
time,3,unique,dependencies,8,2106929,1603282,319385,26008,158254,240829,230296,,
time,4,trivial,specialized,8,2266863,2109452,77080,47194,33137,230839,222138,,
time,4,before-success,dependencies,8,1169234,733828,294035,16720,124651,119659,116630,,
time,4,before-clash,graph,8,552846,381005,132619,20285,18937,,64448,,
time,4,before-success,graph,8,13421597,13148134,202015,16187,55261,328357,334866,,
time,4,after-success,specialized,1,642404,535022,40369,58061,8952,463034,552780,,
time,4,after-success,graph,1,4110314,4051575,17971,29586,11182,371182,356282,,
time,4,unique,specialized,1,658207,543741,39759,63831,10876,479003,535717,,
time,4,before-success,dependencies,1,173243,98535,36754,28455,9499,140486,127665,,
time,4,after-clash,dependencies,8,825663,439535,325883,24731,35514,,98216,,
time,4,unique,dependencies,8,2173099,1661804,324198,25791,161306,241699,221531,,
time,4,before-success,ordinary,1,180282,105204,36882,28880,9316,148428,136765,,
time,4,after-clash,specialized,1,517520,422145,41163,48820,5392,,483363,,
