{'scan': {'loss': 1, 'unresolved': 7, 'gain': 16}, 'index': {'unresolved': 8, 'gain': 16}, 'specialized-scan': {'unresolved': 8, 'gain': 16}, 'specialized-index': {'unresolved': 8, 'gain': 16}}
(0, 'empty', 1, 1, 'need', 'take', 'complete') unresolved [1.404, 1.319]
(0, 'empty', 1, 1, 'need', 'later', 'complete') unresolved [1.282, 1.219]
(0, 'empty', 1, 1, 'token', 'take', 'complete') unresolved [1.195, 1.336]
(0, 'empty', 1, 1, 'token', 'later', 'complete') unresolved [1.307, 1.256]
(2, 'tight', 1, 1, 'need', 'take', 'complete') unresolved [1.111, 1.229]
(2, 'tight', 1, 1, 'need', 'later', 'complete') unresolved [1.182, 1.232]
(2, 'tight', 1, 1, 'token', 'take', 'complete') unresolved [1.078, 1.047]
(2, 'tight', 1, 1, 'token', 'later', 'complete') unresolved [1.123, 1.144]
(4, 'tight', 1, 4, 'need', 'take', 'complete') gain [0.555, 0.589]
(4, 'tight', 1, 4, 'need', 'later', 'complete') gain [0.619, 0.607]
(4, 'tight', 1, 4, 'token', 'take', 'complete') gain [0.581, 0.598]
(4, 'tight', 1, 4, 'token', 'later', 'complete') gain [0.571, 0.574]
(4, 'empty', 1, 4, 'need', 'take', 'complete') gain [0.22, 0.238]
(4, 'empty', 1, 4, 'need', 'later', 'complete') gain [0.211, 0.208]
(4, 'empty', 1, 4, 'token', 'take', 'complete') gain [0.268, 0.241]
(4, 'empty', 1, 4, 'token', 'later', 'complete') gain [0.236, 0.262]
(4, 'spare', 2, 4, 'need', 'take', 'complete') gain [0.774, 0.82]
(4, 'spare', 2, 4, 'need', 'later', 'complete') gain [0.745, 0.717]
(4, 'spare', 2, 4, 'token', 'take', 'complete') gain [0.692, 0.71]
(4, 'spare', 2, 4, 'token', 'later', 'complete') gain [0.709, 0.69]
(4, 'spare', 2, 4, 'need', 'take', 'first') gain [0.569, 0.567]
(4, 'spare', 2, 4, 'need', 'later', 'first') gain [0.571, 0.57]
(4, 'spare', 2, 4, 'token', 'take', 'first') gain [0.513, 0.486]
(4, 'spare', 2, 4, 'token', 'later', 'first') gain [0.531, 0.532]
