{'eager': {'unresolved': 25, 'gain': 2}, 'covered': {'unresolved': 24, 'gain': 3}}
('eager', 0, 0, 1) unresolved 1.041 service unresolved
('eager', 0, 0, 4) unresolved 1.153 service unresolved
('eager', 0, 0, 16) unresolved 1.078 service gain
('eager', 0, 16, 1) unresolved 1.077 service unresolved
('eager', 0, 16, 4) unresolved 0.985 service gain
('eager', 0, 16, 16) gain 0.702 service gain
('eager', 0, 64, 1) unresolved 1.141 service unresolved
('eager', 0, 64, 4) unresolved 0.758 service gain
('eager', 0, 64, 16) gain 0.341 service gain
('eager', 484, 0, 1) unresolved 1.032 service unresolved
('eager', 484, 0, 4) unresolved 1.043 service unresolved
('eager', 484, 0, 16) unresolved 1.017 service unresolved
('eager', 484, 16, 1) unresolved 1.017 service unresolved
('eager', 484, 16, 4) unresolved 1.029 service unresolved
('eager', 484, 16, 16) unresolved 1.005 service unresolved
('eager', 484, 64, 1) unresolved 1.146 service loss
('eager', 484, 64, 4) unresolved 1.014 service unresolved
('eager', 484, 64, 16) unresolved 1.005 service unresolved
('eager', 511, 0, 1) unresolved 1.041 service unresolved
('eager', 511, 0, 4) unresolved 1.052 service unresolved
('eager', 511, 0, 16) unresolved 1.046 service unresolved
('eager', 511, 16, 1) unresolved 1.039 service unresolved
('eager', 511, 16, 4) unresolved 1.002 service unresolved
('eager', 511, 16, 16) unresolved 1.002 service unresolved
('eager', 511, 64, 1) unresolved 1.026 service unresolved
('eager', 511, 64, 4) unresolved 0.987 service unresolved
('eager', 511, 64, 16) unresolved 1.044 service unresolved
('covered', 0, 0, 1) unresolved 1.001 service unresolved
('covered', 0, 0, 4) unresolved 1.118 service unresolved
('covered', 0, 0, 16) unresolved 1.084 service unresolved
('covered', 0, 16, 1) unresolved 0.99 service unresolved
('covered', 0, 16, 4) unresolved 0.913 service gain
('covered', 0, 16, 16) gain 0.641 service gain
('covered', 0, 64, 1) unresolved 1.015 service unresolved
('covered', 0, 64, 4) gain 0.635 service gain
('covered', 0, 64, 16) gain 0.297 service gain
('covered', 484, 0, 1) unresolved 1.038 service unresolved
('covered', 484, 0, 4) unresolved 1.092 service unresolved
('covered', 484, 0, 16) unresolved 1.069 service unresolved
('covered', 484, 16, 1) unresolved 1.005 service unresolved
('covered', 484, 16, 4) unresolved 0.987 service unresolved
('covered', 484, 16, 16) unresolved 0.925 service unresolved
('covered', 484, 64, 1) unresolved 1.037 service unresolved
('covered', 484, 64, 4) unresolved 0.85 service unresolved
('covered', 484, 64, 16) unresolved 0.817 service unresolved
('covered', 511, 0, 1) unresolved 1.0 service unresolved
('covered', 511, 0, 4) unresolved 0.991 service unresolved
('covered', 511, 0, 16) unresolved 1.007 service unresolved
('covered', 511, 16, 1) unresolved 1.079 service unresolved
('covered', 511, 16, 4) unresolved 1.014 service unresolved
('covered', 511, 16, 16) unresolved 1.054 service unresolved
('covered', 511, 64, 1) unresolved 0.982 service unresolved
('covered', 511, 64, 4) unresolved 0.987 service unresolved
('covered', 511, 64, 16) unresolved 1.029 service unresolved
