family,reuse,mode,median_ms,min_ms,max_ms,requested_mib,preparation_ms,prepared_disposal_ms,setup_ms,execution_observation_ms,engine_disposal_ms,answer_disposal_ms,answers
contradiction,1,direct,0.007244,0.006986,0.007817,0.014965057373046875,0.004555,0.001118,0.000893,0.000405,0.00015,5.3e-05,0
contradiction,1,global-scan,0.022913,0.022749,0.023622,0.03569221496582031,0.007588,0.001304,0.001829,0.011201,0.001208,5.8e-05,0
contradiction,1,global-index,0.026875,0.024876,0.033195,0.04310035705566406,0.007919,0.001193,0.001975,0.014311,0.001362,5.3e-05,0
contradiction,16,direct,0.024431,0.023482,0.027318,0.046311378479003906,0.004545,0.001121,0.011609,0.005432,0.0013,0.000299,0
contradiction,16,global-scan,0.220866,0.214328,0.241786,0.39832115173339844,0.007576,0.001225,0.028821,0.168125,0.014457,0.000316,0
contradiction,16,global-index,0.288228,0.275826,0.298003,0.5231685638427734,0.008007,0.001422,0.037193,0.233507,0.006582,0.000323,0
dense,1,direct,0.048987,0.04701,0.052381,0.11822795867919922,0.010706,0.001777,0.000912,0.029726,0.000206,0.005667,64
dense,1,global-scan,0.583991,0.571496,0.599702,1.2004289627075195,0.020032,0.002885,0.003144,0.527771,0.023083,0.006454,64
dense,1,global-index,0.590726,0.578398,0.613628,1.2492799758911133,0.020514,0.00278,0.003134,0.535303,0.022241,0.006232,64
dense,16,direct,0.393856,0.388087,0.419397,0.8278818130493164,0.010798,0.001816,0.01368,0.326872,0.001924,0.039973,448
dense,16,global-scan,9.36222,9.1345,11.096707,18.125905990600586,0.020106,0.003691,0.253386,8.544735,0.486765,0.053005,448
dense,16,global-index,10.774274,10.458087,11.017766,22.66237449645996,0.020988,0.003351,0.259222,9.925773,0.515373,0.047656,448
disconnected,1,direct,0.017068,0.016317,0.017656,0.03649425506591797,0.004306,0.001097,0.000875,0.009015,0.000204,0.001542,16
disconnected,1,global-scan,0.089747,0.087171,0.113657,0.1312265396118164,0.007489,0.001259,0.009766,0.068961,8e-05,0.00178,16
disconnected,1,global-index,0.098227,0.093744,0.121428,0.1406564712524414,0.007942,0.001331,0.010385,0.077159,8.8e-05,0.001782,16
disconnected,16,direct,0.097136,0.095495,0.134234,0.21639347076416016,0.004432,0.001152,0.0122,0.068056,0.001663,0.010015,112
disconnected,16,global-scan,1.223212,1.166398,1.325451,1.875509262084961,0.007403,0.001362,0.139086,1.062882,0.000795,0.011685,112
disconnected,16,global-index,1.496754,1.379722,1.912706,2.264120101928711,0.0088,0.001584,0.151893,1.325574,0.000894,0.012029,112
duplicate,1,direct,0.013725,0.013645,0.014433,0.03042125701904297,0.005391,0.001265,0.000768,0.005418,0.000177,0.000927,8
duplicate,1,global-scan,0.108883,0.102119,0.11244,0.20816898345947266,0.009884,0.001464,0.005191,0.090985,0.000108,0.001046,8
duplicate,1,global-index,0.125667,0.122199,0.160104,0.2317514419555664,0.01114,0.001492,0.002462,0.101442,0.006508,0.001127,8
duplicate,16,direct,0.087319,0.082703,0.089438,0.1878213882446289,0.005761,0.001249,0.011822,0.05889,0.001652,0.008129,80
duplicate,16,global-scan,1.639284,1.537752,1.70647,3.1361751556396484,0.009782,0.001843,0.062607,1.460809,0.097953,0.01233,80
duplicate,16,global-index,2.025273,1.975107,2.048696,3.9372920989990234,0.011123,0.001597,0.072626,1.819467,0.10858,0.010201,80
sparse,1,direct,0.063341,0.062939,0.064323,0.1347513198852539,0.029503,0.004745,0.000996,0.025671,0.000169,0.003056,32
sparse,1,global-scan,4.992815,4.812042,6.304983,8.117890357971191,0.041892,0.006462,0.00463,4.914879,0.020113,0.004092,32
sparse,1,global-index,5.027168,4.872937,5.326079,8.208489418029785,0.038898,0.006229,0.004707,4.934087,0.01986,0.004037,32
sparse,16,direct,0.334451,0.312493,0.371421,0.6230936050415039,0.028638,0.004618,0.01348,0.26303,0.001882,0.023402,264
sparse,16,global-scan,84.995954,81.632366,91.541052,129.94978141784668,0.040301,0.008632,0.201618,84.321766,0.322276,0.07382,264
sparse,16,global-index,85.245084,84.469216,88.264041,146.71476554870605,0.042395,0.008123,0.206676,84.667311,0.270238,0.045601,264
tiny,1,direct,0.005301,0.005235,0.005687,0.012319564819335938,0.002213,0.0007,0.00076,0.00121,0.000182,0.000302,1
tiny,1,global-scan,0.014771,0.013299,0.014928,0.01627349853515625,0.004712,0.000745,0.001978,0.00638,0.000327,0.000335,1
tiny,1,global-index,0.018355,0.017218,0.020732,0.0203094482421875,0.004479,0.001267,0.003033,0.009054,0.000272,0.000375,1
tiny,16,direct,0.039966,0.036691,0.054516,0.0795907974243164,0.002343,0.000688,0.011823,0.021645,0.001398,0.002091,16
tiny,16,global-scan,0.129813,0.122678,0.13718,0.15704917907714844,0.004389,0.000771,0.022609,0.096061,0.003366,0.002072,16
tiny,16,global-index,0.182957,0.169697,0.193134,0.22812461853027344,0.004738,0.000767,0.027915,0.142666,0.003607,0.002319,16
