build,mode,family,n,reuse,consumer,requested_bytes,peak_above_start,consumer_retained_bytes,completed_requested_bytes,cancellation_requested_bytes,completed_wall_median_ns,completed_wall_min_ns,completed_wall_max_ns,wall_median_ns,wall_min_ns,wall_max_ns
off,conditional,history,0,1,query,26267,5993,0,9314,16953,8893,8148,10764,18964,15963,23868
off,conditional,history,0,1,prepared,26267,6288,295,9314,16953,12546,7409,13294,27258,16366,40398
off,conditional,history,0,4,query,47915,5993,0,30962,16953,23273,21667,27666,36186,33242,41599
off,conditional,history,0,4,prepared,47915,7173,1180,30962,16953,25434,21927,30854,45107,33373,49759
off,conditional,history,1,1,query,539153,26065,0,424190,114963,351759,263602,552694,447915,329780,671532
off,conditional,history,1,1,prepared,539153,26065,4931,424190,114963,488626,421238,533682,595888,535275,669773
off,conditional,history,1,4,query,1805429,26065,0,1690466,114963,1608144,1018048,2224920,1683155,1086536,2342274
off,conditional,history,1,4,prepared,1805429,40858,19724,1690466,114963,1361635,1221686,2066112,1445343,1314288,2207967
off,conditional,history,3,1,query,2588745,53717,0,2395278,193467,1339299,1237822,1537658,1492668,1382757,1701331
off,conditional,history,3,1,prepared,2588745,53717,11555,2395278,193467,1430984,1247650,3075598,1577029,1381283,3373455
off,conditional,history,3,4,query,9768285,53717,0,9574818,193467,6046348,5269855,10974182,6183415,5408967,11168170
off,conditional,history,3,4,prepared,9768285,88382,46220,9574818,193467,5596880,5019201,6260506,5728848,5164687,6421265
off,conditional,chain,0,1,query,48656,8023,0,18653,30003,26655,12851,27498,67882,31043,75799
off,conditional,chain,0,1,prepared,48656,8322,299,18653,30003,26478,24411,30897,69263,60741,82411
off,conditional,chain,0,4,query,95513,8023,0,65510,30003,79866,59732,110525,113486,87074,158600
off,conditional,chain,0,4,prepared,95513,9219,1196,65510,30003,69665,38906,82954,100955,57119,120490
off,conditional,chain,1,1,query,215167,15005,0,144781,70386,175738,106916,191320,253816,163385,280132
off,conditional,chain,1,1,prepared,215167,15005,299,144781,70386,112723,105547,194070,166871,155947,282212
off,conditional,chain,1,4,query,640408,15005,0,570022,70386,686618,440130,798887,765284,509287,900939
off,conditional,chain,1,4,prepared,640408,15902,1196,570022,70386,560628,427870,706785,629582,483018,789876
off,conditional,chain,3,1,query,492111,26533,0,391893,100218,453898,292460,637512,574827,379429,803028
off,conditional,chain,3,1,prepared,492111,26533,299,391893,100218,446854,270619,580691,571039,356104,730325
off,conditional,chain,3,4,query,1658688,26533,0,1558470,100218,1822777,1048881,2259372,1923039,1129550,2430036
off,conditional,chain,3,4,prepared,1658688,27430,1196,1558470,100218,1508318,1219711,2011105,1609832,1325023,2145606
off,conditional,wide,0,1,query,24153,4231,0,7240,16913,7943,6340,19503,22785,17413,31230
off,conditional,wide,0,1,prepared,24153,4526,295,7240,16913,6317,5996,7260,21785,16789,23222
off,conditional,wide,0,4,query,45753,4231,0,28840,16913,19589,13116,27783,32171,22039,45523
off,conditional,wide,0,4,prepared,45753,5411,1180,28840,16913,20924,12448,26896,35221,21898,46533
off,conditional,wide,1,1,query,110779,11708,0,58224,52555,70793,68498,95428,133101,129373,184998
off,conditional,wide,1,1,prepared,110779,11708,711,58224,52555,72130,51465,80867,137107,98448,164921
off,conditional,wide,1,4,query,270163,11708,0,217608,52555,267898,203004,300210,333598,256441,373978
off,conditional,wide,1,4,prepared,270163,13841,2844,217608,52555,240495,163025,286344,294993,227240,354623
off,conditional,wide,3,1,query,1305229,71734,0,1146540,158689,1152437,755072,1515996,1285221,861567,1691182
off,conditional,wide,3,1,prepared,1305229,71734,4989,1146540,158689,845895,759030,1240345,972623,868608,1422576
off,conditional,wide,3,4,query,4601077,71734,0,4442388,158689,3027379,2785641,4590703,3134841,2877949,4725367
off,conditional,wide,3,4,prepared,4601077,86701,19956,4442388,158689,4704453,2950854,5831400,4823203,3050670,6012527
off,conditional,choices,0,1,query,26902,6628,0,9949,16953,10749,6863,12499,24512,15896,37406
off,conditional,choices,0,1,prepared,26902,6923,295,9949,16953,11241,10004,17831,29011,25964,43837
off,conditional,choices,0,4,query,48550,6628,0,31597,16953,26503,14354,27572,41894,22374,43439
off,conditional,choices,0,4,prepared,48550,7808,1180,31597,16953,16471,13279,24231,26065,21840,39974
off,conditional,choices,1,1,query,83297,9687,0,33525,49772,49568,31135,57452,115039,79358,128356
off,conditional,choices,1,1,prepared,83297,10478,942,33525,49772,42018,39211,56611,97987,91571,127988
off,conditional,choices,1,4,query,175673,9687,0,125901,49772,151802,84715,175376,205650,116041,236469
off,conditional,choices,1,4,prepared,175673,13304,3768,125901,49772,136129,99461,193737,185750,135511,263297
off,conditional,choices,3,1,query,170625,15965,0,106341,64284,187436,115693,191390,239814,156096,260057
off,conditional,choices,3,1,prepared,170625,16058,5432,106341,64284,140443,127616,180310,203451,173872,234861
off,conditional,choices,3,4,query,481449,15965,0,417165,64284,662028,437022,900529,723335,479268,989918
off,conditional,choices,3,4,prepared,481449,32354,21728,417165,64284,607361,460395,805236,669388,501345,878590
off,conditional,mixed_same,0,1,query,27149,6643,0,10100,17049,9917,7960,10372,22890,17449,23470
off,conditional,mixed_same,0,1,prepared,27149,6938,295,10100,17049,10150,7393,20199,26388,17536,35906
off,conditional,mixed_same,0,4,query,48941,6643,0,31892,17049,19612,15090,31229,30514,23546,48006
off,conditional,mixed_same,0,4,prepared,48941,7823,1180,31892,17049,24278,22967,26341,43738,39060,44167
off,conditional,mixed_same,1,1,query,69217,8345,0,29750,39467,47434,43022,57111,104565,94596,124865
off,conditional,mixed_same,1,1,prepared,69217,8652,307,29750,39467,44667,41810,50828,97969,92087,110733
off,conditional,mixed_same,1,4,query,149959,8345,0,110492,39467,128415,86754,184029,175909,120808,250253
off,conditional,mixed_same,1,4,prepared,149959,9573,1228,110492,39467,82816,78097,128284,114470,107870,175412
off,conditional,mixed_same,3,1,query,198116,12811,0,134592,63524,161713,148117,268467,246912,217119,425760
off,conditional,mixed_same,3,1,prepared,198116,13334,523,134592,63524,107037,85542,163612,163241,128421,246001
off,conditional,mixed_same,3,4,query,593384,12811,0,529860,63524,475598,332944,823963,537334,382815,899147
off,conditional,mixed_same,3,4,prepared,593384,14903,2092,529860,63524,657105,390672,737057,720144,443526,824723
off,conditional,independent,0,1,query,36276,12706,0,19003,17273,15839,13198,18513,26669,22868,33793
off,conditional,independent,0,1,prepared,36276,13001,295,19003,17273,22483,15106,38859,44718,26148,62268
off,conditional,independent,0,4,query,58404,12706,0,41131,17273,35894,30988,42729,49112,42885,57824
off,conditional,independent,0,4,prepared,58404,13886,1180,41131,17273,43709,23395,88170,63036,34139,115626
off,conditional,independent,1,1,query,181989,21396,0,130276,51713,140046,127120,212706,188471,174496,291020
off,conditional,independent,1,1,prepared,181989,21396,2420,130276,51713,144217,108619,241657,197791,146469,328353
off,conditional,independent,1,4,query,535536,21396,0,483823,51713,698859,460312,835039,768718,503749,890155
off,conditional,independent,1,4,prepared,535536,28656,9680,483823,51713,779912,395854,982902,853822,434438,1070298
off,conditional,independent,3,1,query,923775,62428,0,863792,59983,924297,705072,1447014,996617,763805,1547283
off,conditional,independent,3,1,prepared,923775,62428,23168,863792,59983,955327,777329,1454805,1036616,836164,1554080
off,conditional,independent,3,4,query,3473070,62428,0,3413087,59983,3925721,3168774,5276608,4001907,3232509,5373393
off,conditional,independent,3,4,prepared,3473070,131932,92672,3413087,59983,4049156,3084773,6550488,4110509,3142611,6644420
off,conditional,delayed,0,1,query,36476,12906,0,19203,17273,20686,13964,24858,35889,23256,44211
off,conditional,delayed,0,1,prepared,36476,13201,295,19203,17273,21840,18438,35120,41806,36298,47837
off,conditional,delayed,0,4,query,58604,12906,0,41331,17273,36808,23685,43666,51230,32344,60281
off,conditional,delayed,0,4,prepared,58604,14086,1180,41331,17273,34730,27068,43043,50271,38591,63167
off,conditional,delayed,1,1,query,232050,21712,0,181604,50446,296150,172681,331878,365557,222743,419336
off,conditional,delayed,1,1,prepared,232050,21712,2420,181604,50446,196468,167186,293022,257617,211843,367177
off,conditional,delayed,1,4,query,738981,21712,0,688535,50446,989296,605705,1192664,1050049,645751,1276727
off,conditional,delayed,1,4,prepared,738981,28972,9680,688535,50446,1001781,599800,1469646,1064719,640291,1573587
off,conditional,delayed,3,1,query,1352119,65352,0,1292136,59983,1434813,1152623,2279209,1512185,1216582,2369617
off,conditional,delayed,3,1,prepared,1352119,65352,23168,1292136,59983,1265845,981151,1345191,1328274,1028933,1403840
off,conditional,delayed,3,4,query,5185846,65352,0,5125863,59983,4748291,4292100,5905687,4815638,4363059,5992665
off,conditional,delayed,3,4,prepared,5185846,134856,92672,5125863,59983,5940263,4844989,7313151,5995947,4901807,7374897
on,conditional,history,0,1,query,26267,5993,0,9314,16953,10971,7614,12859,22738,16028,29675
on,conditional,history,0,1,prepared,26267,6288,295,9314,16953,11835,10951,14214,27087,24856,30996
on,conditional,history,0,4,query,47915,5993,0,30962,16953,23153,13303,45544,35784,20864,59118
on,conditional,history,0,4,prepared,47915,7173,1180,30962,16953,28555,22878,30157,43783,36012,46099
on,conditional,history,1,1,query,539153,26065,0,424190,114963,296964,252268,441047,368895,315949,535384
on,conditional,history,1,1,prepared,539153,26065,4931,424190,114963,400449,247492,574681,486164,306930,697285
on,conditional,history,1,4,query,1805429,26065,0,1690466,114963,1890624,1171766,2479229,2008973,1239173,2645429
on,conditional,history,1,4,prepared,1805429,40858,19724,1690466,114963,1322786,1042690,2445480,1404237,1116435,2559999
on,conditional,history,3,1,query,2588745,53717,0,2395278,193467,1818794,1089511,2012929,2072768,1207008,2284995
on,conditional,history,3,1,prepared,2588745,53717,11555,2395278,193467,1954343,1361692,2619703,2100951,1510399,2847123
on,conditional,history,3,4,query,9768285,53717,0,9574818,193467,5737496,5370664,7673770,5879999,5519251,7886874
on,conditional,history,3,4,prepared,9768285,88382,46220,9574818,193467,6217228,5498778,7219562,6362321,5633344,7396636
on,conditional,chain,0,1,query,48656,8023,0,18653,30003,24299,19943,33759,59872,46961,82950
on,conditional,chain,0,1,prepared,48656,8322,299,18653,30003,24820,16803,26879,61285,38687,66566
