mode,family,choices,depth,reuse,schedule,requested_bytes,peak_above_start,wall_median_ns,wall_min_ns,wall_max_ns
inferred,common,0,0,1,eligible,28315,9494,46376,42663,61053
inferred,common,0,0,1,missing-permit,26728,9494,42907,40816,45061
inferred,common,0,0,1,unknown,27423,9494,42437,42062,50182
inferred,common,0,0,4,eligible,65890,9494,92602,91503,97447
inferred,common,0,0,4,missing-permit,58101,9494,82615,43496,95060
inferred,common,0,0,4,unknown,60298,9494,85489,50068,124960
inferred,common,0,16,1,eligible,40123,11159,67082,65873,69916
inferred,common,0,16,1,missing-permit,45368,14116,72956,66723,91136
inferred,common,0,16,1,unknown,38759,11159,70973,63331,81824
inferred,common,0,16,4,eligible,95410,11159,144362,142678,150150
inferred,common,0,16,4,missing-permit,110227,17941,154581,89846,201422
inferred,common,0,16,4,unknown,92866,13541,129296,127541,146694
inferred,common,3,0,1,eligible,110406,50988,143462,139046,176941
inferred,common,3,0,1,missing-permit,108573,50988,138318,135046,152511
inferred,common,3,0,1,unknown,109268,50988,139666,102587,148265
inferred,common,3,0,4,eligible,382170,50988,450783,234914,497879
inferred,common,3,0,4,missing-permit,357375,50988,369582,211310,470701
inferred,common,3,0,4,unknown,341886,50988,371769,364238,395283
inferred,common,3,16,1,eligible,122214,52604,161447,88746,290328
inferred,common,3,16,1,missing-permit,127213,52604,158371,154605,173545
inferred,common,3,16,1,unknown,120604,52604,153541,95392,163719
inferred,common,3,16,4,eligible,411690,52604,459816,262698,525223
inferred,common,3,16,4,missing-permit,462483,82469,491492,314854,505799
inferred,common,3,16,4,unknown,412310,64817,427917,416222,442961
inferred,independent,0,0,1,eligible,27875,9398,45307,41814,49519
inferred,independent,0,0,1,missing-permit,26288,9398,43765,41361,55589
inferred,independent,0,0,1,unknown,26983,9398,44904,41843,65318
inferred,independent,0,0,4,eligible,65330,9398,94232,85498,107371
inferred,independent,0,0,4,missing-permit,57541,9398,81720,80984,103156
inferred,independent,0,0,4,unknown,59738,9398,86732,53054,96969
inferred,independent,0,16,1,eligible,39683,11063,67303,38505,74333
inferred,independent,0,16,1,missing-permit,44928,14020,71629,55471,81714
inferred,independent,0,16,1,unknown,38319,11063,58303,35662,69570
inferred,independent,0,16,4,eligible,94850,11063,142298,84580,164931
inferred,independent,0,16,4,missing-permit,109667,17845,150712,88108,159503
inferred,independent,0,16,4,unknown,92306,13445,132186,126059,136742
inferred,independent,3,0,1,eligible,151031,60475,228400,207321,265801
inferred,independent,3,0,1,missing-permit,149502,60475,219803,207951,242129
inferred,independent,3,0,1,unknown,150197,60475,209767,206455,215050
inferred,independent,3,0,4,eligible,497459,60475,611200,354541,635162
inferred,independent,3,0,4,missing-permit,419026,60475,481972,278311,547467
inferred,independent,3,0,4,unknown,443987,60475,573083,545451,824150
inferred,independent,3,16,1,eligible,162551,62091,237399,220369,284345
inferred,independent,3,16,1,missing-permit,167062,62091,227308,222125,235405
inferred,independent,3,16,1,unknown,160453,62091,213608,141913,288662
inferred,independent,3,16,4,eligible,526259,62091,601034,384689,691870
inferred,independent,3,16,4,missing-permit,545272,93398,687916,424004,839838
inferred,independent,3,16,4,unknown,515043,73518,501256,377759,662161
declared,common,0,0,1,eligible,28349,9511,43544,25994,46996
declared,common,0,0,1,missing-permit,26762,9511,46062,24480,50280
declared,common,0,0,1,unknown,22595,9511,39096,26019,50779
declared,common,0,0,4,eligible,65924,9511,94240,54482,132297
declared,common,0,0,4,missing-permit,58135,9511,83620,57198,95584
declared,common,0,0,4,unknown,36814,9511,59183,37951,63033
declared,common,0,16,1,eligible,40157,11176,67019,38337,96267
declared,common,0,16,1,missing-permit,45402,14133,73162,55824,84163
declared,common,0,16,1,unknown,31091,11176,52087,51523,54998
declared,common,0,16,4,eligible,95444,11176,149546,147655,166576
declared,common,0,16,4,missing-permit,110261,17958,152636,110517,324040
declared,common,0,16,4,unknown,56398,11176,89813,84423,139288
declared,common,3,0,1,eligible,110440,51005,140041,83268,144572
declared,common,3,0,1,missing-permit,108607,51005,170302,138272,241336
declared,common,3,0,1,unknown,104338,51005,126357,73598,160682
declared,common,3,0,4,eligible,382204,51005,418205,415345,469008
declared,common,3,0,4,missing-permit,357409,51005,385972,370554,409437
declared,common,3,0,4,unknown,197668,51005,154775,130515,278396
declared,common,3,16,1,eligible,122248,52621,153775,91061,155078
declared,common,3,16,1,missing-permit,127247,52621,162880,158232,177412
declared,common,3,16,1,unknown,112834,52621,139607,82907,148988
declared,common,3,16,4,eligible,411724,52621,463017,265047,470666
