build,mode,family,n,reuse,completed_requested_bytes,cancellation_requested_bytes,peak_above_start
general,conditional,history,0,1,9314,16953,5993
general,conditional,history,0,4,30962,16953,5993
general,conditional,history,3,1,2395278,193467,53717
general,conditional,history,3,4,9574818,193467,53717
general,conditional,choices,0,1,9949,16953,6628
general,conditional,choices,0,4,31597,16953,6628
general,conditional,choices,3,1,106341,64284,15965
general,conditional,choices,3,4,417165,64284,15965
general,conditional,mixed_same,0,1,10100,17049,6643
general,conditional,mixed_same,0,4,31892,17049,6643
general,conditional,mixed_same,3,1,134592,63524,12811
general,conditional,mixed_same,3,4,529860,63524,12811
general,inferred,history,0,1,9011,13929,5701
general,inferred,history,0,4,27563,13929,5701
general,inferred,history,3,1,2368639,190075,43692
general,inferred,history,3,4,9466075,190075,43692
general,inferred,choices,0,1,9650,13929,6340
general,inferred,choices,0,4,28202,13929,6340
general,inferred,choices,3,1,104826,67244,15180
general,inferred,choices,3,4,408906,67244,15180
general,inferred,mixed_same,0,1,10119,13929,6721
general,inferred,mixed_same,0,4,28671,13929,6721
general,inferred,mixed_same,3,1,133595,66323,12979
general,inferred,mixed_same,3,4,522575,66323,12979
serial,conditional,history,0,1,9314,16953,5993
serial,conditional,history,0,4,30962,16953,5993
serial,conditional,history,3,1,2329230,192435,53717
serial,conditional,history,3,4,9310626,192435,53717
serial,conditional,choices,0,1,9949,16953,6628
serial,conditional,choices,0,4,31597,16953,6628
serial,conditional,choices,3,1,103245,62500,15965
serial,conditional,choices,3,4,404781,62500,15965
serial,conditional,mixed_same,0,1,10100,17049,6643
serial,conditional,mixed_same,0,4,31892,17049,6643
serial,conditional,mixed_same,3,1,128400,62836,12773
serial,conditional,mixed_same,3,4,505092,62836,12773
serial,inferred,history,0,1,9011,13929,5701
serial,inferred,history,0,4,27563,13929,5701
serial,inferred,history,3,1,2302591,189019,43692
serial,inferred,history,3,4,9201883,189019,43692
serial,inferred,choices,0,1,9650,13929,6340
serial,inferred,choices,0,4,28202,13929,6340
serial,inferred,choices,3,1,101730,65576,15180
serial,inferred,choices,3,4,396522,65576,15180
serial,inferred,mixed_same,0,1,10119,13929,6721
serial,inferred,mixed_same,0,4,28671,13929,6721
serial,inferred,mixed_same,3,1,127403,65635,12979
serial,inferred,mixed_same,3,4,497807,65635,12979
