0 {'mode': 'dependencies', 'resource': False, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 0} 0
1 {'mode': 'dependencies', 'resource': False, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 1} 0
2 {'mode': 'dependencies', 'resource': False, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 0} 0
3 {'mode': 'dependencies', 'resource': False, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 1} 0
4 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 0} 0
5 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 1} 0
6 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 0} 0
7 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 1} 0
8 {'mode': 'dependencies', 'resource': True, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 0} 0
9 {'mode': 'dependencies', 'resource': True, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 1} 0
10 {'mode': 'dependencies', 'resource': True, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 0} 0
11 {'mode': 'dependencies', 'resource': True, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 1} 0
12 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 0} 0
13 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 1} 0
14 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 0} 0
15 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 1} 0
16 {'mode': 'templates', 'resource': False, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 0} 0
17 {'mode': 'templates', 'resource': False, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 1} 0
18 {'mode': 'templates', 'resource': False, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 0} 0
19 {'mode': 'templates', 'resource': False, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 1} 0
20 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 0} 0
21 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 1} 0
22 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 0} 0
23 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 1} 0
24 {'mode': 'templates', 'resource': True, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 0} 0
25 {'mode': 'templates', 'resource': True, 'marker': False, 'demand': 128, 'enabled': False, 'rep': 1} 0
26 {'mode': 'templates', 'resource': True, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 0} 0
27 {'mode': 'templates', 'resource': True, 'marker': False, 'demand': 128, 'enabled': True, 'rep': 1} 0
28 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 0} 0
29 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 128, 'enabled': False, 'rep': 1} 0
30 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 0} 0
31 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 128, 'enabled': True, 'rep': 1} 0
32 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 512, 'enabled': False, 'rep': 0} 0
33 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 512, 'enabled': True, 'rep': 0} 0
34 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 512, 'enabled': False, 'rep': 0} 0
35 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 512, 'enabled': True, 'rep': 0} 0
36 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 512, 'enabled': False, 'rep': 0} 0
37 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 512, 'enabled': True, 'rep': 0} 0
38 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 512, 'enabled': False, 'rep': 0} 0
39 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 512, 'enabled': True, 'rep': 0} 0
