0 {'kind': 'diagnostic', 'resource': False, 'demand': 128, 'rep': 0} 0
1 {'kind': 'diagnostic', 'resource': False, 'demand': 128, 'rep': 1} 0
2 {'kind': 'diagnostic', 'resource': False, 'demand': 512, 'rep': 0} 0
3 {'kind': 'diagnostic', 'resource': False, 'demand': 512, 'rep': 1} 0
4 {'kind': 'diagnostic', 'resource': True, 'demand': 128, 'rep': 0} 0
5 {'kind': 'diagnostic', 'resource': True, 'demand': 128, 'rep': 1} 0
6 {'kind': 'diagnostic', 'resource': True, 'demand': 512, 'rep': 0} 0
7 {'kind': 'diagnostic', 'resource': True, 'demand': 512, 'rep': 1} 0
8 {'kind': 'time', 'resource': False, 'demand': 32, 'packing': False} 0
9 {'kind': 'meter', 'resource': False, 'demand': 32, 'packing': False} 0
10 {'kind': 'time', 'resource': False, 'demand': 32, 'packing': True} 0
11 {'kind': 'meter', 'resource': False, 'demand': 32, 'packing': True} 0
12 {'kind': 'time', 'resource': True, 'demand': 32, 'packing': False} 0
13 {'kind': 'meter', 'resource': True, 'demand': 32, 'packing': False} 0
14 {'kind': 'time', 'resource': True, 'demand': 32, 'packing': True} 0
15 {'kind': 'meter', 'resource': True, 'demand': 32, 'packing': True} 0
16 {'kind': 'time', 'resource': False, 'demand': 512, 'packing': False} 0
17 {'kind': 'meter', 'resource': False, 'demand': 512, 'packing': False} 0
18 {'kind': 'time', 'resource': True, 'demand': 512, 'packing': False} 0
19 {'kind': 'meter', 'resource': True, 'demand': 512, 'packing': False} 0
