0 {'mode': 'dependencies', 'resource': False, 'marker': False, 'demand': 128, 'rep': 0} 0
1 {'mode': 'dependencies', 'resource': False, 'marker': False, 'demand': 128, 'rep': 1} 0
2 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 128, 'rep': 0} 0
3 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 128, 'rep': 1} 0
4 {'mode': 'dependencies', 'resource': True, 'marker': False, 'demand': 128, 'rep': 0} 0
5 {'mode': 'dependencies', 'resource': True, 'marker': False, 'demand': 128, 'rep': 1} 0
6 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 128, 'rep': 0} 0
7 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 128, 'rep': 1} 0
8 {'mode': 'templates', 'resource': False, 'marker': False, 'demand': 128, 'rep': 0} 0
9 {'mode': 'templates', 'resource': False, 'marker': False, 'demand': 128, 'rep': 1} 0
10 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 128, 'rep': 0} 0
11 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 128, 'rep': 1} 0
12 {'mode': 'templates', 'resource': True, 'marker': False, 'demand': 128, 'rep': 0} 0
13 {'mode': 'templates', 'resource': True, 'marker': False, 'demand': 128, 'rep': 1} 0
14 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 128, 'rep': 0} 0
15 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 128, 'rep': 1} 0
16 {'mode': 'dependencies', 'resource': False, 'marker': True, 'demand': 512, 'rep': 0} 0
17 {'mode': 'dependencies', 'resource': True, 'marker': True, 'demand': 512, 'rep': 0} 0
18 {'mode': 'templates', 'resource': False, 'marker': True, 'demand': 512, 'rep': 0} 0
19 {'mode': 'templates', 'resource': True, 'marker': True, 'demand': 512, 'rep': 0} 0
