{'mode': 'conditional', 'resource': True, 'packing': False, 'kind': 'meter', 'demand': 512} 101
{'mode': 'dependencies', 'resource': False, 'packing': False, 'kind': 'time', 'demand': 512} None
{'mode': 'dependencies', 'resource': False, 'packing': False, 'kind': 'meter', 'demand': 512} None
{'mode': 'dependencies', 'resource': True, 'packing': False, 'kind': 'time', 'demand': 512} None
{'mode': 'dependencies', 'resource': True, 'packing': False, 'kind': 'meter', 'demand': 512} None
{'mode': 'templates', 'resource': False, 'packing': False, 'kind': 'time', 'demand': 512} 0
{'mode': 'templates', 'resource': False, 'packing': False, 'kind': 'meter', 'demand': 512} 0
{'mode': 'templates', 'resource': True, 'packing': False, 'kind': 'time', 'demand': 512} 0
{'mode': 'templates', 'resource': True, 'packing': False, 'kind': 'meter', 'demand': 512} 0
{'mode': 'dependencies-reclaim', 'resource': False, 'packing': False, 'kind': 'time', 'demand': 512} None
{'mode': 'dependencies-reclaim', 'resource': False, 'packing': False, 'kind': 'meter', 'demand': 512} None
{'mode': 'dependencies-reclaim', 'resource': True, 'packing': False, 'kind': 'time', 'demand': 512} None
{'mode': 'dependencies-reclaim', 'resource': True, 'packing': False, 'kind': 'meter', 'demand': 512} None
{'mode': 'templates-reclaim', 'resource': False, 'packing': False, 'kind': 'time', 'demand': 512} 0
{'mode': 'templates-reclaim', 'resource': False, 'packing': False, 'kind': 'meter', 'demand': 512} 0
{'mode': 'templates-reclaim', 'resource': True, 'packing': False, 'kind': 'time', 'demand': 512} 0
{'mode': 'templates-reclaim', 'resource': True, 'packing': False, 'kind': 'meter', 'demand': 512} 0
